dates,satname,nzd0480-0000,nzd0480-0001
1999-08-26 22:07:08+00:00,L7,358.26,361.27
1999-10-13 22:07:12+00:00,L7,343.18,339.73
1999-11-30 22:06:59+00:00,L7,339.70,338.18
1999-12-16 22:07:09+00:00,L7,339.36,340.19
2000-03-21 22:07:12+00:00,L7,,
2000-05-08 22:06:44+00:00,L7,337.17,341.60
2000-05-24 22:06:10+00:00,L7,334.89,342.40
2000-05-31 22:12:18+00:00,L7,329.68,342.78
2000-06-25 22:05:55+00:00,L7,325.01,340.43
2000-07-27 22:05:48+00:00,L7,339.63,344.46
2000-08-03 22:11:31+00:00,L7,339.09,343.37
2000-08-12 22:05:17+00:00,L7,338.34,342.22
2000-08-19 22:11:25+00:00,L7,,
2000-09-20 22:10:50+00:00,L7,334.29,334.03
2000-12-02 22:04:57+00:00,L7,342.37,339.92
2000-12-18 22:04:37+00:00,L7,345.24,342.56
2001-01-03 22:04:36+00:00,L7,333.33,335.47
2001-02-20 22:05:00+00:00,L7,346.27,347.35
2001-03-08 22:04:56+00:00,L7,361.45,361.76
2001-03-31 22:10:31+00:00,L7,341.67,340.41
2001-04-09 22:04:17+00:00,L7,352.43,355.60
2001-07-14 22:03:57+00:00,L7,324.86,339.18
2001-08-15 22:03:02+00:00,L7,344.41,345.99
2002-03-11 22:03:07+00:00,L7,354.87,356.85
2002-04-12 22:03:01+00:00,L7,361.18,369.25
2002-05-14 22:02:55+00:00,L7,347.75,349.41
2002-05-30 22:02:49+00:00,L7,331.65,340.62
2002-06-15 22:02:43+00:00,L7,335.75,346.46
2002-08-18 22:02:45+00:00,L7,330.83,340.71
2002-11-22 22:02:45+00:00,L7,347.11,342.47
2002-12-08 22:02:27+00:00,L7,337.57,326.15
2002-12-24 22:02:57+00:00,L7,336.32,339.31
2003-08-05 22:02:35+00:00,L7,336.16,343.32
2003-08-13 21:51:08+00:00,L5,363.75,367.82
2003-09-14 21:51:42+00:00,L5,341.31,343.14
2003-10-16 21:52:08+00:00,L5,330.90,335.65
2003-11-17 21:52:57+00:00,L5,320.52,317.27
2003-12-10 21:58:53+00:00,L5,,
2004-01-12 22:03:07+00:00,L7,347.04,342.35
2004-01-20 21:53:24+00:00,L5,360.34,363.39
2004-05-03 22:03:23+00:00,L7,,
2004-05-19 22:03:47+00:00,L7,346.41,347.73
2004-05-27 21:55:30+00:00,L5,329.64,341.46
2004-06-12 21:55:59+00:00,L5,,
2004-06-28 21:56:28+00:00,L5,341.30,351.76
2004-07-06 22:03:36+00:00,L7,340.36,
2004-07-30 21:57:15+00:00,L5,350.97,360.49
2004-08-15 21:57:37+00:00,L5,346.37,351.14
2004-08-23 22:02:59+00:00,L7,345.18,342.51
2004-09-08 22:02:53+00:00,L7,,
2004-09-24 22:02:48+00:00,L7,331.82,336.06
