,dates,chi0530-0000,chi0530-0001,chi0530-0002,chi0530-0003,chi0530-0004,chi0530-0005,chi0530-0006,chi0530-0007,chi0530-0008,chi0530-0009,chi0530-0010,chi0530-0011,chi0530-0012,chi0530-0013,chi0530-0014,chi0530-0015,chi0530-0016
0,1986-09-09 13:59:11+00:00,200.5230453055114,189.5007977621833,175.79835874869065,167.37961967729768,156.68817382979745,157.62057366441462,154.56549389246828,156.24279958028944,158.0819970359396,152.38216677481006,144.2305986739462,141.71022235607097,139.21809929083497,159.37168610617883,171.1659224566302,171.1674731506788,165.43359236539106
1,1986-09-18 13:52:44+00:00,216.63243970658357,201.73939210205592,171.2399939597291,167.78006722852984,159.27871756313482,160.02659880703624,159.81165653930645,154.22046254909586,155.73239309089857,155.53234797359184,143.21079831705703,135.7210942406885,138.78515703882357,159.1159360101862,163.69434818720208,170.7837981109751,151.16263378295315
2,1986-10-04 13:52:14+00:00,200.66058221369093,183.1428365926325,154.97509937258567,146.32510969942075,140.65177286136003,144.9389303703254,141.69417330621016,141.3771884041097,148.44014208999022,140.29012444897776,132.26573627381464,127.10380300274703,128.52137058279473,145.81185371594242,151.5706996544768,144.9429311575953,141.24457714592742
3,1986-10-20 13:51:42+00:00,,,,,,,,,,,,,,,,,
4,1987-01-08 13:51:47+00:00,178.84487884953762,157.84632189569936,139.9900265636973,140.33648163996656,137.10851683294484,142.42224669147402,140.40508591933596,141.89360402336678,142.40778939952713,135.13021512763981,123.93787794030865,120.81479015886343,126.25370009396991,148.47272841193438,160.9737590334316,144.95172587560705,162.37113699717278
5,1997-02-04 13:56:53+00:00,211.41655676371508,175.9158919323228,155.52716356941454,154.6003565707772,156.58509116084184,153.9219416310203,146.67203502083788,155.02990272550866,165.37894124715882,159.92074779923092,158.26600255077014,161.61476989725801,169.35093454283407,186.32614646092793,194.26716614293093,192.62311828646176,203.1909621674773
6,1998-02-14 14:14:34+00:00,217.99455293997158,194.68231078724762,162.61064624254738,150.59939352618596,151.9337438517059,155.83823964201127,149.81005424398094,159.66177726816696,163.79478686618089,162.43116505666552,157.75047624456036,164.43486999253116,170.74629857027213,190.65949658782563,193.0480847717755,190.1467773173939,201.69749693268872
7,1998-04-28 14:09:26+00:00,216.7826653958365,197.01273085929662,172.33686573521328,167.42500694190932,169.15638833138672,172.51259100354227,165.97310918501114,172.04207264066267,168.28136280535185,162.68828673300584,161.53856787106776,160.5766299644482,159.8404366830938,185.7954471836331,185.8021393624357,176.60249497339714,183.82941130349093
8,1998-09-10 14:17:10+00:00,168.925878296264,,,,,,,,167.72584053918922,164.2826705172301,152.3592380064612,149.98108145668988,150.2940577010575,168.82313397872355,169.54319020324962,191.16168587284307,
9,1998-10-28 14:17:20+00:00,181.0256009618666,186.3135269045054,166.50309968228737,163.16902815074053,162.47950733989987,159.01325849952008,157.50425444519027,161.64989704409285,165.6012732586737,157.12732025326645,152.95206354526115,,,,,,
10,1999-03-14 14:11:19+00:00,187.27009845485122,176.7276388599613,158.06543112195516,153.65374414568555,145.74068975322209,134.91462187084312,125.76645319115234,147.1316209124808,167.638467081613,160.10462872609304,,,,,,,
11,1999-07-12 14:25:04+00:00,,,,,,,,,,,,,,,,,
