dates,satname,sar2486-0000,sar2486-0001
1984-05-31 09:27:59+00:00,L5,,
1984-06-07 09:33:54+00:00,L5,221.20,212.50
1984-07-18 09:28:22+00:00,L5,215.63,221.71
1984-08-03 09:29:20+00:00,L5,,
1984-08-26 09:35:45+00:00,L5,215.69,205.92
1984-09-20 09:29:40+00:00,L5,224.50,220.54
1984-10-13 09:35:49+00:00,L5,215.18,204.20
1984-10-22 09:29:36+00:00,L5,223.00,222.95
1985-01-17 09:36:05+00:00,L5,218.25,222.15
1985-04-23 09:35:59+00:00,L5,217.85,220.64
1985-06-03 09:29:40+00:00,L5,211.73,209.46
1985-06-10 09:35:50+00:00,L5,212.65,205.71
1985-07-12 09:35:41+00:00,L5,220.28,209.40
1985-08-13 09:35:25+00:00,L5,220.47,204.73
1985-08-22 09:29:08+00:00,L5,225.57,220.88
1985-10-09 09:28:35+00:00,L5,207.81,196.14
1985-11-10 09:28:33+00:00,L5,220.93,214.00
1985-11-26 09:28:17+00:00,L5,211.29,210.55
1985-12-03 09:33:55+00:00,L5,209.42,220.93
1986-01-04 09:33:20+00:00,L5,,
1986-01-13 09:26:58+00:00,L5,216.11,210.35
1986-03-18 09:25:58+00:00,L5,217.39,219.68
1986-03-25 09:31:37+00:00,L5,220.83,217.83
1986-04-10 09:31:17+00:00,L5,,
1986-05-21 09:24:03+00:00,L5,220.99,214.28
1986-10-12 09:19:14+00:00,L5,219.97,224.62
1987-01-07 09:25:13+00:00,L5,207.10,187.52
1987-06-16 09:30:19+00:00,L5,217.64,199.56
1987-08-03 09:31:25+00:00,L5,225.11,219.46
1987-08-19 09:31:54+00:00,L5,,
1987-10-06 09:33:02+00:00,L5,223.44,221.79
1988-01-10 09:34:42+00:00,L5,209.50,222.18
1988-02-11 09:35:17+00:00,L5,212.82,218.36
1988-03-07 09:29:48+00:00,L5,,
1988-03-14 09:35:39+00:00,L5,221.42,220.57
1988-04-15 09:35:50+00:00,L5,231.79,226.77
1988-05-17 09:36:08+00:00,L5,227.21,207.45
1988-06-18 09:36:19+00:00,L5,203.12,210.07
1988-08-05 09:36:28+00:00,L5,222.56,205.58
1988-08-14 09:30:40+00:00,L5,212.87,207.27
1988-08-30 09:30:21+00:00,L5,225.59,219.09
1988-09-15 09:30:17+00:00,L5,224.65,203.85
1988-09-22 09:36:26+00:00,L5,220.12,223.07
1988-10-01 09:30:10+00:00,L5,212.18,208.22
1988-10-08 09:36:21+00:00,L5,215.94,200.95
1988-11-02 09:30:10+00:00,L5,211.75,209.89
1988-12-04 09:30:29+00:00,L5,216.65,215.75
1988-12-11 09:36:09+00:00,L5,213.50,213.41
1989-01-12 09:35:56+00:00,L5,208.46,198.00
1989-01-28 09:35:43+00:00,L5,,
1989-02-06 09:29:35+00:00,L5,214.08,217.34
1989-08-24 09:32:15+00:00,L5,218.64,220.91
1989-09-02 09:25:53+00:00,L5,222.27,221.48
1989-09-25 09:31:28+00:00,L5,216.05,224.93
1989-10-04 09:25:12+00:00,L5,217.30,221.83
1989-10-11 09:31:06+00:00,L5,219.43,219.79
1989-10-27 09:30:27+00:00,L5,223.30,217.41
1989-11-12 09:30:07+00:00,L5,218.82,212.56
1989-11-28 09:29:40+00:00,L5,223.87,218.06
1989-12-14 09:29:14+00:00,L5,211.87,205.10
1990-01-31 09:27:43+00:00,L5,214.81,213.81
1990-03-04 09:26:38+00:00,L5,224.27,207.35
1990-04-21 09:25:58+00:00,L5,213.05,209.14
1990-04-30 09:19:38+00:00,L5,203.47,203.11
1990-06-17 09:20:06+00:00,L5,218.42,209.85
1990-07-10 09:25:52+00:00,L5,223.47,206.42
1990-09-12 09:25:35+00:00,L5,221.32,226.18
1990-09-28 09:25:26+00:00,L5,223.38,224.80
1990-10-07 09:19:07+00:00,L5,216.06,218.78
1990-10-14 09:25:20+00:00,L5,227.85,
1990-10-30 09:25:11+00:00,L5,228.78,203.79
1990-11-15 09:25:13+00:00,L5,211.13,221.42
1991-03-16 09:20:56+00:00,L5,,
1991-04-08 09:27:30+00:00,L5,229.94,222.01
1991-04-17 09:21:32+00:00,L5,214.72,219.00
1991-05-19 09:22:26+00:00,L5,225.86,220.65
1991-05-26 09:28:22+00:00,L5,224.38,215.11
1991-06-20 09:22:30+00:00,L5,222.41,220.65
1991-07-22 09:22:58+00:00,L5,221.11,209.83
1991-07-29 09:29:13+00:00,L5,216.74,221.29
1991-08-14 09:29:15+00:00,L5,218.51,221.78
1991-09-15 09:29:38+00:00,L5,211.22,224.29
1991-09-24 09:23:31+00:00,L5,222.22,197.12
1991-10-01 09:29:43+00:00,L5,209.91,225.21
1991-10-17 09:29:54+00:00,L5,216.41,222.24
1991-11-02 09:29:52+00:00,L5,219.08,224.46
1991-11-11 09:23:45+00:00,L5,219.23,226.72
1991-12-04 09:30:12+00:00,L5,203.92,223.23
1992-01-05 09:29:59+00:00,L5,,
1992-01-14 09:23:49+00:00,L5,202.91,203.59
1992-01-30 09:23:54+00:00,L5,192.24,210.39
1992-02-06 09:29:56+00:00,L5,213.65,205.72
1992-02-15 09:23:38+00:00,L5,222.24,212.32
1992-03-09 09:29:55+00:00,L5,212.92,204.53
1992-05-28 09:29:18+00:00,L5,212.79,224.92
1992-06-13 09:29:08+00:00,L5,220.55,221.85
1992-06-29 09:28:56+00:00,L5,214.86,220.99
