dates,satname,nzd0247-0000,nzd0247-0001,nzd0247-0002,nzd0247-0003,nzd0247-0004,nzd0247-0005,nzd0247-0006,nzd0247-0007,nzd0247-0008,nzd0247-0009,nzd0247-0010,nzd0247-0011,nzd0247-0012,nzd0247-0013,nzd0247-0014,nzd0247-0015,nzd0247-0016,nzd0247-0017,nzd0247-0018,nzd0247-0019,nzd0247-0020,nzd0247-0021,nzd0247-0022,nzd0247-0023,nzd0247-0024,nzd0247-0025,nzd0247-0026,nzd0247-0027,nzd0247-0028,nzd0247-0029,nzd0247-0030,nzd0247-0031,nzd0247-0032,nzd0247-0033,nzd0247-0034,nzd0247-0035,nzd0247-0036,nzd0247-0037,nzd0247-0038,nzd0247-0039,nzd0247-0040,nzd0247-0041,nzd0247-0042,nzd0247-0043,nzd0247-0044,nzd0247-0045
1999-08-21 21:46:33+00:00,L7,356.72,333.72,323.12,325.12,331.03,326.46,321.49,339.30,339.60,340.93,348.75,353.30,369.69,372.73,370.23,360.79,361.01,363.31,361.39,351.81,352.37,366.83,371.59,368.09,343.81,340.83,359.46,374.44,371.93,358.95,355.21,350.09,373.15,358.65,367.21,371.21,361.70,349.48,339.11,344.48,361.92,368.52,374.20,354.67,348.79,341.44
1999-10-08 21:46:42+00:00,L7,358.73,333.76,329.16,329.77,329.11,333.62,337.41,341.12,345.02,348.92,357.68,370.70,364.05,373.78,369.69,364.77,359.16,363.11,364.33,367.18,367.40,365.69,362.67,360.77,360.49,351.65,360.65,358.80,368.57,352.40,342.20,366.06,370.17,380.58,370.07,357.97,350.97,346.37,344.23,348.07,360.01,365.53,370.00,365.08,354.84,349.67
2000-04-01 21:46:10+00:00,L7,357.66,323.05,321.22,314.93,318.78,320.77,323.36,331.09,333.20,341.78,341.19,348.39,351.82,349.97,349.65,356.31,353.19,348.24,355.48,357.06,350.79,347.18,349.25,353.34,354.80,348.62,360.01,356.27,362.83,363.45,357.20,364.66,364.63,367.15,360.44,349.62,337.40,340.55,339.36,350.52,354.97,363.73,370.29,369.58,362.31,353.73
2000-05-19 21:45:43+00:00,L7,348.76,319.78,309.22,303.81,308.53,307.70,307.50,321.35,319.04,328.08,336.47,341.56,355.97,357.58,339.87,346.94,343.13,340.70,345.44,342.24,347.55,345.34,350.30,343.38,344.90,355.12,349.61,354.21,355.50,354.00,341.92,350.81,349.19,353.40,347.19,345.66,344.60,344.46,340.28,341.44,347.56,351.57,356.25,354.81,346.76,337.83
2000-06-04 21:45:32+00:00,L7,305.21,276.66,,274.64,,,291.76,300.60,303.12,312.01,317.31,319.28,312.70,295.42,274.93,286.14,314.67,312.51,324.19,331.19,329.13,323.28,326.91,317.64,316.49,315.08,318.51,321.98,318.61,323.28,313.44,323.14,316.59,324.80,318.25,311.48,314.88,311.68,309.75,304.80,307.33,313.18,329.67,329.00,326.44,324.02
2000-08-07 21:44:45+00:00,L7,347.55,312.33,307.83,302.09,306.58,312.81,309.27,321.06,323.92,327.43,335.43,340.03,346.82,348.39,,331.56,339.55,335.51,341.98,348.01,347.85,330.24,344.83,339.05,331.06,335.19,343.20,353.56,353.15,347.72,338.48,341.89,349.17,346.08,331.34,334.53,333.99,335.16,331.81,328.75,333.51,343.39,360.32,347.80,333.63,335.42
2000-10-26 21:43:58+00:00,L7,355.55,334.57,324.49,314.46,315.16,314.89,320.10,331.71,328.41,333.36,338.20,347.32,359.13,355.24,352.21,354.40,346.96,358.91,357.73,360.87,354.27,354.86,353.12,351.89,353.32,348.72,354.05,355.60,356.17,354.54,346.48,350.32,357.22,354.09,346.47,346.49,337.60,325.49,329.09,339.19,350.27,358.17,369.83,370.48,352.30,347.17
2000-11-27 21:44:26+00:00,L7,,318.79,312.03,306.58,308.21,310.85,312.51,320.89,320.31,325.07,332.34,337.56,351.77,344.17,337.88,333.06,334.50,333.54,341.94,340.49,337.64,337.98,341.12,335.19,340.30,338.38,344.69,347.55,350.39,345.87,337.42,337.66,342.17,342.35,339.13,330.89,327.21,323.72,324.44,332.06,340.49,347.97,352.63,350.62,337.82,328.35
2001-01-14 21:44:09+00:00,L7,333.50,308.70,306.32,296.37,299.50,305.17,303.47,321.01,318.25,321.33,322.80,333.36,355.08,342.31,324.78,292.10,335.32,333.21,335.68,341.46,338.95,331.03,322.25,317.44,316.23,316.95,334.77,334.49,343.66,335.65,334.64,324.87,338.72,341.70,332.56,318.32,324.19,317.65,320.82,321.48,329.27,332.74,,,,
2001-04-04 21:44:06+00:00,L7,358.99,334.05,326.50,320.24,327.30,331.93,335.05,339.62,340.94,344.69,347.26,358.87,372.90,370.30,366.11,354.33,356.87,362.28,364.60,360.98,354.24,352.47,353.00,354.61,356.01,360.59,363.77,369.48,371.70,366.80,356.55,354.62,361.40,365.00,361.47,352.49,346.86,344.24,341.85,342.63,362.59,380.74,377.57,377.21,356.89,352.11
2001-04-20 21:43:46+00:00,L7,353.46,329.43,323.97,321.38,322.29,328.36,331.14,339.58,340.23,341.35,344.57,362.88,370.74,370.94,358.64,352.85,353.64,359.83,358.38,364.02,361.92,354.55,356.67,359.39,364.82,356.08,363.20,367.26,368.24,362.86,354.06,357.22,363.96,370.12,368.34,361.61,353.14,346.27,340.76,348.29,375.80,383.20,390.44,379.10,352.78,350.62
2001-05-22 21:43:30+00:00,L7,328.90,320.33,314.55,315.67,319.92,322.11,328.57,337.65,336.85,342.86,347.69,359.92,370.83,379.44,,356.48,357.09,353.49,359.27,362.82,353.62,353.07,355.88,359.31,360.86,359.29,357.74,371.01,375.57,363.79,351.26,360.25,361.17,365.00,361.95,351.59,350.39,343.06,342.45,346.63,356.87,368.30,375.45,368.66,354.30,347.19
2001-07-25 21:42:54+00:00,L7,313.18,288.36,286.12,284.07,286.42,291.36,296.00,304.97,308.83,311.82,321.49,333.83,345.73,349.02,309.26,324.71,328.90,332.05,333.76,336.45,336.52,334.29,336.16,333.33,,328.64,333.15,336.49,338.53,328.39,333.12,342.04,346.04,344.24,336.17,321.37,319.94,316.68,317.77,323.82,331.42,337.63,347.15,342.88,336.48,332.29
2001-08-10 21:42:36+00:00,L7,321.88,302.98,300.29,299.14,300.63,305.15,311.34,318.44,322.13,324.91,335.78,343.52,355.96,360.78,340.03,348.46,342.10,338.48,337.69,346.96,343.16,340.89,340.72,340.67,331.83,337.10,336.27,342.32,348.36,339.15,338.69,343.24,346.85,344.58,343.88,333.19,328.86,323.76,324.63,328.87,332.03,340.10,348.79,348.73,338.07,331.88
2001-09-11 21:42:14+00:00,L7,335.35,313.95,306.78,304.89,307.50,318.16,317.24,330.49,,,,,,,,,,,,,,,,,,,,,,,,348.71,357.05,354.05,351.00,347.94,347.63,343.65,336.65,341.52,349.84,357.14,366.22,359.94,349.49,338.31
2001-09-27 21:42:05+00:00,L7,360.13,336.21,327.89,324.11,328.62,331.91,337.08,346.23,345.48,346.75,358.30,359.02,375.56,375.45,371.62,365.09,360.31,362.55,368.51,371.68,372.02,363.27,357.01,357.70,361.95,363.49,371.11,369.13,359.78,355.76,356.55,359.20,365.97,378.45,373.90,353.54,359.10,356.47,357.73,369.29,373.52,375.92,387.47,381.26,371.37,355.65
2001-10-13 21:41:51+00:00,L7,351.28,330.11,325.30,324.06,322.51,326.06,335.01,344.00,345.37,349.29,359.10,365.31,376.13,380.78,367.53,363.29,359.79,362.62,367.49,369.19,369.86,361.56,358.84,359.88,363.88,364.82,364.25,366.17,353.28,358.58,363.71,361.89,365.63,369.56,368.42,355.90,347.05,345.42,354.86,363.27,366.81,362.10,374.49,377.80,361.03,359.45
2001-10-29 21:41:57+00:00,L7,354.19,332.54,330.82,324.24,321.04,326.91,325.55,338.40,341.47,348.60,356.25,368.30,377.71,378.67,362.02,360.91,357.36,360.97,357.69,364.86,368.80,361.07,356.62,359.08,366.71,364.13,363.99,356.16,360.44,368.66,357.90,367.57,372.82,371.12,374.86,364.95,349.51,344.91,352.09,365.43,370.61,370.63,379.37,382.90,359.84,354.82
2002-01-17 21:42:52+00:00,L7,,,,,,,,,,,,,,362.87,,345.62,344.69,344.39,346.71,350.84,342.42,344.94,343.65,340.68,340.20,336.78,343.00,347.90,353.33,351.44,335.03,337.80,339.72,349.32,340.07,340.22,332.66,339.84,335.22,343.83,350.48,356.05,359.82,355.62,345.58,337.75
2002-02-18 21:42:30+00:00,L7,329.47,308.25,299.59,295.81,301.67,301.11,306.94,315.83,316.52,323.27,332.92,339.23,350.31,351.34,336.70,338.27,331.74,335.29,339.85,340.67,339.35,337.76,334.35,331.81,331.34,330.70,336.72,331.30,335.67,335.79,337.21,340.15,338.48,342.89,338.66,320.43,318.41,317.36,321.42,334.45,343.57,341.89,350.83,346.46,339.16,337.76
2002-04-07 21:42:52+00:00,L7,351.14,335.29,330.44,321.91,320.54,319.02,318.24,326.29,331.24,341.89,347.23,360.25,368.11,368.88,,631.96,,350.09,352.50,355.26,359.39,354.88,354.15,355.69,354.63,353.24,351.65,354.07,355.38,355.86,354.65,364.35,366.33,363.72,364.09,348.51,339.59,340.14,346.22,362.21,371.53,380.92,379.76,381.79,368.22,358.03
2002-08-29 21:41:39+00:00,L7,324.44,303.45,303.91,303.10,303.98,310.85,305.10,314.23,319.13,320.90,325.75,330.77,345.16,351.09,343.83,340.37,336.86,337.31,347.13,342.26,340.62,337.46,330.79,327.99,325.68,330.50,329.53,324.71,327.73,328.42,327.31,327.34,329.18,342.44,335.67,319.03,306.83,302.37,310.08,315.85,321.94,331.60,342.11,346.04,341.64,330.70
2002-09-14 21:41:31+00:00,L7,346.19,327.63,324.93,321.80,317.98,326.37,319.55,324.65,333.28,332.73,339.90,349.17,363.83,364.02,362.82,357.69,360.70,357.34,357.90,355.82,354.11,347.04,343.06,343.37,343.16,342.73,339.09,340.16,342.89,341.44,339.90,339.11,345.69,354.28,345.56,340.10,329.60,322.95,326.39,331.00,340.04,349.38,361.75,366.19,351.68,344.46
2002-09-30 21:41:23+00:00,L7,356.34,338.41,330.87,329.97,329.74,331.45,331.84,332.27,339.75,344.21,351.25,355.64,371.20,376.33,374.57,368.06,366.48,358.39,360.47,361.66,361.74,350.85,346.88,343.52,339.69,344.44,343.60,347.47,347.38,348.34,342.93,340.53,349.46,357.65,354.79,341.60,334.33,325.42,329.80,336.65,347.03,358.00,367.73,369.29,360.76,349.12
2002-11-01 21:41:30+00:00,L7,360.98,342.06,337.51,334.47,328.52,332.27,340.98,345.51,349.35,356.24,359.07,369.70,382.00,383.12,378.54,375.75,377.24,377.36,380.47,372.80,373.73,373.05,357.00,358.47,357.29,361.56,355.93,354.90,360.30,357.85,349.03,352.15,355.30,364.34,360.28,343.22,335.77,328.97,327.04,330.65,348.96,369.58,378.53,375.14,365.73,350.39
2003-01-20 21:42:09+00:00,L7,345.97,321.21,315.30,310.49,311.06,319.16,322.48,327.51,333.90,335.13,340.31,345.60,362.55,354.34,350.68,345.87,340.49,335.41,353.94,343.93,335.43,330.24,337.09,333.53,331.94,335.16,342.90,340.19,343.96,328.96,323.06,326.47,330.47,337.47,340.37,335.18,327.50,318.22,317.96,319.13,323.42,325.59,339.01,341.16,329.86,325.10
2003-02-05 21:42:17+00:00,L7,345.95,321.09,316.55,312.41,319.00,326.16,325.18,331.59,342.43,343.03,338.98,348.26,359.53,351.32,351.35,346.08,324.17,340.44,352.70,340.15,338.14,331.64,333.31,329.47,328.60,308.07,337.06,336.67,345.61,336.22,320.65,323.43,323.65,328.69,334.34,325.65,317.85,321.59,323.99,329.80,326.68,331.68,338.53,341.18,329.52,320.68
2003-02-21 21:42:44+00:00,L7,329.39,310.16,302.06,300.37,310.62,318.90,320.81,329.36,335.39,334.52,336.62,339.86,352.51,346.97,340.51,329.89,326.18,334.49,346.84,339.15,333.89,322.71,328.00,325.61,316.94,313.08,331.96,342.66,338.22,331.31,324.63,325.34,327.14,328.99,336.26,331.20,329.88,322.23,327.12,320.29,316.68,327.36,337.17,339.16,328.45,316.08
2003-04-26 21:42:25+00:00,L7,350.39,322.23,316.97,319.38,321.15,331.44,332.84,340.97,336.85,343.88,352.09,367.37,369.57,370.35,365.82,352.35,351.17,357.12,359.48,353.92,345.35,346.72,350.95,344.69,343.68,344.24,341.66,350.50,357.99,356.22,354.83,354.93,357.49,363.70,361.01,350.47,347.80,344.25,352.50,357.69,367.66,371.33,371.58,358.16,342.67,344.43
