dates,nzd0502-0000,nzd0502-0001,nzd0502-0002,nzd0502-0003,nzd0502-0004,nzd0502-0005,nzd0502-0006,nzd0502-0007,nzd0502-0008,nzd0502-0009,nzd0502-0010,nzd0502-0011,nzd0502-0012,nzd0502-0013,nzd0502-0014,nzd0502-0015,nzd0502-0016,nzd0502-0017,nzd0502-0018,nzd0502-0019,nzd0502-0020,nzd0502-0021,nzd0502-0022,nzd0502-0023,nzd0502-0024,nzd0502-0025,nzd0502-0026
1999-08-26 22:07:32+00:00,118.85877969815677,123.13386921755338,116.3947630484729,114.44127447698892,113.81228531793116,114.58441795427977,127.20087677681946,120.59486124117818,136.16495279569995,120.35599092251859,120.04901487393894,131.4341816219248,133.45585891918523,133.47922582888697,142.28290518332673,141.9905190013705,149.73458255346705,149.53856521322354,147.51495580663314,147.7599272094028,140.59962770160763,145.29727786471835,133.21459406372728,147.4374778135837,134.90645825865377,133.89845737992232,131.57934427010412
2000-02-18 22:07:16+00:00,140.22860337031375,144.87436514649377,137.1279057895483,145.26099093311444,140.992021500458,145.5288343918373,146.2378111531768,138.64149817305733,150.31065310890895,138.58442310436726,141.32413851488323,142.37220706919055,153.99471347973028,163.81091303591867,179.9399767653446,168.9689265475585,176.8339865137714,178.63145853980225,184.20550704764736,181.56122613671937,176.5159074213873,170.57323743618346,169.2427895267761,174.7108488444256,170.5986020028287,172.643047296049,180.4309626421973
2000-02-25 22:13:25+00:00,139.2679993105865,149.9504237154121,148.28896142356152,141.50795162884148,140.3508488770114,149.6568603657728,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:07:12+00:00,142.47809614574027,146.00942386816607,138.24008808365517,140.783021468098,139.9624490239007,149.6958902723216,146.87417945733188,140.93442669699584,145.27643321590273,144.31369554985298,154.89867327083056,144.42176801953374,140.36192989737182,165.7757536335207,189.9556870771652,176.5944846165862,180.5325794154516,186.49469049981064,182.13139421837076,181.21369959050315,172.48135847527408,175.6196448662889,170.93379660548857,173.67608528493426,174.29862551759817,169.0251250938682,182.90376001050558
2000-05-08 22:06:44+00:00,129.24651052739154,133.25817834960486,132.72423140444215,129.52967486061283,128.01267530491117,136.87475538788067,140.31403391570882,141.66460591615177,128.8660246219681,132.6214294495881,124.48169897987113,130.5064423451536,130.4131350884773,136.50443721518835,145.6340192375925,139.15944874225465,134.59875948896155,135.44743611832058,145.0120274564534,144.3903360113692,142.5673809663982,144.07257627922448,136.25583498246613,141.72224179552163,,,
2000-06-25 22:06:19+00:00,141.62269938790502,148.9865983256618,150.32781618780712,139.85788981327235,136.61878255311672,141.34710392447687,154.26653304317293,157.62345446589174,160.52437060261315,146.2733990610119,133.1845448631953,137.90730361206087,141.3493012155884,147.07563653883133,153.26012993857353,148.9711688814343,143.83594929442984,137.62086534236713,144.83694003362052,,,,,129.47221363366674,,,
2000-07-11 22:06:05+00:00,130.6678110785427,133.8265293812773,133.29232410639196,127.85131521353732,123.02845468578879,128.02221297690383,137.02273123997298,144.47206758157594,139.621670723436,126.63339687023189,120.4550951771675,,109.21928042951805,125.4679619574331,130.26231423727302,131.0227991115152,,,,,,,,,,,
2000-08-03 22:11:55+00:00,126.41448448123406,129.17873069995565,127.0437021999762,122.67898364250163,123.26178250771899,133.04658172872377,136.53017298550824,133.1760572376861,141.11016774979092,129.1735832852347,129.44267802582664,138.0327384566643,145.6383082519617,141.34766202163613,144.61084884422706,146.93833326010883,149.08744479807385,151.3654542786612,155.90160828228673,152.65247930186038,154.38170950925604,149.56531381269352,156.63034614027953,,,,
2000-09-20 22:11:14+00:00,145.44613939458046,151.87941221834717,153.3123901350351,144.16057094343626,139.1018312698597,138.11793360448328,144.130417017491,159.6514304349249,170.34448975370103,157.58184500805075,149.33524862003947,149.19014484575374,152.57077849603556,163.96151670425573,161.77976605241162,162.21900552307173,165.21870041138217,164.57032240810076,165.90113179527995,170.08407537777083,164.48334021485545,165.2328320249275,160.29124477362637,178.38902585457083,173.33067643127103,172.06988723939298,162.1641125039511
2000-12-18 22:05:01+00:00,143.36181927575217,151.22530286437464,157.82319240549802,144.82702696087887,142.02141788538606,143.49331831338952,153.6070662359099,165.34361389439434,172.31935248223903,159.73179583135544,154.94543831929244,151.62576438854694,155.7071735997935,167.5064671997373,168.56787404818976,171.8985489690827,165.68483627472506,178.467453094182,173.86461401924328,177.92550273522284,171.70710550859283,168.47847451093006,174.0702734105724,169.0659896502404,181.44654320446264,178.83083519743425,165.57008796656675
