dates,nzd0502-0000,nzd0502-0001,nzd0502-0002,nzd0502-0003,nzd0502-0004,nzd0502-0005,nzd0502-0006,nzd0502-0007,nzd0502-0008,nzd0502-0009,nzd0502-0010,nzd0502-0011,nzd0502-0012,nzd0502-0013,nzd0502-0014,nzd0502-0015,nzd0502-0016,nzd0502-0017,nzd0502-0018,nzd0502-0019,nzd0502-0020,nzd0502-0021,nzd0502-0022,nzd0502-0023,nzd0502-0024,nzd0502-0025,nzd0502-0026,satname
1999-08-26 22:07:32+00:00,331.09,330.90,333.44,325.62,328.85,332.95,348.54,341.95,360.30,351.36,345.25,356.57,358.17,362.17,373.41,373.80,380.53,382.90,379.15,383.87,373.55,372.47,370.00,367.79,367.31,369.23,363.19,L7
2000-02-18 22:07:16+00:00,339.60,341.35,341.23,340.97,341.70,347.12,357.33,348.41,363.22,357.95,351.43,357.31,365.52,373.06,383.00,379.38,385.75,389.61,391.34,394.12,384.15,381.85,379.02,376.45,376.15,379.67,375.86,L7
2000-02-25 22:13:25+00:00,342.65,350.88,347.22,347.84,345.58,353.31,366.11,354.87,366.13,364.54,357.61,358.05,372.88,383.96,392.59,384.96,390.96,396.32,403.53,404.37,394.76,391.22,388.05,385.10,384.99,390.11,388.53,L7
2000-03-21 22:07:12+00:00,346.49,351.77,348.69,349.72,349.13,358.07,369.12,357.30,364.12,369.25,363.10,361.02,366.16,386.64,395.40,389.93,392.30,402.75,404.37,404.91,396.56,394.21,392.69,385.86,389.81,390.74,390.41,L7
2000-05-08 22:06:44+00:00,344.45,349.72,347.23,346.90,346.43,355.25,363.25,355.65,360.91,361.32,356.22,357.63,361.90,376.32,385.30,380.86,384.07,392.77,393.29,394.94,386.40,385.46,382.32,379.60,382.09,381.44,380.74,L7
2000-06-25 22:06:19+00:00,344.17,350.37,348.32,345.44,344.24,352.32,359.73,355.45,360.59,356.56,351.87,352.51,357.14,368.33,378.03,373.70,376.25,381.77,381.66,382.71,377.23,376.25,373.78,372.84,375.17,374.28,373.34,L7
2000-07-11 22:06:05+00:00,342.59,349.31,346.51,343.44,341.60,349.56,355.94,353.70,356.28,351.51,348.17,349.20,352.21,361.54,371.63,366.56,368.69,371.69,374.38,373.84,370.51,367.36,367.46,372.84,369.16,366.30,365.61,L7
2000-08-03 22:11:55+00:00,339.51,345.37,342.88,339.93,337.83,345.78,351.51,349.91,352.08,346.93,343.36,345.56,349.83,357.19,364.73,361.96,363.26,366.92,369.21,369.17,366.43,362.71,363.01,364.54,364.75,366.30,365.61,L7
2000-09-20 22:11:14+00:00,335.75,342.72,340.47,334.11,330.02,335.44,340.68,346.89,349.00,337.25,335.04,338.29,341.94,344.57,351.13,349.42,351.28,350.55,352.67,352.48,351.73,348.36,348.39,356.28,354.89,353.40,352.44,L7
2000-12-18 22:05:01+00:00,335.85,344.38,342.16,334.43,329.17,333.05,338.20,346.88,350.11,336.29,335.47,336.16,340.14,344.47,351.00,349.58,349.90,349.56,350.87,350.21,349.97,345.63,348.05,355.55,355.94,355.20,353.98,L7
2001-04-09 22:04:41+00:00,342.02,345.11,345.76,340.91,339.46,346.14,352.34,354.27,360.95,351.31,348.05,347.05,348.31,353.53,367.42,363.76,364.58,373.21,370.06,372.19,364.08,362.77,365.31,364.51,366.39,370.36,364.58,L7
2001-06-28 22:03:56+00:00,342.52,347.42,345.16,342.45,342.67,352.92,358.78,356.15,356.81,351.75,346.48,349.51,347.60,348.88,364.76,359.83,362.87,366.55,368.30,368.24,362.99,356.91,358.32,355.62,358.52,360.56,355.94,L7
2001-07-14 22:03:57+00:00,341.07,348.14,345.80,341.68,343.06,354.56,359.76,357.56,357.36,350.41,347.75,351.63,350.20,352.94,364.59,363.45,364.64,367.87,368.05,367.79,363.18,357.99,359.26,360.35,359.37,363.61,355.88,L7
