dates,satname,nzd0015-0000,nzd0015-0001
1999-08-17 22:10:26+00:00,L7,390.01,389.06
1999-10-04 22:10:38+00:00,L7,403.90,486.84
2000-02-09 22:10:19+00:00,L7,,
2000-03-28 22:10:07+00:00,L7,399.25,403.23
2000-05-15 22:09:42+00:00,L7,402.94,463.69
2000-08-03 22:08:44+00:00,L7,388.96,384.94
2000-08-19 22:08:38+00:00,L7,,463.38
2000-09-20 22:08:03+00:00,L7,394.94,413.13
2000-10-06 22:07:59+00:00,L7,396.28,490.45
2001-01-26 22:08:07+00:00,L7,391.21,399.17
2001-02-27 22:07:54+00:00,L7,392.90,396.54
2001-04-16 22:07:42+00:00,L7,401.62,434.57
2001-05-18 22:07:26+00:00,L7,407.06,403.23
2001-06-03 22:07:16+00:00,L7,403.79,489.72
2001-06-19 22:07:05+00:00,L7,392.55,448.13
2001-09-07 22:06:11+00:00,L7,396.71,409.04
2001-09-23 22:06:03+00:00,L7,402.56,403.24
2001-11-26 22:06:09+00:00,L7,389.69,433.13
2001-12-12 22:06:14+00:00,L7,379.61,389.18
2002-02-14 22:06:29+00:00,L7,386.78,393.40
2002-03-18 22:06:22+00:00,L7,396.05,396.89
2002-07-24 22:05:50+00:00,L7,403.16,403.20
2002-10-28 22:05:22+00:00,L7,395.52,448.09
2002-12-31 22:05:56+00:00,L7,388.59,433.10
2003-04-22 22:06:19+00:00,L7,408.11,436.35
2003-05-24 22:06:17+00:00,L7,402.36,448.10
2003-08-28 22:05:57+00:00,L7,390.98,583.25
2003-10-31 22:06:00+00:00,L7,388.82,418.11
2004-02-04 22:06:41+00:00,L7,397.16,410.38
2004-03-07 22:06:48+00:00,L7,394.05,403.17
2004-03-23 22:06:52+00:00,L7,,388.22
2004-04-08 22:06:49+00:00,L7,392.09,403.20
2004-05-18 21:58:14+00:00,L5,396.31,410.75
2004-05-26 22:06:45+00:00,L7,403.04,455.63
2004-06-03 21:58:42+00:00,L5,,436.36
2004-06-11 22:06:38+00:00,L7,393.63,461.02
2004-07-13 22:06:34+00:00,L7,,470.36
2004-07-29 22:06:27+00:00,L7,415.03,425.66
2004-08-22 22:00:48+00:00,L5,395.74,395.84
