,dates,usa_CA_0133-0000,usa_CA_0133-0001,usa_CA_0133-0002,usa_CA_0133-0003,usa_CA_0133-0004
0,1984-05-11 18:08:11+00:00,219.955171087455,205.87620521263207,214.6782191011137,211.03027993332208,217.4423091563256
1,1984-05-20 18:02:16+00:00,216.3325713631781,202.1002024643926,201.18250619128935,206.43637436164823,216.86987747142615
2,1984-06-05 18:02:38+00:00,218.640331943926,205.3936438405675,211.60376050912703,206.88056791340043,221.9963395460048
3,1984-06-12 18:08:57+00:00,,,,,
4,1984-06-21 18:02:54+00:00,228.32196458923298,220.49251158493107,218.3155878628557,212.98135676036927,
5,1984-09-16 18:10:24+00:00,233.79202107723677,219.77679594539615,221.53125480469407,218.14894349218594,223.96366910912076
6,1984-10-02 18:10:48+00:00,231.66647806999143,217.11702300835907,221.61060373219698,217.25141890476132,224.21251877568199
7,1984-10-18 18:10:45+00:00,240.18734472764066,225.60538011714615,218.41065258249094,218.34516707662254,222.29097754827023
8,1984-10-27 18:04:31+00:00,238.09433914081757,224.64139516890714,218.57350427430754,221.0852883733861,220.014364179483
9,1984-11-19 18:10:33+00:00,221.41671584984064,208.401732985218,209.7430750856868,210.4262196366271,216.42245000554618
10,1984-12-30 18:04:44+00:00,226.21423633550634,219.71061718788278,225.8076929158446,227.30771667375618,230.62553837054617
11,1985-01-15 18:04:51+00:00,217.21685139919103,210.5141410422446,214.72890782432324,215.38473969423126,
12,1985-01-22 18:11:04+00:00,227.97065275701985,213.13446797931832,213.11767338012737,212.53183804928517,216.5010741193916
13,1985-01-31 18:04:55+00:00,232.0310239019894,224.65579937830833,223.65858835529806,226.1137605129375,
14,1985-03-20 18:04:55+00:00,223.21262481021836,207.66788637488537,205.74490839014473,210.50757917925532,215.38946506047472
15,1985-06-08 18:04:37+00:00,231.9578703456811,218.42968399958824,216.5737508867572,217.79131150615407,227.94812049180752
16,1985-06-15 18:10:23+00:00,,,,,
17,1985-07-17 18:10:12+00:00,228.77404229807516,214.70437362163398,218.00442967678566,218.64908117438912,217.544272743509
18,1985-08-18 18:10:18+00:00,235.41299862956802,222.27908418294166,221.8348969009003,224.91534636447957,219.43011213167776
19,1985-09-12 18:03:49+00:00,240.4434010906739,221.6949121185568,219.01534468979767,226.6618388923257,
20,1985-10-05 18:09:45+00:00,235.60241344476225,219.29216804647658,223.47446958540212,221.94981614289887,221.46109267018358
21,1985-10-14 18:03:28+00:00,233.2431677748234,214.95166385691888,221.5789756651634,218.23293135939582,219.08289617081047
22,1985-12-08 18:08:46+00:00,221.78685706731184,217.85434389152434,209.5086067578496,214.8956902365464,221.51564188410754
23,1986-01-09 18:08:11+00:00,236.44759896340506,221.86277525947517,224.09810222740649,223.84431780828842,223.59570418567296
24,1986-01-18 18:01:49+00:00,230.04462832236246,218.818792508993,215.56525718498668,220.64171472857876,
25,1986-01-25 18:07:51+00:00,236.67173628448734,221.2664852849453,221.2227326629184,219.42711544905586,222.73425353728442
26,1986-02-03 18:01:28+00:00,205.09996600666506,193.76122930910762,207.74689528943279,205.5276050277544,220.93423292910447
27,1986-02-10 18:07:29+00:00,226.56479430314312,218.73847336239373,210.83271455202774,218.15671456209353,220.42125127371875
28,1986-02-26 18:07:06+00:00,235.0982764234926,210.57183589703052,214.58095246730818,215.05480391376193,221.63958524866675
