,dates,per0075-0000,per0075-0001,per0075-0002,per0075-0003,per0075-0004,per0075-0005,per0075-0006,per0075-0007,per0075-0008,per0075-0009,per0075-0010,per0075-0011,per0075-0012,per0075-0013,per0075-0014,per0075-0015,per0075-0016,per0075-0017,per0075-0018,per0075-0019,per0075-0020,per0075-0021,per0075-0022,per0075-0023,per0075-0024,per0075-0025,per0075-0026,per0075-0027,per0075-0028,per0075-0029,per0075-0030,per0075-0031,per0075-0032,per0075-0033,per0075-0034,per0075-0035,per0075-0036,per0075-0037,per0075-0038,per0075-0039
0,1985-01-24 14:52:53+00:00,256.5699506999329,249.34480339470582,246.23594860228718,244.71689635594987,244.99244945131983,248.317297549005,256.01920896367875,254.5157328925343,255.81221937892406,260.69077310202573,251.9275093125037,244.64292690699023,247.76298764928595,248.40676678987978,254.27006869887114,265.66656776490305,275.30923489742594,285.22340550680116,286.2635262854925,279.59929945079637,281.817103452825,277.20163109419616,282.23449682032134,265.95478364464134,264.033635729917,267.4921098133919,251.12111440019908,245.553880095008,250.9865109486155,243.90851706405806,235.12057449536297,237.87862657530164,245.61236654833579,239.16950116577027,244.77235680215102,245.1006885170405,243.0844569549609,256.1016877921134,251.32204560591964,226.06707965397612
1,1986-04-01 14:48:15+00:00,234.69995176129177,225.69808270843885,226.40568283724713,224.56720500588347,223.91632462689827,224.4300212244061,225.2129288379996,231.34926393098192,233.41520988271284,234.42751977591175,235.08288241727632,235.57114133468184,240.73715873259283,235.83818066885618,241.7836331942729,247.3795159297901,254.08079686880635,261.15291595732873,261.85963358238814,266.400301564615,263.7916791016385,266.56020298593427,260.34148571759044,251.75697389947464,252.305935989185,237.81737020478985,244.5885305613747,240.6467208938211,235.1150984686312,229.10145595752195,236.49739405793994,243.1916200035442,241.86750921544336,245.05017196780963,251.27809788544243,246.8180221194631,249.2460675981589,265.22244822245136,250.81936725074738,218.08728543252235
2,1986-05-03 14:47:30+00:00,,,,,,,,,,197.1233226105939,,,176.63054520783263,,,,,,,,,208.08842248060404,,,188.70075507753955,203.01754317573904,194.01021438293876,186.55633747887967,194.91945880577626,196.5329579139381,189.2893845284201,190.03912580795793,194.49227590100904,197.78806550805925,211.2066042107164,218.0422217467613,214.5632306803625,232.8931751888834,215.19114640405044,176.93058828529797
3,1986-07-06 14:45:34+00:00,205.13390534820746,196.94313073205072,192.9021287736117,197.0678798805435,193.8039738082258,206.63583429436,199.58502931000496,203.52215865727587,211.66355049320742,216.16306130806734,217.21014597514576,217.53105905291366,211.122329183111,218.94511949695809,222.05584796709618,233.4295722287196,236.8308603188599,237.48930744663147,247.27861259703343,245.27368082639282,240.17387742956092,244.7961390177161,240.38601132539353,237.89491502221506,223.73891626671184,235.58628644068048,232.2957527410277,221.85028210928164,221.00952106726146,220.32627103610105,215.52461949904014,221.91849211953146,223.18632194967327,234.12099869803788,231.5262678426604,234.19501931410562,234.21200125390985,253.38287489811668,231.75635927614334,201.15819481331917
4,1986-09-08 14:43:16+00:00,207.1616557150128,200.52525084712693,180.6988026272441,191.22608226566584,183.95048091911173,193.42311734582378,193.70895380931194,198.7259420659263,205.65045703156636,208.00199754918955,204.65674136997558,204.2489000880821,205.97330279582454,223.03224254590697,226.51954858001784,230.66635298780687,232.84131977734825,230.960010819544,236.76585596552525,242.08103733609815,240.40643203479155,245.30817117942388,235.7615520951939,228.4659805731863,228.9122580554189,222.32016485235198,219.90863724878218,210.78255324518562,206.11793789162127,214.78633398032503,215.67617478896597,220.33203978386945,220.94143486210302,224.38887804643926,230.0331420753118,231.8835936636538,239.13580836468427,259.4030552812495,247.29931634964657,200.88432481424564
5,1987-04-04 14:45:05+00:00,213.21755595130193,200.0367953398396,194.50305895507472,206.36951503650445,207.71727544850947,205.70774704887947,206.1152496288608,209.71333265272256,212.11891589289485,219.85658992347192,217.81418133752064,216.9921379494645,216.8292003677048,224.93620295990416,232.0778743735574,237.15815909132354,241.3312765054161,247.33426713407755,249.20753164176895,258.2296922326219,253.01311249743011,264.79696743095764,260.62092319198234,244.49061346992255,248.76513349203674,239.13022407573828,229.52170442935244,227.70124658485213,235.66775833194197,227.5379291192103,220.5851758311671,231.27927412741002,231.5001970265027,230.26408488721884,238.15931062340792,244.192126439508,247.7373205831845,264.8276917797057,261.82359535620384,221.01521879946904
6,1987-05-22 14:46:31+00:00,210.11590407555627,197.2833324538035,192.73291333013404,197.4363629368201,,,,198.50106487741618,209.05131740579984,212.63639201195718,212.97555947357378,212.25398601039623,217.19153758208162,217.92296408194522,223.92808247421246,220.9048939791439,226.94429929753147,230.1948095146803,240.24385458423097,247.37590291739681,253.47477042947742,241.8510634439603,238.61258189173418,235.69271845104913,233.5714474749668,223.69914206208432,216.5215921322139,217.81168071624285,213.71237810721058,213.36887554687772,211.29209567895393,216.79293558812708,216.34888609307572,216.4229728157969,230.5617783411381,235.18338258928068,238.6320810082093,255.01725433437213,234.96312581691765,208.30485824251372
7,1987-06-23 14:47:16+00:00,204.10525019140277,191.68956229525108,184.07883583162908,185.02474381311154,184.13324587065242,199.60680374084973,195.9438028967679,199.5919134349417,202.45723292465954,206.52795319750973,210.52381118964362,206.92708808807654,213.09158124435467,219.77423820937398,220.9988108358671,220.87790367232068,225.8143853767287,228.64464776801415,229.29057350349436,231.9338366292265,233.6783343479449,237.11369329822116,236.57204295378116,234.01314442848886,219.46498741100152,222.1049273464839,212.4735672946334,210.9392531263858,211.38712113453346,213.43052729136565,206.89318745737705,207.6631503277558,208.20570404846308,217.33156012919082,224.98930618750836,224.8606172579133,224.43928730155875,239.63792145404688,231.17708795131725,204.1629050023431
8,1987-07-25 14:47:55+00:00,209.59662530862133,197.7528373753778,191.77783690446972,193.68689790441516,197.120796109542,194.3637552083743,199.28041225715793,199.67400289711895,205.8906755271691,213.10944681614495,211.03925356551542,216.56104396160137,219.22126993398356,223.68038067212686,226.0526423110585,229.31410433245443,231.60455041929592,229.21325797294634,238.6405596581062,241.90329421436044,243.6864734638162,244.70623333014169,235.20451539683046,238.540404624824,229.69233533326602,215.84759103995458,228.28425071200755,223.81323897227924,218.43892452473466,221.37461969765704,215.36067716968586,219.68021132535603,221.34643221909758,227.91571810145686,229.8914902114979,233.11526839890195,237.1909028819152,252.35251495668626,232.4912675062972,210.9055338633917
9,1987-08-26 14:48:52+00:00,190.37324982624767,180.0828551593131,,132.26915848902303,156.16533628798814,162.3690842748422,,,,191.64244748149454,188.36577100548013,193.63950567196224,193.02709343367246,206.66626890714423,198.71883636670958,201.33935903497465,209.967540354599,210.73455711537073,220.44804169204573,212.07817258734784,214.52736317830204,229.43137192830466,214.6803554358566,204.57453282138732,206.39049778335308,201.369584702788,204.85155067084239,199.00038255039894,201.88019098805736,197.46490249552826,199.12384356914757,199.7644885647577,203.12848031855762,207.68461497252935,219.97428973352348,222.545667463468,227.5415007646504,242.209285351491,,194.94779908028212
