,dates,usa_CA_0076-0000,usa_CA_0076-0001,usa_CA_0076-0002,usa_CA_0076-0003,usa_CA_0076-0004,usa_CA_0076-0005,usa_CA_0076-0006,usa_CA_0076-0007,usa_CA_0076-0008
0,1984-04-18 18:01:41+00:00,237.1155677316776,227.4364444760434,223.8108721338281,226.4276657982965,223.94881656552664,231.83994546865162,220.843383699505,213.29163297608912,210.87014564451073
1,1984-04-27 17:55:28+00:00,233.39872992662146,232.36595777156268,223.97566503824072,221.94095152117578,224.85275961683087,227.60531566667674,220.31882335161671,215.9157682631308,216.48184992018804
2,1984-05-04 18:01:45+00:00,234.82699594420615,231.8917613969476,226.05150591255253,215.9597163904625,213.96166319849368,225.50169588781097,217.49582306983285,210.85030102693457,209.11812162753515
3,1984-06-14 17:56:37+00:00,243.31539467898054,235.09301624353367,229.92694598706234,223.868022979846,224.87257554276425,229.97984575744877,228.84860101122558,222.43627931609188,217.8179156851685
4,1984-10-04 17:58:26+00:00,204.83628516804131,200.76749536925928,216.23236325398977,213.2110209024265,218.82296652391386,232.05060299691328,225.66025575201493,222.55838778912775,226.75871045998744
5,1984-10-27 18:04:31+00:00,221.81488682473946,216.9187547440611,217.96443550535335,218.0169437661763,216.87753409255754,226.4059301685616,229.4119061788003,231.63398073728192,229.53335762982397
6,1984-12-14 18:04:35+00:00,226.82801626293576,241.9155898694272,239.63149798170542,241.8914222013369,236.44014763481746,243.26270796061948,239.67957482880573,231.56098139519221,238.75986770995206
7,1984-12-30 18:04:44+00:00,237.7858966759851,240.41216399022346,238.15508220468357,240.35108508875388,236.76396647951483,250.44466460167277,239.43418897134165,243.84559859804318,246.51558478344808
8,1985-01-08 17:58:37+00:00,,,,,212.11738502754878,218.29385241345682,212.71741677954918,211.49726623272545,211.27717710471688
9,1985-01-15 18:04:51+00:00,237.39181024114703,240.4925260630807,237.48124814389055,239.17915096905432,235.78755496923569,241.91126802948662,232.96868915130815,232.65514151948454,239.00498290694804
10,1985-01-31 18:04:55+00:00,246.16347886523477,244.0438967562367,240.77950033347298,240.33633634252084,245.6429131918445,246.21878980212992,244.41043997477817,233.9726761905331,239.68793770093976
11,1985-02-25 17:58:46+00:00,250.1269011602768,246.97686233172274,243.0941310278247,236.9035037627295,232.56844346803706,233.92181293812743,232.7270229822179,229.6623633854739,235.37761253310785
12,1985-03-20 18:04:55+00:00,240.65892309129947,241.8231831183843,235.04425163316523,227.9453187787438,230.28111211679865,235.26702885275233,231.96407153685087,227.12132098829642,221.0139897971555
13,1985-03-29 17:58:42+00:00,246.84942149265638,243.16423148434754,240.86646221074184,234.38917118832742,230.5687486362873,234.1346896310593,227.69320140565105,224.87592943940035,227.7058800671678
14,1985-08-11 18:04:12+00:00,199.95312204976457,200.4005986033727,213.9816221762813,212.60356985522333,224.11192797359195,228.58815235505784,231.9147101275793,220.2707250786421,223.6180296120225
15,1985-09-12 18:03:49+00:00,213.23415125021373,213.8413918065988,211.1889624844711,210.61100001057267,226.44823364325723,233.2082273879708,241.6356110449592,243.40888480578187,244.15870361580366
16,1985-09-21 17:57:31+00:00,201.13219489381154,205.39574695708126,205.07370402937403,200.69575534788805,215.23985197169625,229.09853378742136,229.13265053747918,225.03347682916652,231.96885735041926
17,1985-10-14 18:03:28+00:00,219.8772426032631,218.72610463768356,212.96210056959382,214.4918256959606,216.72939955194877,236.13100466639577,232.47572478676614,238.69986789759432,244.2277812480627
18,1985-11-15 18:03:01+00:00,223.20818491460506,223.71686666736696,224.50113407684023,229.22830544021036,226.82531798720373,239.43134195537615,241.07698564622203,232.6348249596214,239.7375301099304
19,1985-12-10 17:56:22+00:00,217.20621204716826,219.7011368077002,217.27033536943156,214.17589250663443,218.92053254972183,228.574320447051,223.98021899817272,222.52839559806782,229.09229004687742
20,1986-01-18 18:01:49+00:00,223.75808493744367,223.78230756012726,226.03658523159606,232.60002770277228,236.98697746960752,242.197065537802,237.19475067073427,231.51298699256023,240.58733171051347
21,1986-01-27 17:55:26+00:00,223.1552904309338,237.9533410959028,232.2468920492192,233.1528504145267,235.78150800570236,237.68811018652391,237.80064294970313,233.29381311807063,239.0329052543163
22,1986-02-03 18:01:28+00:00,219.53963112315398,225.43177465598438,218.7727244702887,221.81755262412167,225.7152684782095,232.89823539593,226.17984096944284,215.14237700362327,220.297821149271
23,1986-04-08 18:00:05+00:00,,,,,,,,,
24,1986-04-17 17:53:42+00:00,242.2157246461614,237.45705727605068,236.42297836336482,228.63315790627814,228.05297681830322,235.1305646884396,230.7997581366262,227.6769249133362,226.5185343189764
25,1986-06-20 17:51:54+00:00,231.24450780738468,230.08788708953506,230.22536527189126,221.95526193946338,228.7442806355066,239.83505304988412,235.7875467942725,227.36326427819984,234.16486421166107
26,1986-07-22 17:50:49+00:00,205.11717748536307,209.35985979306463,216.66853329295782,219.279908709238,229.68888695067233,231.61563994869366,225.304592571208,227.418523238342,232.9402303547315
27,1986-07-29 17:56:45+00:00,,,,,,,,,
28,1986-08-23 17:49:39+00:00,222.00296740137537,220.15423936815776,225.73685876610708,223.5463747684268,231.58707558348078,236.70061598757079,240.7464086280898,244.17525893114976,243.05264038703336
29,1986-08-30 17:55:34+00:00,194.5582226189745,200.97040447324346,213.96436404370544,212.6008508140798,213.92306377808296,223.630645777083,220.23120736301567,211.64809367670514,220.74676343306913
30,1986-11-11 17:46:55+00:00,218.06981261880068,231.5860811883326,231.25116547350584,230.95809293039247,230.9395259171971,239.99569874134775,234.68711369437025,229.81286066674764,231.0770833944993
31,1986-11-27 17:46:36+00:00,227.70550781706314,223.24461604539206,229.11228913013232,229.86805251892267,234.0113344691379,238.4378482462856,234.30281843095923,234.28882276471467,232.68698542398838
32,1986-12-20 17:53:28+00:00,218.86156812203785,232.03100447772354,233.77890057849618,235.45014819308773,232.37284254383823,242.13861917582233,236.40475002152013,226.16708910175018,236.53056813221934
33,1987-01-05 17:53:57+00:00,216.04851291770092,219.15118767384968,221.57502855310497,222.61007368580363,226.55167621316247,230.23438744258945,223.6533084622883,214.88907361790655,217.38447277134452
34,1987-01-14 17:48:01+00:00,226.61933888937057,229.5954817635924,228.75336403520762,222.38762354505775,226.4452012753092,234.70353631592056,231.72364704755967,224.2254369459305,230.42649603467095
35,1987-01-21 17:54:24+00:00,246.47433853973692,242.6954217816278,241.27923801666998,248.21729406531594,243.90055090235404,242.79365276553176,240.68576904965394,232.46502283081983,235.8122771845972
36,1987-02-06 17:54:58+00:00,245.85325182761477,243.9624100558503,241.37223107618448,239.30115549280953,235.08299333254095,237.00744982981212,231.70413575672717,225.56407570512448,226.77133272910194
37,1987-03-03 17:49:45+00:00,241.48555304300922,238.3367919029266,238.28246693586277,234.05475426113875,230.5641970835378,235.92645192598985,231.89753830290763,226.23833229429704,227.87361118713105
38,1987-03-19 17:50:21+00:00,239.41584457010373,241.60331705213153,235.1554522838447,228.58514059984992,229.01868606795944,232.1589362112233,224.24236190824533,217.33796845695977,215.565525275135
39,1987-03-26 17:56:47+00:00,260.28471307601495,252.77923644345242,248.29910622040973,236.57871900257933,236.2929830084747,240.972559535181,234.73341669861338,234.64081445473784,233.12020311300404
40,1987-04-04 17:50:55+00:00,242.58226666177984,242.66022964116115,237.6772669300615,231.05815136350776,230.03062400815978,232.6905040676039,226.09123043888303,216.05032491274218,222.23183442894728
41,1987-04-20 17:51:26+00:00,251.5029685762382,252.1483707430576,244.5388123013067,236.7265232798684,239.66045066711982,240.5451217909863,235.95301057627856,229.8047734487403,234.36958789132595
42,1987-05-22 17:52:20+00:00,220.5085033750496,222.59553599277666,223.87670774051796,222.00699239809586,227.2357013519122,236.72815859889732,227.6957586056623,215.83997532363287,229.71828526730698
43,1987-05-29 17:58:41+00:00,232.6780147828201,236.60079748077425,233.94892389038841,225.55410915486075,237.02766581463615,242.4135148045826,239.29669001087365,225.55483372706212,228.16362934647668
44,1987-07-25 17:53:44+00:00,234.19504813533672,237.43347603958085,230.4946466806264,233.35974936602338,232.08020838283997,242.28639455580907,235.21683780512095,231.6546565100985,234.2161657244969
45,1987-08-01 18:00:08+00:00,228.44760353988582,220.52436121708308,218.08697219075913,219.7910813188213,226.0091771108165,231.55325118741607,223.57142183661736,223.32352157466983,227.6588695733236
46,1987-09-02 18:01:03+00:00,206.7840744854042,216.99322924599844,223.58985091985954,220.8538868882182,216.81999412485166,226.1049177718167,228.79295041580377,226.28444264033917,225.17245371543888
47,1987-09-11 17:55:06+00:00,210.58694572420444,212.91147802630115,216.59573813014626,223.58671328077173,223.50266908418118,231.71849888197954,225.34114533333667,218.98664766494397,226.1795878252207
