dates,satname,sar1336-0000,sar1336-0001,sar1336-0002,sar1336-0003,sar1336-0004,sar1336-0005,sar1336-0006
1984-05-06 09:33:51+00:00,L5,218.75,213.69,245.50,264.38,387.85,498.06,294.36
1984-08-26 09:36:33+00:00,L5,219.76,36.90,45.26,274.62,209.15,513.10,
1984-09-11 09:36:38+00:00,L5,216.35,39.43,46.26,273.05,209.29,497.98,
1984-09-27 09:36:39+00:00,L5,217.79,217.26,242.92,264.14,384.69,498.23,296.50
1984-10-29 09:36:32+00:00,L5,226.10,220.93,245.90,271.88,390.81,503.20,297.35
1985-06-26 09:36:35+00:00,L5,214.16,207.75,54.84,275.30,213.58,497.74,
1985-07-28 09:36:22+00:00,L5,215.76,217.61,227.61,272.37,371.49,497.88,274.92
1985-08-13 09:36:12+00:00,L5,217.79,216.35,61.83,272.50,220.14,497.98,185.02
1985-08-29 09:36:02+00:00,L5,216.23,214.59,225.16,273.55,370.86,512.87,
1985-12-03 09:34:43+00:00,L5,215.64,216.09,61.90,277.29,208.21,498.06,
1986-01-04 09:34:08+00:00,L5,215.03,217.10,237.99,275.88,378.01,497.69,277.02
1986-04-10 09:32:04+00:00,L5,223.32,216.89,246.49,271.53,388.83,497.70,291.63
1986-05-12 09:31:17+00:00,L5,229.70,225.07,267.55,257.45,399.20,506.07,292.06
1986-05-28 09:30:50+00:00,L5,216.32,213.27,86.00,263.06,217.80,482.86,
1986-06-29 09:29:50+00:00,L5,217.37,214.80,198.62,269.98,225.14,497.81,
1986-07-31 09:28:43+00:00,L5,209.87,31.16,62.10,274.03,203.57,482.97,
1986-09-01 09:27:32+00:00,L5,213.30,196.63,68.43,278.82,205.41,497.95,
1986-09-17 09:27:01+00:00,L5,219.47,220.06,79.28,267.30,219.29,503.99,187.27
1986-11-04 09:25:25+00:00,L5,,,411.43,,562.73,,
1987-01-23 09:26:28+00:00,L5,214.47,201.22,76.90,266.96,219.53,482.79,
1987-03-28 09:28:52+00:00,L5,226.17,214.02,65.00,269.51,216.22,497.87,
1987-04-13 09:29:24+00:00,L5,219.42,212.01,77.15,267.05,217.30,497.84,
1987-05-15 09:30:21+00:00,L5,226.50,218.31,79.31,269.65,215.74,497.92,
1987-06-16 09:31:07+00:00,L5,223.25,217.34,247.87,272.72,388.18,497.94,290.62
1987-07-02 09:31:27+00:00,L5,216.17,212.01,74.04,260.44,218.95,485.61,
1987-07-18 09:31:44+00:00,L5,220.29,217.15,79.25,280.10,202.35,497.76,176.16
1987-08-19 09:32:41+00:00,L5,228.16,51.14,68.88,253.03,218.09,512.90,
1987-09-04 09:33:07+00:00,L5,227.41,211.81,74.24,257.21,214.70,497.96,
1987-09-20 09:33:30+00:00,L5,225.50,216.75,78.38,270.61,215.21,505.64,
1987-11-07 09:34:26+00:00,L5,224.21,217.78,466.23,254.09,215.48,498.88,184.20
1987-12-25 09:35:13+00:00,L5,229.72,225.21,575.27,243.23,231.82,522.84,176.70
1988-01-10 09:35:29+00:00,L5,221.87,224.86,552.97,268.72,387.37,512.88,291.72
1988-02-11 09:36:05+00:00,L5,221.97,219.07,580.55,252.46,229.43,521.11,178.48
1988-04-15 09:36:38+00:00,L5,231.28,228.11,594.77,252.28,399.39,523.47,322.04
1988-06-02 09:37:02+00:00,L5,218.49,214.74,113.50,267.31,217.28,513.00,170.00
1988-07-04 09:37:12+00:00,L5,224.31,218.47,64.63,259.61,217.24,497.84,
1988-08-05 09:37:16+00:00,L5,218.22,218.90,573.45,273.60,386.48,501.34,290.99
1988-08-21 09:37:17+00:00,L5,210.67,208.09,573.62,279.85,376.33,482.99,276.28
1988-09-06 09:37:19+00:00,L5,225.76,227.82,564.40,261.10,403.46,527.22,309.35
1988-09-22 09:37:13+00:00,L5,221.33,221.89,559.01,263.74,401.30,503.62,307.83
1988-10-08 09:37:09+00:00,L5,214.79,220.88,117.57,277.15,207.08,497.85,
1988-12-27 09:36:51+00:00,L5,216.52,220.36,564.78,268.69,393.48,497.94,298.43
1989-01-12 09:36:44+00:00,L5,221.13,221.70,557.81,259.93,403.12,513.11,308.99
1989-01-28 09:36:31+00:00,L5,215.99,220.74,572.27,260.34,387.01,497.82,298.97
1989-03-01 09:36:18+00:00,L5,223.57,219.85,575.49,252.68,394.60,512.94,306.31
1989-05-20 09:34:56+00:00,L5,226.06,224.17,568.32,266.48,400.12,506.21,308.27
1989-07-23 09:33:45+00:00,L5,209.85,217.94,238.88,278.29,376.70,482.79,262.32
1989-08-24 09:33:03+00:00,L5,215.67,217.63,262.98,269.19,399.65,497.94,293.32
1989-09-25 09:32:16+00:00,L5,229.20,218.88,571.25,247.00,400.60,513.06,308.65
1989-10-11 09:31:53+00:00,L5,216.68,224.05,568.04,260.70,403.53,498.35,312.27
