dates,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077,satname
1999-08-03 21:59:44+00:00,,359.60,351.83,353.47,351.69,344.74,335.74,331.36,328.34,322.95,331.48,326.05,323.38,322.89,322.23,315.84,310.91,307.82,310.35,308.89,306.15,307.79,308.26,311.37,311.15,313.81,325.78,331.87,341.32,341.67,327.33,318.00,316.03,312.28,308.65,314.44,310.31,302.20,301.93,320.33,335.57,323.01,308.62,316.45,316.48,317.87,318.25,317.50,329.17,347.79,342.53,345.89,334.22,320.99,323.57,318.83,315.29,314.19,,,,,,,,,,,,,,,,,,,,310.69,L7
1999-08-28 21:53:35+00:00,368.07,365.42,360.12,357.52,350.10,345.20,342.65,343.93,340.53,340.24,336.28,335.00,331.97,324.78,325.86,324.13,318.44,318.01,316.88,314.59,316.88,322.33,320.93,323.12,327.24,325.95,330.09,338.40,337.90,349.58,344.44,337.31,331.95,323.81,320.50,322.92,321.97,325.44,326.83,328.71,333.60,330.39,331.58,334.54,336.37,330.98,323.76,327.20,325.94,325.48,329.55,328.44,333.68,328.06,328.48,322.15,324.52,318.55,321.86,328.91,334.57,336.03,340.35,341.62,353.34,355.02,361.91,365.96,367.84,369.54,364.93,365.64,361.90,368.62,367.06,356.89,351.20,347.84,L7
1999-09-13 21:53:29+00:00,368.17,361.91,358.00,357.37,352.30,346.71,344.74,341.58,340.49,338.40,336.09,332.32,326.48,324.60,322.98,318.95,315.10,313.35,310.27,312.44,313.78,318.39,321.64,319.45,324.47,328.27,336.55,339.25,343.77,359.44,346.08,333.42,334.94,323.53,319.49,316.82,318.04,318.36,320.17,322.46,331.38,335.99,334.45,334.85,333.81,327.61,324.48,327.50,333.39,324.93,327.31,333.80,331.84,323.25,323.90,319.66,325.07,320.71,325.53,327.72,332.32,335.29,341.21,345.53,351.16,350.19,356.76,359.70,359.49,363.58,364.57,361.91,360.88,361.12,361.19,351.89,350.25,343.13,L7
1999-12-09 21:59:45+00:00,378.75,368.54,369.04,360.38,352.50,345.97,338.45,337.42,334.69,332.70,323.54,319.69,315.53,313.52,311.78,317.03,311.09,313.23,316.86,318.76,317.04,318.82,316.91,316.61,322.49,320.58,318.63,326.82,322.79,332.17,328.16,324.21,319.00,313.48,312.61,311.26,309.22,313.29,312.77,312.55,314.35,322.91,323.49,322.90,322.41,322.41,315.51,309.98,305.68,309.12,317.75,316.18,321.08,320.86,320.05,312.05,310.34,308.59,309.23,311.13,311.04,314.69,309.19,310.25,322.34,327.01,337.85,341.84,347.71,348.93,345.32,345.38,345.61,347.85,,,,,L7
1999-12-25 21:59:40+00:00,376.52,365.84,361.79,361.73,350.23,343.60,340.02,337.69,336.51,328.69,327.70,320.98,318.10,317.99,319.06,310.16,316.60,312.24,312.76,316.28,315.33,314.80,314.39,317.73,321.52,320.60,319.25,319.45,322.33,325.91,323.80,321.05,317.45,313.37,310.01,309.49,309.25,314.64,310.26,314.82,321.91,327.60,325.64,327.67,322.83,317.39,314.61,320.37,320.94,308.89,313.09,315.59,320.99,320.22,314.30,312.92,318.23,313.62,308.99,308.87,313.61,313.29,313.96,298.49,,,,,,,,,,,,,,,L7
2000-03-14 21:59:23+00:00,,,,,,,,,,,,,,,,335.92,332.92,329.28,327.36,325.40,326.10,324.87,329.23,331.78,335.51,337.81,338.74,341.25,341.20,342.99,337.25,331.32,331.15,334.84,333.64,332.92,332.48,329.49,330.82,339.35,343.69,350.25,350.08,347.45,339.39,336.50,337.29,338.01,338.18,337.70,342.78,344.02,333.56,332.81,334.54,336.46,337.76,338.88,333.34,332.30,333.97,337.66,341.77,346.05,347.56,349.18,353.91,360.43,372.12,371.64,368.37,370.67,364.33,365.33,363.25,353.52,353.10,355.26,L7
2000-03-30 21:59:21+00:00,371.95,369.25,366.54,361.64,356.20,349.43,341.77,342.19,338.80,339.71,332.59,330.56,330.05,331.38,329.87,329.78,325.75,321.00,321.57,321.68,323.73,324.31,325.00,327.03,330.36,333.92,338.24,338.85,336.99,336.27,331.46,326.85,327.37,328.71,328.16,327.17,325.23,325.81,325.15,328.63,333.08,337.73,337.11,341.79,339.70,333.71,328.42,329.89,328.92,328.83,333.53,330.85,333.56,333.18,329.70,328.91,330.02,329.01,332.21,330.52,331.30,334.88,335.93,340.06,346.30,342.07,344.61,358.77,365.00,373.18,373.85,364.29,363.57,360.24,363.98,359.20,356.90,349.70,L7
2000-05-26 21:52:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.31,346.45,336.71,,L7
2000-07-13 21:52:07+00:00,373.00,368.63,363.26,368.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.58,326.01,324.68,322.08,321.82,315.51,319.04,318.85,319.69,326.56,316.39,319.54,314.06,315.78,321.15,311.55,318.02,330.11,332.84,337.04,341.95,350.90,353.67,353.69,360.49,365.81,365.24,358.82,358.37,356.66,349.84,,,,,L7
2000-08-05 21:57:56+00:00,,,,,,,,,,,,,,,,,,,,,307.50,319.30,310.28,308.88,311.71,318.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
