dates,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077,satname
1999-08-03 21:59:44+00:00,,359.60,351.83,353.47,351.69,344.74,335.74,331.36,328.34,322.95,331.48,326.05,323.38,322.89,322.23,315.84,310.91,307.82,310.35,308.89,306.15,307.79,308.26,311.37,311.15,313.81,325.78,331.87,341.32,341.67,327.33,318.00,316.03,312.28,308.65,314.44,310.31,302.20,301.93,320.33,335.57,323.01,308.62,316.45,316.48,317.87,318.25,317.50,329.17,347.79,342.53,345.89,334.22,320.99,323.57,318.83,315.29,314.19,,,,,,,,,,,,,,,,,,,,310.69,L7
1999-08-28 21:53:35+00:00,368.07,362.51,355.98,355.50,350.89,344.97,339.19,337.64,334.43,331.60,333.88,330.52,327.68,323.83,324.05,319.99,314.68,312.91,313.62,311.74,311.51,315.06,314.60,317.25,319.19,319.88,327.93,335.13,339.61,345.62,335.88,327.65,323.99,318.04,314.57,318.68,316.14,313.82,314.38,324.52,334.59,326.70,320.10,325.50,326.43,324.43,321.00,322.35,327.56,336.63,336.04,337.16,333.95,324.52,326.02,320.49,319.90,316.37,321.86,328.91,334.57,336.03,340.35,341.62,353.34,355.02,361.91,365.96,367.84,369.54,364.93,365.64,361.90,368.62,367.06,356.89,351.20,329.26,L7
1999-09-13 21:53:29+00:00,368.12,362.31,356.65,356.12,351.36,345.55,341.04,338.96,336.45,333.86,334.62,331.12,327.28,324.09,323.69,319.64,314.82,313.06,312.50,311.97,312.27,316.17,316.94,317.98,320.95,322.68,330.81,336.51,341.00,350.23,339.28,329.58,327.64,319.87,316.21,318.06,316.77,315.33,316.31,323.83,333.52,329.80,324.88,328.61,328.89,325.49,322.16,324.07,329.50,332.73,333.13,336.04,333.25,324.10,325.32,320.21,321.63,317.82,323.69,328.32,333.44,335.66,340.78,343.57,352.25,352.61,359.34,362.83,363.66,366.56,364.75,363.77,361.39,364.87,364.12,354.39,350.73,333.89,L7
1999-12-09 21:59:45+00:00,371.66,363.87,359.75,357.19,351.65,345.65,340.39,338.57,336.01,333.57,331.85,328.26,324.34,321.45,320.71,318.99,313.88,313.10,313.59,313.67,313.46,316.83,316.94,317.64,321.34,322.15,327.76,334.08,336.44,345.72,336.50,328.24,325.48,318.27,315.31,316.36,314.88,314.82,315.43,321.01,328.73,328.07,324.53,327.19,327.27,324.72,320.50,320.55,323.55,326.83,329.28,331.08,330.20,323.29,324.00,318.17,318.81,315.51,318.87,322.59,325.98,328.67,330.25,332.47,342.28,344.07,352.17,355.83,358.35,360.68,358.27,357.64,356.13,359.20,364.12,354.39,350.73,333.89,L7
1999-12-25 21:59:40+00:00,372.88,364.26,360.16,358.09,351.36,345.24,340.32,338.40,336.11,332.60,331.02,326.81,323.09,320.76,320.38,317.22,314.43,312.93,313.42,314.19,313.84,316.43,316.43,317.66,321.37,321.84,326.06,331.16,333.62,341.75,333.96,326.80,323.87,317.29,314.25,314.99,313.76,314.79,314.39,319.77,327.36,327.98,324.76,327.28,326.38,323.25,319.32,320.51,323.02,323.24,326.05,327.98,328.36,322.68,322.06,317.12,318.69,315.13,316.40,319.16,322.88,324.82,326.18,323.97,342.28,344.07,352.17,355.83,358.35,360.68,358.27,357.64,356.13,359.20,364.12,354.39,350.73,333.89,L7
2000-03-14 21:59:23+00:00,377.63,367.19,365.41,361.06,351.37,344.79,339.23,337.56,335.60,330.70,325.62,320.33,316.81,315.75,315.42,321.04,320.20,318.25,318.99,320.15,319.49,319.50,320.18,322.04,326.51,326.33,325.54,329.17,328.77,333.69,329.74,325.53,322.53,320.56,318.75,317.89,316.98,319.14,317.95,322.24,326.65,333.59,333.07,332.67,328.21,325.43,322.47,322.79,321.60,318.57,324.54,325.26,325.21,324.63,322.96,320.48,322.11,320.36,317.19,317.43,319.54,321.88,321.64,318.26,334.95,338.10,345.88,351.13,359.91,360.28,356.85,358.02,354.97,356.59,363.25,353.52,353.10,355.26,L7
2000-03-30 21:59:21+00:00,375.74,367.88,365.79,361.25,352.98,346.33,340.08,339.10,336.67,333.70,327.94,323.74,321.23,320.96,320.24,323.22,321.59,318.94,319.64,320.53,320.55,320.70,321.38,323.29,327.47,328.23,328.72,331.59,330.83,334.33,330.17,325.86,323.74,322.60,321.11,320.21,319.05,320.81,319.75,323.84,328.26,334.62,334.08,334.95,331.08,327.50,323.96,324.56,323.43,321.13,326.79,326.66,327.30,326.77,324.65,322.59,324.09,322.52,320.94,320.70,322.48,325.13,325.21,323.71,338.73,339.42,345.46,353.68,361.61,364.58,362.51,360.11,357.84,357.81,363.62,356.36,355.00,352.48,L7
2000-05-26 21:52:36+00:00,375.74,367.88,365.79,361.25,352.98,346.33,340.08,339.10,336.67,333.70,327.94,323.74,321.23,320.96,320.24,323.22,321.59,318.94,319.64,320.53,320.55,320.70,321.38,323.29,327.47,328.23,328.72,331.59,330.83,334.33,330.17,325.86,323.74,322.60,321.11,320.21,319.05,320.81,319.75,323.84,328.26,334.62,334.08,334.95,331.08,327.50,323.96,324.56,323.43,321.13,326.79,326.66,327.30,326.77,324.65,322.59,324.09,322.52,320.94,320.70,322.48,325.13,325.21,323.71,338.73,339.42,345.46,353.68,361.61,364.58,362.51,360.11,357.84,357.81,357.51,353.06,348.90,352.48,L7
2000-07-13 21:52:07+00:00,372.48,368.94,364.90,365.29,356.20,349.43,341.77,342.19,338.80,339.71,332.59,330.56,330.05,331.38,329.87,332.85,329.34,325.14,324.46,323.54,324.92,324.59,327.12,329.40,332.94,335.87,338.49,340.05,339.10,339.63,334.36,329.09,329.26,331.77,330.90,330.04,328.86,327.65,327.99,333.99,338.39,343.99,343.59,340.94,335.03,331.63,329.26,329.91,327.54,328.52,331.72,331.52,331.23,327.46,327.93,326.48,327.85,329.68,325.70,326.95,331.79,335.13,338.25,342.69,348.25,348.31,350.74,359.90,367.64,370.02,367.01,364.44,361.52,358.47,357.51,353.06,348.90,352.48,L7
2000-08-05 21:57:56+00:00,372.48,368.94,364.90,365.29,356.20,349.43,341.77,342.19,338.80,339.71,332.59,330.56,330.05,331.38,329.87,332.85,329.34,325.14,324.46,323.54,319.11,322.83,321.50,322.56,325.86,330.09,338.49,340.05,339.10,339.63,334.36,329.09,329.26,331.77,330.90,330.04,328.86,327.65,327.99,333.99,338.39,343.99,343.59,340.94,335.03,331.63,329.26,329.91,327.54,328.52,331.72,331.52,331.23,327.46,327.93,326.48,327.85,329.68,325.70,326.95,331.79,335.13,338.25,342.69,348.25,348.31,350.74,359.90,367.64,370.02,367.01,364.44,361.52,358.47,357.51,353.06,348.90,352.48,L7
