dates,satname,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077
1999-08-03 21:59:44+00:00,L7,,369.17,361.40,363.04,359.13,353.67,344.67,340.93,338.65,333.26,341.79,336.36,333.69,331.82,333.40,326.15,321.22,318.13,320.66,319.20,316.46,318.96,319.43,322.54,323.33,324.12,336.09,343.04,352.49,353.85,340.73,331.40,329.43,323.45,320.83,327.84,323.71,317.09,315.33,333.73,347.75,336.41,322.02,329.85,329.88,331.27,329.42,329.68,340.34,358.96,355.93,354.82,347.62,333.17,334.74,327.76,326.46,321.63,,,,,,,,,,,,,,,,,,,,324.09
1999-08-28 21:53:35+00:00,L7,355.36,352.71,347.41,344.81,340.21,333.33,330.78,331.22,326.84,326.55,322.59,321.31,318.28,312.91,311.03,310.44,304.75,304.32,303.19,300.90,303.19,307.50,306.10,308.29,311.06,312.26,316.40,323.57,323.07,333.40,326.64,319.51,314.15,308.98,304.32,305.12,304.17,305.66,309.03,310.91,317.42,312.59,313.78,316.74,318.57,313.18,308.93,311.02,311.11,310.65,311.75,316.57,315.88,311.88,313.65,310.28,309.69,308.66,309.99,312.73,314.79,319.85,327.64,328.91,335.54,338.84,342.13,346.18,345.59,349.76,348.75,350.81,348.21,348.84,347.28,340.71,331.42,330.04
1999-09-13 21:53:29+00:00,L7,365.17,358.91,355.00,354.37,349.97,343.91,341.94,338.58,337.26,335.17,332.86,329.09,323.25,321.80,319.48,315.72,311.87,310.12,307.04,309.21,310.55,314.89,318.14,315.95,320.65,325.04,333.32,335.75,340.27,355.62,341.88,329.22,330.74,320.03,315.67,312.62,313.84,313.69,315.97,318.26,327.56,331.79,330.25,330.65,329.61,323.41,320.98,323.68,329.89,321.43,323.11,331.00,327.64,319.43,320.40,316.86,321.57,318.38,322.73,323.90,327.65,331.47,338.21,342.53,346.96,346.37,352.09,355.03,354.24,358.91,360.75,358.41,357.65,356.45,356.52,348.07,345.58,338.93
1999-12-09 21:59:45+00:00,L7,368.18,357.97,358.47,349.81,344.28,336.10,328.58,326.85,323.31,321.32,312.16,308.31,304.15,303.65,299.45,305.65,299.71,301.85,305.48,307.38,305.66,306.49,304.58,304.28,309.04,309.20,307.25,314.49,310.46,318.72,313.36,309.41,304.20,301.15,299.16,296.46,294.42,296.85,297.97,297.75,300.90,308.11,308.69,308.10,307.61,307.61,303.18,296.53,293.35,296.79,302.95,306.31,306.28,307.41,307.72,302.18,298.01,300.37,299.36,297.68,294.60,301.24,298.62,299.68,307.54,313.56,321.41,325.40,329.21,332.49,331.87,333.05,334.23,331.41,,,,
1999-12-25 21:59:40+00:00,L7,372.95,362.27,358.22,358.16,347.45,340.27,336.69,334.12,332.66,324.84,323.85,317.13,314.25,314.66,314.89,306.31,312.75,308.39,308.91,312.43,311.48,310.63,310.22,313.56,316.97,316.75,315.40,315.28,318.16,321.36,318.80,316.05,312.45,309.20,305.46,304.49,304.25,309.08,305.26,309.82,317.36,322.60,320.64,322.67,317.83,312.39,310.44,315.82,316.77,304.72,308.09,312.26,315.99,315.67,310.13,309.59,314.06,310.84,305.66,304.32,308.05,308.74,310.39,294.92,266.60,268.33,,,,,,,,,,,,
2000-03-14 21:59:23+00:00,L7,,,,,,,,,,,,,,,,341.15,338.15,334.51,332.59,330.63,331.33,330.54,334.90,337.45,341.69,343.04,343.97,346.92,346.87,349.17,344.05,338.12,337.95,340.51,339.82,339.72,339.28,337.05,337.62,346.15,349.87,357.05,356.88,354.25,346.19,343.30,342.96,344.19,343.85,343.37,349.58,348.55,340.36,338.99,340.21,340.99,343.43,342.66,337.87,338.48,341.53,343.84,346.63,350.91,354.36,355.36,361.47,367.99,380.62,379.20,374.55,376.34,369.56,372.89,370.81,359.70,360.66,362.06
2000-03-30 21:59:21+00:00,L7,371.24,368.54,365.83,360.93,355.64,348.76,341.10,341.48,338.03,338.94,331.82,329.79,329.28,330.71,329.04,329.01,324.98,320.23,320.80,320.91,322.96,323.48,324.17,326.20,329.45,333.15,337.47,338.02,336.16,335.36,330.46,325.85,326.37,327.88,327.25,326.17,324.23,324.70,324.15,327.63,332.17,336.73,336.11,340.79,338.70,332.71,327.59,328.98,328.09,328.00,332.53,330.18,332.56,332.27,328.87,328.24,329.19,328.45,331.54,329.61,330.19,333.97,335.22,339.35,345.30,341.16,343.50,357.66,363.75,372.07,372.94,363.46,362.80,359.13,362.87,358.29,355.79,348.70
2000-05-26 21:52:36+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.42,355.54,347.82,219.48
2000-07-04 21:58:26+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.53,218.73,219.02
2000-07-13 21:52:07+00:00,L7,363.86,359.49,354.12,359.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.61,320.78,313.21,311.88,311.41,310.18,304.84,308.37,306.05,311.16,313.76,304.75,308.87,305.53,305.11,314.04,303.02,306.38,315.89,321.20,327.90,332.81,338.10,342.03,339.47,346.27,349.81,351.02,347.18,347.70,346.81,335.62,203.15,198.99,215.99,216.89
