dates,satname,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030
2003-05-03 21:49:49+00:00,L7,376.83,364.88,357.31,357.52,362.98,370.97,370.03,356.05,355.44,356.45,366.49,368.16,358.48,356.07,353.72,354.13,353.22,354.84,361.48,362.64,369.57,357.56,333.90,318.31,320.32,323.66,333.58,339.32,336.19,317.78,326.39
2003-05-19 21:49:43+00:00,L7,351.18,350.80,348.99,341.77,342.31,350.28,338.00,329.28,331.12,328.04,326.88,330.66,330.33,333.92,334.39,333.52,328.14,331.29,340.73,339.75,347.46,333.18,314.34,314.25,317.11,319.76,324.48,326.32,326.11,311.01,325.89
2003-07-30 21:37:45+00:00,L5,368.42,363.09,357.94,354.91,362.38,375.69,367.16,356.13,354.02,357.39,360.76,363.94,362.45,358.41,353.43,352.41,345.77,347.92,355.57,353.32,363.15,352.89,331.67,317.14,312.38,315.54,327.69,337.04,330.31,317.22,330.27
2003-10-18 21:39:00+00:00,L5,362.73,357.81,353.51,362.58,360.18,371.94,366.71,357.82,357.58,360.71,367.54,354.20,350.99,346.83,348.10,346.45,349.77,362.23,366.61,361.93,366.95,357.56,336.40,322.11,317.65,320.96,321.93,332.08,318.62,309.57,316.25
2003-12-13 21:49:49+00:00,L7,356.99,354.22,348.78,350.84,357.47,365.11,357.47,,,,351.52,357.50,348.24,349.69,346.05,349.17,350.14,359.53,355.54,358.44,359.37,350.45,,,,315.84,326.36,333.73,,453.51,471.65
2004-01-22 21:39:52+00:00,L5,375.14,367.51,359.37,359.86,367.49,376.33,372.95,363.04,347.82,350.67,355.00,353.88,349.98,350.58,350.59,363.30,364.85,368.91,370.23,373.76,377.27,366.02,339.92,313.57,310.04,317.52,326.25,338.42,334.44,313.88,336.45
2004-02-23 21:40:02+00:00,L5,347.10,339.15,340.71,348.39,359.79,362.74,356.67,348.74,348.01,350.62,351.81,337.02,338.49,337.52,337.65,335.48,337.51,340.27,359.93,357.99,359.04,350.91,331.26,315.43,310.67,315.70,306.99,321.73,315.19,298.50,311.15
2004-04-03 21:50:18+00:00,L7,402.55,378.54,373.34,373.37,377.87,384.82,377.47,376.09,374.12,376.12,375.77,372.18,,,363.12,364.69,367.43,379.78,379.78,380.09,391.22,370.26,347.67,331.65,330.36,327.41,343.26,359.27,,,355.85
2004-05-21 21:50:13+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-22 21:50:04+00:00,L7,345.03,336.10,,,,352.21,351.03,339.61,341.42,342.50,346.64,348.42,343.05,343.13,339.82,339.37,341.80,341.81,,,351.76,340.24,317.95,310.54,301.38,305.27,318.29,327.52,321.18,307.90,317.18
2004-06-23 21:36:34+00:00,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-08 21:50:02+00:00,L7,362.37,358.76,351.41,349.95,,,362.76,356.51,355.08,355.58,361.71,361.93,354.12,352.97,351.74,352.64,351.87,351.76,363.15,,,345.30,326.07,313.51,307.43,312.81,326.17,332.44,328.60,319.46,327.92
2004-08-25 21:49:49+00:00,L7,366.78,358.30,350.35,351.09,,,360.14,353.01,348.01,344.52,350.39,359.71,355.21,352.40,351.60,349.21,344.46,357.40,365.31,,,336.61,326.21,316.29,305.68,310.40,320.12,333.74,327.08,313.15,323.41
2004-09-10 21:49:43+00:00,L7,384.78,369.47,365.75,366.51,370.36,379.37,373.89,358.74,366.40,365.40,357.88,367.64,372.16,361.29,365.39,,,370.06,374.01,370.20,373.11,356.44,329.97,323.10,318.21,320.74,333.68,348.33,338.75,324.63,
2004-09-18 21:44:58+00:00,L5,350.92,346.78,345.98,346.54,352.22,363.18,359.73,347.08,343.52,343.58,337.27,347.74,346.35,340.04,345.17,342.90,342.42,349.12,352.36,350.14,353.82,346.84,324.89,309.15,299.31,301.65,314.15,325.59,318.88,311.55,318.61
2004-10-12 21:49:36+00:00,L7,390.47,377.39,370.99,374.97,375.58,383.97,378.05,368.85,,,378.69,377.60,372.61,369.55,371.72,371.78,368.85,374.41,376.22,381.76,385.03,361.87,342.91,,,,339.76,347.67,337.44,328.69,350.22
2004-10-20 21:45:40+00:00,L5,362.77,348.22,345.66,350.13,359.29,368.84,360.01,350.72,350.44,353.98,357.19,354.63,345.59,346.81,345.98,347.46,341.71,348.58,349.97,355.47,362.31,346.75,324.98,310.66,307.69,307.07,319.81,322.73,317.78,309.97,318.47
2004-10-28 21:49:52+00:00,L7,,,356.18,366.37,365.69,372.05,366.90,354.18,355.62,361.83,366.10,362.93,361.46,357.32,358.11,361.52,,,363.16,,,,,,,,,,,,
2004-11-13 21:49:59+00:00,L7,373.84,367.95,364.99,,,,365.59,358.14,361.78,364.04,368.02,365.48,362.92,359.58,359.74,363.57,360.76,364.09,,,,,,,,,,,,,
2005-02-09 21:47:31+00:00,L5,382.70,375.87,364.07,364.38,375.87,390.84,380.74,359.83,356.24,355.05,361.02,365.97,361.48,352.00,362.56,369.13,363.24,366.77,368.90,368.06,370.80,354.46,337.84,312.51,305.49,308.11,317.98,330.42,323.53,323.77,333.90
2005-02-17 21:50:40+00:00,L7,379.91,373.04,363.95,361.93,368.05,376.36,374.41,370.24,363.85,,,371.13,363.34,355.11,355.93,356.12,355.95,357.67,363.47,363.30,364.61,359.51,338.12,324.72,,,320.54,336.84,332.15,322.81,325.13
2005-03-05 21:50:44+00:00,L7,381.28,372.46,366.18,360.81,368.76,379.56,375.30,,,365.78,371.64,369.96,365.15,361.66,357.93,356.57,356.40,360.79,365.51,368.57,372.23,365.95,,,310.43,312.60,324.52,335.54,329.41,317.02,325.77
2005-04-06 21:50:40+00:00,L7,398.27,381.93,375.03,373.80,377.72,381.29,,,356.43,362.67,367.35,370.66,371.48,362.34,358.77,361.11,363.20,369.80,371.41,373.86,371.21,,,312.55,315.85,316.21,330.12,348.87,334.72,325.80,342.65
2005-04-22 21:50:35+00:00,L7,384.90,371.40,365.02,366.95,,,,353.60,355.04,356.52,361.26,363.98,363.44,357.92,355.02,355.70,358.00,365.82,368.62,370.77,,,324.46,315.99,311.32,313.19,325.13,336.68,329.99,317.64,329.88
2005-04-30 21:48:14+00:00,L5,,,,,,,,,,,,353.27,352.28,350.24,346.21,343.34,334.64,338.34,337.89,340.35,347.15,340.11,319.51,310.44,308.97,304.57,309.96,325.22,324.31,318.62,324.13
2005-05-08 21:50:39+00:00,L7,382.24,369.72,361.83,353.84,358.10,,,356.78,359.52,357.66,358.27,355.28,361.36,357.36,351.81,350.36,350.34,358.03,365.78,367.31,,,,314.84,311.63,312.04,324.57,332.93,326.26,318.05,330.13
2005-05-24 21:50:38+00:00,L7,,377.06,362.00,358.56,365.20,370.12,369.17,368.38,363.68,362.83,361.03,361.63,367.40,360.11,360.73,,,357.99,362.07,361.03,365.01,357.49,327.86,315.33,310.53,314.31,324.46,336.52,332.19,323.08,
2005-06-01 21:48:30+00:00,L5,366.13,357.86,352.91,352.20,357.32,359.91,358.30,354.94,350.62,350.31,351.63,353.09,350.88,353.38,352.51,350.27,355.24,359.14,362.06,361.24,356.19,341.12,316.94,304.73,303.00,307.94,309.88,324.48,324.66,314.49,322.49
2005-06-25 21:50:27+00:00,L7,340.41,331.84,335.88,335.84,341.53,352.71,345.93,340.00,336.04,,,333.50,336.59,332.13,333.63,334.10,334.58,338.71,343.68,343.23,348.12,332.41,308.42,299.87,292.93,,,308.97,312.90,298.53,310.87
2005-08-12 21:50:23+00:00,L7,360.45,364.89,358.88,359.10,362.37,370.63,364.79,,,351.73,356.07,359.47,355.38,350.32,348.06,349.40,350.75,352.25,356.90,354.23,358.11,348.74,,,298.15,307.66,317.90,324.64,325.59,310.30,321.88
2005-08-20 21:49:06+00:00,L5,388.94,382.77,369.72,367.22,374.20,374.73,372.35,361.00,358.19,362.75,371.13,380.17,374.45,368.79,366.89,366.94,366.08,367.06,361.71,357.07,364.25,367.60,335.21,320.55,312.94,321.46,338.08,345.92,342.04,327.90,345.47
2005-08-28 21:50:16+00:00,L7,376.59,367.38,358.22,353.64,360.16,367.48,366.88,359.61,356.99,355.70,361.02,364.20,,,345.12,351.38,350.36,351.40,356.37,359.71,364.42,362.00,325.64,311.97,304.99,312.27,319.50,333.94,,,327.38
2005-08-29 21:42:58+00:00,L5,,,,,365.54,375.34,371.56,361.53,358.29,358.26,366.84,,,,,,,,,,,,,,,,,,,,
2005-10-07 21:49:06+00:00,L5,,352.27,346.96,345.52,354.32,364.25,356.51,351.98,346.53,343.80,345.53,348.07,345.52,340.29,344.10,344.03,342.71,350.57,351.80,353.77,359.21,346.76,326.02,308.71,299.46,301.65,307.25,321.39,318.92,302.64,314.17
2005-10-31 21:50:23+00:00,L7,,,365.63,371.69,381.74,393.03,382.06,359.51,367.02,381.57,382.26,377.18,372.73,372.35,372.12,368.37,,,374.64,379.04,383.56,382.32,349.68,329.45,322.93,331.25,343.33,358.61,344.19,331.47,351.80
2005-11-08 21:49:16+00:00,L5,352.92,343.41,342.31,346.18,354.79,366.39,357.87,346.18,334.31,341.21,343.41,341.74,340.12,338.32,333.13,341.10,337.26,342.09,348.05,349.17,358.17,345.34,316.25,294.58,291.40,291.83,300.77,309.89,308.55,293.57,319.10
2006-01-03 21:50:49+00:00,L7,341.37,339.83,335.89,336.50,340.79,349.81,343.31,333.88,335.44,337.07,339.72,342.89,,,,330.72,334.48,339.50,339.75,340.68,344.52,337.39,308.36,298.11,295.68,297.52,300.81,312.89,,,303.52
2006-01-27 21:51:10+00:00,L5,407.34,388.94,378.72,382.13,389.10,398.04,389.74,386.36,376.50,374.34,374.27,372.50,368.27,367.75,366.66,367.12,371.11,376.51,377.41,378.59,393.01,416.69,367.07,326.67,321.61,325.50,336.13,355.00,344.16,330.96,350.77
2006-02-20 21:51:07+00:00,L7,361.75,357.43,352.28,349.88,355.51,365.26,361.45,350.63,351.88,349.69,348.74,348.68,,,,342.57,346.84,348.49,350.47,352.26,357.35,357.01,325.61,312.48,307.66,310.65,319.01,328.56,,,315.73
2006-02-28 21:51:52+00:00,L5,382.48,375.01,366.53,361.55,369.97,380.96,376.25,366.37,365.15,366.91,365.16,362.09,363.77,358.86,358.56,357.84,358.03,361.06,366.87,367.83,376.34,369.33,337.25,320.82,312.02,318.10,323.90,346.54,341.88,321.62,331.95
2006-05-27 21:51:06+00:00,L7,385.43,375.26,360.01,357.88,367.38,378.51,372.15,364.03,356.95,359.19,,,359.64,357.21,353.53,354.96,353.33,357.94,367.01,365.01,369.22,357.10,330.48,318.74,314.81,,,339.10,332.68,318.73,329.19
