,dates,aus0201-0000,aus0201-0001,aus0201-0002,aus0201-0003
0,1987-05-22 23:07:44+00:00,195.05368078935433,174.68965073031913,171.6992663016919,166.25867259528357
1,1987-09-11 23:10:29+00:00,204.56761199621857,180.1015380577273,179.68139455400117,182.36383222018168
2,1987-09-27 23:10:51+00:00,221.766779848676,198.45249334182003,198.2553638607167,205.54491200209233
3,1987-11-14 23:11:47+00:00,192.37815968521647,172.19343424781403,168.97706738895107,167.4939358005386
4,1988-02-18 23:13:23+00:00,193.45923040222473,173.28044563006802,169.46436398590623,165.32012986851112
5,1988-05-08 23:14:02+00:00,198.45607413947195,172.79692692320606,172.63055735570273,165.34600065572832
6,1988-06-09 23:14:15+00:00,192.7885996964273,169.27411412962059,167.86266685886994,
7,1988-06-25 23:14:20+00:00,,175.54749057999805,171.5869882601389,
8,1988-07-27 23:14:26+00:00,179.67912576080806,174.20033645975033,162.846492372814,159.75390222726475
9,1988-08-12 23:14:25+00:00,183.0620109005011,166.75236015678468,161.60543312288064,159.4453910888432
10,1988-08-28 23:14:30+00:00,191.87867244124402,178.43397429129246,165.63329256975078,165.86146798969398
11,1988-09-29 23:14:21+00:00,207.42338285809987,188.4123525632371,175.498271163625,170.23066257497842
12,1988-10-15 23:14:16+00:00,204.9778800525707,187.63801839166294,175.14160426949255,175.47038621508693
13,1989-01-19 23:13:42+00:00,196.80104553015613,178.69459942949666,166.5419534472541,162.14992537476897
14,1989-02-20 23:13:39+00:00,187.50238772998438,176.4171978857907,160.48341367299096,157.40808943853762
15,1989-03-08 23:13:15+00:00,205.52020083403167,188.96861423578716,188.57863467526127,172.24283736950346
16,1989-06-12 23:11:41+00:00,203.43134524417934,181.81066972612757,175.59513991983482,
17,1989-06-28 23:11:25+00:00,203.6782477088186,173.84372440260154,167.90247163546238,
18,1989-07-30 23:10:47+00:00,204.47713067624213,190.90754797603753,185.19627427751504,164.27959006110294
19,1989-08-15 23:10:23+00:00,187.58978458285344,180.06463845274627,172.2880802508554,162.370783530891
20,1989-09-16 23:09:32+00:00,209.2295867908804,176.7272630598713,177.96957447822365,169.24525744219025
21,1989-10-02 23:09:23+00:00,190.85040385145226,174.83639522863658,170.2709610703743,170.4716317717149
22,1989-10-18 23:08:40+00:00,199.54847493306696,176.4541820934978,174.6549589271757,172.11238643201284
23,1989-11-03 23:08:23+00:00,190.1452023113315,183.68248284610704,165.7037507835145,166.1178718173197
24,1989-11-19 23:07:42+00:00,199.25129161639285,182.36255059115615,175.55711368401248,167.57894733877256
25,1990-04-12 23:03:54+00:00,203.51417740958362,191.07922832496968,183.84073095941733,179.41564172175032
26,1990-07-01 23:03:52+00:00,213.81818631453547,193.31421717798176,191.03071289180883,184.97599355078103
27,1990-09-03 23:03:33+00:00,183.13906424984478,156.64606425208564,159.91250493573298,163.01860990493321
28,1990-09-19 23:03:30+00:00,200.32219892038688,179.3105304950108,179.35800050445044,174.7784082175636
29,1990-11-06 23:03:11+00:00,211.80495858860277,180.4426808932437,173.65245116865964,175.30957777714002
30,1991-01-09 23:03:46+00:00,210.30071988477098,186.83814652837893,172.7649506920485,170.87994446178675
