,dates,per0139-0000,per0139-0001,per0139-0002,per0139-0003,per0139-0004,per0139-0005,per0139-0006,per0139-0007,per0139-0008,per0139-0009,per0139-0010,per0139-0011,per0139-0012,per0139-0013,per0139-0014,per0139-0015,per0139-0016,per0139-0017,per0139-0018,per0139-0019
0,1984-05-06 14:44:27+00:00,,,,,,,,,,,,,,,,,,,,
1,1984-12-25 14:41:08+00:00,220.3118212825042,225.40795803863392,231.58632821642504,225.6623855407075,213.02302308123257,210.12784627898043,203.3234574430575,191.607152306643,188.90788196491445,192.23994052369656,,,,,,,207.80779279782786,205.90904409777824,208.67920347809712,206.2781992835586
2,1986-04-19 14:36:16+00:00,259.49234415310286,255.4103019860299,248.90396815417878,244.0762204413166,234.30080848069377,221.33403267934185,209.68225647758746,198.37561816842233,186.10326356982134,174.5043556560945,125.21112102644693,,,142.40069173763627,113.99675372021032,172.17486602396076,174.74816516752432,180.686703935863,188.90828266154656,188.36896010631835
3,1986-05-05 14:35:53+00:00,233.9147182600469,228.9978956204459,223.8083950705683,212.57020315468654,199.12813346778202,192.56318076275815,177.18592701130737,172.35589500746903,146.38538365780997,137.64528324508245,151.67728417224762,154.89252192704245,,132.05201038802295,140.16031587356093,140.4899108800801,,157.95228095758546,179.04000012936422,170.50847135539198
4,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,
5,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,
6,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,
7,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,
8,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,
9,1986-12-15 14:29:44+00:00,,,,,,,228.16854165604053,,,,,,,,,,,,,
10,1987-02-08 14:37:40+00:00,262.8101490778361,254.6417739377854,255.00750155134943,247.4940393842661,237.2275949039907,226.3972414563762,210.9651199220802,206.21580473655982,195.94507773435043,195.20254360744806,195.47164705321515,191.57918360108388,191.58087024820338,186.39005308448927,185.30698795005057,180.83012732435265,168.4412171427034,181.66047226754742,186.46816487736663,200.5576848543622
