,dates,per0023-0000,per0023-0001,per0023-0002,per0023-0003,per0023-0004,per0023-0005,per0023-0006,per0023-0007,per0023-0008,per0023-0009,per0023-0010,per0023-0011,per0023-0012,per0023-0013,per0023-0014,per0023-0015,per0023-0016,per0023-0017,per0023-0018,per0023-0019,per0023-0020,per0023-0021,per0023-0022,per0023-0023,per0023-0024,per0023-0025,per0023-0026,per0023-0027,per0023-0028,per0023-0029,per0023-0030,per0023-0031,per0023-0032,per0023-0033,per0023-0034,per0023-0035,per0023-0036,per0023-0037,per0023-0038,per0023-0039,per0023-0040,per0023-0041,per0023-0042,per0023-0043,per0023-0044,per0023-0045,per0023-0046
0,1985-03-27 15:04:03+00:00,170.92544909010525,202.43005665257414,234.43885865563777,230.26683210588237,230.41092830548916,244.73621518245213,258.19521705396215,271.20723022309033,293.9388373110577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.14338591924461,84.48050929386574,68.03002914040708,49.43481010808828,,,,,
1,1985-09-03 15:03:06+00:00,173.75585784522505,194.94625173298346,217.92630821043554,215.1793296501686,219.29911217807546,219.1801473018134,222.32954197092747,233.31799612914332,249.08635901857727,269.52039110843083,292.9850989871532,294.19741516613175,288.3884209369429,291.0807986472145,284.1308225892946,302.08406759993545,312.51395498523374,,,,,,,326.1779328732494,331.50185684522336,333.08191859827195,332.21914811366696,325.0405448751036,321.65999971295906,318.34233010498184,,,,,,109.37192196727393,93.01816386933537,76.55328494053009,69.55708746512524,71.9148999271107,77.4683507220392,71.48383640063207,71.39096611227508,73.69646431281403,77.9528586742704,84.56426246136034,94.91901986604947
2,1985-10-05 15:02:44+00:00,,,,217.8050686525219,217.6826080336303,217.11004276110927,219.64669653811498,227.33829501873464,,,283.4476055210295,289.24439514803066,282.6561499926296,293.41775435802566,281.01700229043274,300.1242191129604,311.3383208923732,,,,,,,334.6322339747789,331.07819773904674,321.8455053635255,302.7556524872759,293.0575621315165,296.7818046034414,295.33273939608875,,,,,,121.7109604682639,103.06244319736732,93.00482022820493,,81.53945681771759,80.68088350369823,74.37194447893648,71.08432612344868,76.58929317352775,80.0499490940207,76.21385897590517,92.8514513407966
3,1985-12-08 15:01:45+00:00,172.14031744804024,189.26405869701537,215.94334668803526,211.02099894834393,213.36016493735534,217.8684959333057,228.38832994971233,235.39972737381532,245.81025101230375,267.3941196337993,283.7732057151327,287.799547865962,287.7877204897772,282.2781920117183,278.22353981216327,285.56718035603717,298.3479893053471,311.8131109690408,319.82076089096455,324.7227886833975,326.2184034416515,331.1680484207384,,342.6602376700202,330.5393291949512,324.37689972159797,324.5756045331896,315.6300738259549,304.7769252642343,294.9186955751562,285.31733102298034,263.99675791868384,232.57314426572526,,,117.3738305694101,103.64228274800128,88.82893618649707,78.69975766427233,79.97626205133079,83.56156540932183,70.3953808502788,72.6933143093774,73.53136668230255,70.40606721873087,72.66277202814969,79.67693759632668
4,1986-01-09 15:01:10+00:00,192.3767027990294,199.34343687210773,221.2738258503711,223.75847333137685,223.74616701720032,224.5897320879385,235.94629882052797,253.0157681835577,270.53577212278196,288.65248905774524,300.06374460270104,297.14265613162564,291.0894794792617,295.91289733391574,283.992353886249,288.2894350475436,297.81848906781175,318.9909043963307,325.80723012056393,330.9939044755864,340.96757340109946,350.37600634156786,364.2975549651171,358.6439472709342,363.1920044763365,346.43071909586604,345.39459511003975,329.8901155927203,316.20474016614816,307.40920080545794,284.0530994583726,272.9885323399685,252.3644689410325,223.68109216278657,198.98229340276347,161.06179731149436,143.63615803213975,118.30389487370128,102.12461904070646,103.2776583760543,103.48352323573538,,91.67943023019356,81.35570375404302,81.35589811841652,86.48581366353082,84.97160792460379
5,1986-03-14 14:59:46+00:00,194.20731596032795,217.53657840532776,240.8868339828517,238.22673308354496,237.10964697361112,240.74927937717547,249.32702397429088,254.450655839795,268.5135285280179,288.961676399129,302.1875485041668,305.24833729938814,302.4764847498141,300.5359391631813,286.3405986484605,285.9212241300353,307.7446246865492,320.29340141317346,331.09691829718867,345.0203847939337,353.89600404611684,359.62641464998063,364.94407339176286,373.4710426696878,365.2499280559683,351.8513196660308,342.23267336400005,337.9481440153747,329.1481822419356,327.2669019868117,312.3645020659068,293.3292968445681,266.0717840550348,237.24044816592829,209.84199894039247,174.8815388332295,147.47678632579684,124.70921098805918,103.8911269440747,96.49281363225269,86.72697937698668,65.29050728537015,,,,,
6,1986-05-17 14:58:17+00:00,200.19096520586322,215.2867453429462,239.57359532870012,235.68689653954377,230.72176580844143,228.50350788135358,234.38380306868729,239.3505658441832,250.73571931528392,270.77238190260437,291.99856907033126,295.8143299463219,290.3779668969774,295.7373739702917,283.9348748686701,292.37956587256605,313.8854309651774,332.2203189411168,338.0114223408178,351.2802324908788,352.20241801124575,355.81530515897526,365.0307496229733,372.4081764665795,370.18999021722544,350.44911133160855,335.58129190042075,328.18096820315014,315.46774939085356,299.4023699424436,,,,,201.34207582848316,169.60643492354717,137.71198080840074,104.87475584286189,89.27870814659397,65.41804369511465,52.11215375407627,32.067191435450646,,,,,
7,1986-07-04 14:56:48+00:00,190.84000221074137,211.65273109837662,242.16818592300444,240.5304874255841,240.04628776336523,239.4934019319719,243.43654227899637,248.19974277220072,260.29358236171737,279.73366770066673,296.90875618781087,299.5116560131707,295.6085669057757,296.9077945648152,282.2706165742939,291.16170112656664,307.60449247769685,327.4455239801784,335.3196950406302,342.8266986573764,347.62147741902544,349.2448529611334,358.2044425670148,356.53867216169164,344.59214883972834,328.1174234467451,323.23218906239873,326.0102963980694,309.19464479525453,300.1108347842497,282.14414022899047,271.69682906114014,250.90813149877442,217.40072348551877,183.79303046575004,149.77733273650324,121.3021111200662,97.15734940330641,81.23485913575199,69.539969805855,72.66313920646594,54.5387759831672,49.283137082810825,49.79718761162325,63.89424697049427,73.71219529673306,80.04173384542054
8,1986-07-20 14:56:15+00:00,187.01041186904752,206.54970220710163,228.13106344051295,234.37140601181136,228.0479855166136,226.79346519043517,232.51333972968163,237.4901418543487,248.26746109195432,264.7764520782325,277.20442248829227,278.3482336650641,275.9778289592514,273.5115939041647,264.51350645466334,274.9214159777803,289.3003914080454,313.13123103511856,314.8007528960498,322.6097909272826,324.7238545485775,332.76612193220336,333.9974408735807,329.64680470274266,327.69891947110784,319.0405463065779,311.0654689389271,301.1619138865804,296.7045483513792,283.5291781945492,,,,,182.81505265121726,145.15850183762146,110.55730092425864,86.05000014897465,71.34361280126362,64.8615022195661,70.22084385411502,49.75592028262298,43.76846929736555,45.58528728110889,52.512404049827374,68.58870700035766,82.42785650195721
9,1986-08-05 14:55:41+00:00,182.9629734697806,198.25898509752236,222.82753697692124,224.825868930403,223.82965352702854,219.91130591157886,219.96114307270315,224.61692747648647,235.5108035050037,247.26009792281405,268.1193671577197,262.16005857731295,258.61424602385614,266.1745857644261,254.71991671808948,264.5310933432504,270.59890532356303,297.80894705833447,301.48131633470695,307.5434489137095,309.51219280038606,314.1471203963883,316.56173535866645,298.5365956676698,304.6086954569119,308.734825972296,298.79632093600185,287.0935957764597,280.87727444917977,273.3749858310996,,,,,168.38365768008347,138.77330576264612,111.72682634455805,78.85532978156213,66.7644664324121,57.771917571614715,50.26111790276448,39.782054570261955,38.51921867598042,41.06586655633514,48.44015737255399,60.07535021844942,75.72354417320757
