,dates,per0218-0000,per0218-0001,per0218-0002,per0218-0003,per0218-0004,per0218-0005,per0218-0006,per0218-0007,per0218-0008,per0218-0009,per0218-0010,per0218-0011,per0218-0012,per0218-0013,per0218-0014,per0218-0015
0,1985-03-26 14:23:59+00:00,,,,,,,,,,,,,,,,
1,1986-01-31 14:26:49+00:00,177.8852681050161,168.93745771100097,157.75108963207018,166.16128031458888,168.6030874113314,168.74454161467372,157.8415992172254,170.03824862642307,195.39978800375837,189.96983866841066,177.95582316105336,184.0314901048272,202.7727500087045,198.88487298819533,181.712411621288,183.71297189941524
2,1986-07-19 14:16:13+00:00,164.48813097322133,152.95917830052744,147.72057851641455,156.44350058363884,157.47678194267155,156.3223332620072,167.70868963799128,170.7345139268507,172.86233320149205,173.04738270840528,174.88354517687304,180.73106715487808,188.5386014915535,189.90202138911366,174.9030355671868,182.0246651775986
3,1986-10-30 14:18:50+00:00,158.03250460859897,147.05241866038386,145.8049689899826,136.6158125193325,137.10205231016042,149.5839102498986,146.5223187258063,149.9620497959704,165.5206376364087,163.71752300566152,157.66645922370577,159.87963313121836,167.24356065908339,175.75482153555635,160.0430470357443,159.40850931362462
4,1986-11-15 14:18:13+00:00,152.46868754105407,147.40971619117582,139.8470869296539,141.60446661707908,142.52882730357513,153.46675847256896,148.24600348628354,155.15686718230998,163.32281998522305,156.46465820468356,153.64961885345417,150.5566689779232,158.04234551734072,168.2911338590454,159.69600708078718,157.15880691070564
5,1986-12-26 14:12:44+00:00,154.88349551972965,171.3827447917781,175.43949628072298,144.68416876003897,152.99141043457027,154.34622011310864,155.66631023735385,,,,171.8594865550218,157.43704433405466,163.35910831653942,186.99650559441628,167.7783895697508,167.85007485679876
6,1987-01-11 14:13:12+00:00,157.99460933403617,149.3296308529356,158.6687319525455,153.88315384744294,154.91874979106976,151.82049194367403,157.1314084534219,142.57554820248419,166.29389750193369,162.99791344737423,157.60258970311506,160.81161734691057,173.4096048974235,176.05714435932515,166.3035694232213,165.35298142707728
7,1987-12-29 14:22:23+00:00,,,,,,,,,,,,,,,,
8,1988-02-06 14:29:16+00:00,160.1888072495044,160.50417342729955,162.32514623100724,163.77529686307025,155.31188327699505,154.16982156794327,147.393452910855,154.64692056294817,165.52708595560028,177.42252265391704,159.8149344715207,167.48335380620406,,198.88751211447908,168.86891002197356,175.14722687024215
9,1988-02-15 14:23:13+00:00,138.33164014107618,120.62682948792363,,147.57838222024566,134.64025149179037,144.09805860133497,144.8623785884802,143.81828201663748,165.57761370153392,167.99721353183742,166.2317249259485,164.42086514723798,198.31739335672646,188.31669607334806,172.85989546573083,161.25523939306933
10,1988-03-02 14:23:24+00:00,161.33853151250014,160.31555419466045,169.17266074089613,172.98664517886598,154.79695491996125,165.17687274743432,145.7668572927005,144.56698813016504,171.97907636854734,170.82766536489572,173.27537915109275,166.882977702063,187.73173571552653,182.74759178387998,165.88264664108425,163.87380840292
11,1988-03-18 14:23:33+00:00,154.62851668755772,153.9103776209299,139.38169921651055,145.08343162365463,149.71309011857025,146.66093934168205,153.17826853086714,165.5307730832839,181.50111090866562,174.81215863124854,160.58383451308015,170.58808637093983,185.45990725465782,185.82674790659567,172.0014140758309,170.0005775090377
