,dates,jap0199-0000,jap0199-0001,jap0199-0002
0,1984-07-31 00:45:29+00:00,188.38540101422146,148.91101562532796,147.41020932913986
1,1984-08-16 00:46:00+00:00,218.0325801641297,146.51701786332234,149.744960131295
2,1984-11-04 00:45:46+00:00,295.3298397834354,186.75026918252524,186.80758109522225
3,1985-01-07 00:46:06+00:00,296.6646769266027,197.43377796469585,191.5108626862442
4,1985-09-04 00:45:15+00:00,266.5776621211842,180.4317105750074,174.22853857746722
5,1985-12-09 00:43:54+00:00,268.46625228304697,179.8158025160967,166.52526950478
6,1986-01-10 00:43:19+00:00,299.12036583893115,193.05041159279966,188.44489793354546
7,1986-04-16 00:41:14+00:00,248.09205784287568,163.1855867594769,165.33615970554675
8,1986-10-09 00:36:01+00:00,244.69498938299375,147.92513866727558,140.31037462479992
9,1986-12-12 00:34:30+00:00,248.53901863155417,167.18988564905837,156.04328637581173
10,1987-02-14 00:36:58+00:00,244.0703672349886,161.12905972137557,152.29112746250206
11,1987-03-02 00:37:11+00:00,265.9529772392248,187.79086752235233,184.27877884775017
12,1987-04-19 00:39:16+00:00,,157.1595179307496,159.11776619142913
13,1987-05-05 00:39:45+00:00,,151.44322584936558,156.46420757692573
14,1987-05-21 00:39:47+00:00,269.3358338606171,178.58012271451335,180.35319739974395
15,1987-07-24 00:41:10+00:00,239.86764093095357,172.74060626081342,166.1133534978386
16,1987-08-09 00:41:41+00:00,235.75490621738578,180.1301685757091,177.06742703410936
17,1988-04-05 00:46:18+00:00,216.29442414150617,143.64874358636607,150.92215804022942
18,1988-11-15 00:46:49+00:00,251.71438643150213,163.99191717022129,142.63049904786513
19,1988-12-01 00:46:24+00:00,271.32821851280164,176.85437776253738,174.21838239418602
20,1988-12-17 00:46:33+00:00,249.29527478471823,162.9948062758706,160.8312142316806
21,1989-01-18 00:45:52+00:00,274.13897297777527,175.78440069744445,171.84413033550325
22,1989-03-23 00:44:46+00:00,,184.07228167112086,182.3688167035727
23,1989-08-30 00:42:13+00:00,258.6257520001506,176.9893407217059,181.29553976740823
24,1989-11-02 00:40:32+00:00,271.8322675594226,170.15513256450834,162.43750530999708
25,1989-11-18 00:40:18+00:00,,147.90380693380902,142.49106776565822
26,1989-12-20 00:39:08+00:00,299.4114538683567,,
27,1990-01-05 00:38:33+00:00,302.1439885179367,,190.50730167289896
28,1990-03-26 00:36:26+00:00,,137.4543691073186,145.47083174394555
29,1990-04-11 00:36:23+00:00,,154.1201661999612,161.93839687597352
