dates,satname,sar2501-0000,sar2501-0001
1984-04-13 09:26:43+00:00,L5,311.55,
1984-05-06 09:33:03+00:00,L5,222.08,227.78
1984-06-07 09:33:54+00:00,L5,249.22,236.52
1984-07-18 09:28:22+00:00,L5,232.91,228.48
1984-08-19 09:29:27+00:00,L5,233.01,218.04
1984-08-26 09:35:45+00:00,L5,223.35,215.42
1984-09-04 09:29:37+00:00,L5,232.38,217.99
1984-09-11 09:35:50+00:00,L5,226.53,218.03
1984-09-20 09:29:40+00:00,L5,233.19,219.93
1984-10-13 09:35:49+00:00,L5,231.24,201.67
1984-10-22 09:29:36+00:00,L5,239.22,219.84
1984-12-09 09:29:34+00:00,L5,225.02,213.76
1985-01-10 09:29:51+00:00,L5,251.62,342.10
1985-01-17 09:36:05+00:00,L5,232.45,211.52
1985-03-15 09:29:58+00:00,L5,,
1985-04-23 09:35:59+00:00,L5,224.40,213.13
1985-05-02 09:29:43+00:00,L5,221.13,220.15
1985-05-25 09:35:51+00:00,L5,215.22,202.99
1985-06-03 09:29:40+00:00,L5,,
1985-06-10 09:35:50+00:00,L5,221.07,215.04
1985-06-26 09:35:47+00:00,L5,216.36,203.74
1985-07-05 09:29:33+00:00,L5,222.88,214.76
1985-08-06 09:29:18+00:00,L5,225.47,231.61
1985-08-13 09:35:25+00:00,L5,221.78,213.72
1985-08-22 09:29:08+00:00,L5,226.89,219.68
1985-10-09 09:28:35+00:00,L5,,
1985-12-03 09:33:55+00:00,L5,233.80,209.20
1986-01-04 09:33:20+00:00,L5,,
1986-01-13 09:26:58+00:00,L5,,
1986-02-21 09:32:17+00:00,L5,306.44,220.87
1986-03-25 09:31:37+00:00,L5,,
1986-04-10 09:31:17+00:00,L5,231.88,231.29
1986-05-12 09:30:29+00:00,L5,227.90,216.05
1986-05-21 09:24:03+00:00,L5,225.54,219.73
1986-06-06 09:23:35+00:00,L5,218.37,217.64
1986-06-22 09:23:04+00:00,L5,232.96,210.55
1986-07-24 09:21:59+00:00,L5,221.22,218.03
1986-07-31 09:27:55+00:00,L5,231.47,218.22
1986-08-16 09:27:20+00:00,L5,234.51,227.42
