dates,sar2501-0000,sar2501-0001,satname
1984-05-06 09:33:03+00:00,222.08,227.78,L5
1984-06-07 09:33:54+00:00,249.22,236.52,L5
1984-07-18 09:28:22+00:00,232.91,228.48,L5
1984-08-19 09:29:27+00:00,233.01,218.04,L5
1984-08-26 09:35:45+00:00,223.35,215.42,L5
1984-09-04 09:29:37+00:00,232.38,217.99,L5
1984-09-11 09:35:50+00:00,226.53,218.03,L5
1984-09-20 09:29:40+00:00,233.19,219.93,L5
1984-10-13 09:35:49+00:00,231.24,201.67,L5
1984-10-22 09:29:36+00:00,239.22,219.84,L5
1984-12-09 09:29:34+00:00,225.02,213.76,L5
1985-01-10 09:29:51+00:00,251.62,,L5
1985-01-17 09:36:05+00:00,232.45,211.52,L5
1985-04-23 09:35:59+00:00,224.4,213.13,L5
1985-05-02 09:29:43+00:00,221.13,220.15,L5
1985-05-25 09:35:51+00:00,215.22,202.99,L5
1985-06-10 09:35:50+00:00,221.07,215.04,L5
1985-06-26 09:35:47+00:00,216.36,203.74,L5
1985-07-05 09:29:33+00:00,222.88,214.76,L5
1985-08-06 09:29:18+00:00,225.47,231.61,L5
1985-08-13 09:35:25+00:00,221.78,213.72,L5
1985-08-22 09:29:08+00:00,226.89,219.68,L5
1985-12-03 09:33:55+00:00,233.8,209.2,L5
1986-02-21 09:32:17+00:00,,220.87,L5
1986-04-10 09:31:17+00:00,231.88,231.29,L5
1986-05-12 09:30:29+00:00,227.9,216.05,L5
1986-05-21 09:24:03+00:00,225.54,219.73,L5
1986-06-06 09:23:35+00:00,218.37,217.64,L5
1986-06-22 09:23:04+00:00,232.96,210.55,L5
1986-07-24 09:21:59+00:00,221.22,218.03,L5
1986-07-31 09:27:55+00:00,231.47,218.22,L5
1986-08-16 09:27:20+00:00,234.51,227.42,L5
1986-09-17 09:26:13+00:00,225.68,206.48,L5
1986-09-26 09:19:45+00:00,226.29,216.54,L5
1986-10-12 09:19:14+00:00,229.54,208.06,L5
1987-02-08 09:26:15+00:00,227.34,218.43,L5
1987-03-21 09:21:38+00:00,238.04,226.7,L5
1987-04-29 09:29:06+00:00,225.67,217.1,L5
1987-05-08 09:23:11+00:00,231.36,217.95,L5
1987-05-15 09:29:33+00:00,226.24,211.95,L5
1987-06-09 09:23:59+00:00,219.21,219.76,L5
1987-06-16 09:30:19+00:00,219.99,206.75,L5
1987-06-25 09:24:20+00:00,231.89,220.41,L5
1987-07-02 09:30:39+00:00,222.04,217.07,L5
1987-07-11 09:24:39+00:00,235.47,218.9,L5
1987-07-18 09:30:57+00:00,230.91,218.05,L5
1987-07-27 09:25:01+00:00,214.4,211.31,L5
1987-08-03 09:31:25+00:00,229.94,223.8,L5
1987-08-12 09:25:31+00:00,221.93,217.68,L5
1987-08-19 09:31:54+00:00,225.56,216.53,L5
1987-09-13 09:26:21+00:00,230.64,216.56,L5
1987-09-20 09:32:42+00:00,226.6,211.7,L5
1987-10-31 09:27:40+00:00,224.42,218.52,L5
1987-11-16 09:27:39+00:00,238.8,218.08,L5
1987-12-02 09:27:54+00:00,232.49,208.18,L5
1988-01-10 09:34:42+00:00,227.33,200.78,L5
1988-02-11 09:35:17+00:00,224.13,218.46,L5
1988-02-20 09:29:14+00:00,222.41,213.06,L5
1988-04-15 09:35:50+00:00,226.7,219.92,L5
1988-05-17 09:36:08+00:00,229.18,222.22,L5
1988-06-02 09:36:14+00:00,210.38,208.65,L5
1988-06-18 09:36:19+00:00,227.6,,L5
1988-07-04 09:36:24+00:00,234.11,,L5
1988-07-13 09:30:15+00:00,231.22,222.4,L5
1988-07-29 09:30:18+00:00,216.11,218.84,L5
1988-08-05 09:36:28+00:00,226.62,211.97,L5
1988-08-14 09:30:16+00:00,232.75,218.03,L5
