dates,sar1391-0000,sar1391-0001,satname
1984-05-06 09:33:27+00:00,201.82,193.07,L5
1984-09-11 09:36:14+00:00,208.18,198.50,L5
1985-07-28 09:35:58+00:00,205.67,194.04,L5
1985-08-29 09:35:38+00:00,208.07,195.77,L5
1986-01-20 09:33:24+00:00,196.68,195.84,L5
1986-05-28 09:30:26+00:00,205.81,198.79,L5
1987-01-23 09:26:04+00:00,204.20,194.72,L5
1987-04-29 09:29:30+00:00,201.97,193.21,L5
1987-06-16 09:30:43+00:00,203.36,194.92,L5
1987-07-02 09:31:03+00:00,199.97,189.95,L5
1987-07-18 09:31:20+00:00,199.72,204.68,L5
1987-09-20 09:33:05+00:00,202.74,189.87,L5
1988-01-10 09:35:05+00:00,210.41,197.80,L5
1988-03-14 09:36:03+00:00,200.07,189.05,L5
1988-06-02 09:36:38+00:00,204.22,192.15,L5
1988-08-21 09:36:53+00:00,206.81,200.58,L5
1988-12-11 09:36:33+00:00,208.09,192.74,L5
1988-12-27 09:36:27+00:00,201.62,192.94,L5
1989-01-12 09:36:20+00:00,197.82,194.29,L5
1989-03-17 09:35:16+00:00,201.55,193.56,L5
1989-05-20 09:34:32+00:00,204.47,205.62,L5
1989-06-21 09:33:55+00:00,193.39,199.53,L5
1989-08-24 09:32:39+00:00,206.03,200.43,L5
1989-09-25 09:31:52+00:00,200.65,192.92,L5
1989-11-12 09:30:31+00:00,204.66,200.45,L5
1990-04-21 09:26:22+00:00,193.99,190.11,L5
1990-05-07 09:26:19+00:00,196.80,193.50,L5
1990-07-10 09:26:16+00:00,194.69,195.77,L5
1990-09-12 09:25:59+00:00,202.26,197.83,L5
1990-10-30 09:25:35+00:00,206.39,208.28,L5
1991-06-27 09:29:13+00:00,204.03,194.78,L5
1991-08-14 09:29:39+00:00,202.13,197.73,L5
1991-11-02 09:30:16+00:00,202.29,193.56,L5
1993-01-23 09:27:51+00:00,198.11,179.82,L5
1993-03-12 09:28:18+00:00,203.16,202.02,L5
1993-06-16 09:28:38+00:00,202.07,199.30,L5
1994-05-02 09:25:53+00:00,205.15,194.91,L5
1995-05-21 09:13:28+00:00,195.03,189.08,L5
1995-07-24 09:10:32+00:00,206.09,192.60,L5
1996-05-23 09:17:41+00:00,206.75,192.26,L5
1996-06-08 09:18:34+00:00,205.08,192.33,L5
1996-07-10 09:20:15+00:00,211.98,195.65,L5
1996-12-17 09:28:27+00:00,200.85,193.50,L5
1997-05-10 09:34:19+00:00,208.80,206.35,L5
1997-07-13 09:36:33+00:00,207.82,196.91,L5
1998-01-21 09:41:44+00:00,213.24,198.38,L5
1998-03-10 09:42:39+00:00,210.95,195.88,L5
1998-06-14 09:44:01+00:00,204.02,196.47,L5
1999-01-08 09:45:10+00:00,189.15,180.74,L5
1999-04-14 09:44:51+00:00,200.51,189.96,L5
1999-06-17 09:44:05+00:00,202.71,203.28,L5
1999-07-03 09:43:56+00:00,209.68,194.10,L5
