dates,satname,sar1391-0000,sar1391-0001
1984-05-06 09:33:27+00:00,L5,201.82,193.07
1984-06-07 09:34:18+00:00,L5,,
1984-09-11 09:36:14+00:00,L5,208.18,198.50
1985-02-18 09:36:34+00:00,L5,,
1985-05-25 09:36:15+00:00,L5,,
1985-07-12 09:36:05+00:00,L5,,
1985-07-28 09:35:58+00:00,L5,205.67,194.04
1985-08-13 09:35:48+00:00,L5,,
1985-08-29 09:35:38+00:00,L5,208.07,195.77
1985-12-03 09:34:19+00:00,L5,,
1986-01-04 09:33:44+00:00,L5,,
1986-01-20 09:33:24+00:00,L5,196.68,195.84
1986-05-12 09:30:53+00:00,L5,,
1986-05-28 09:30:26+00:00,L5,205.81,198.79
1986-07-15 09:28:53+00:00,L5,,
1986-09-17 09:26:37+00:00,L5,,
1987-01-23 09:26:04+00:00,L5,204.20,194.72
1987-03-28 09:28:28+00:00,L5,,
1987-04-29 09:29:30+00:00,L5,201.97,193.21
1987-06-16 09:30:43+00:00,L5,203.36,194.92
1987-07-02 09:31:03+00:00,L5,199.97,189.95
1987-07-18 09:31:20+00:00,L5,199.72,204.68
1987-08-19 09:32:18+00:00,L5,,
1987-09-04 09:32:43+00:00,L5,,
1987-09-20 09:33:05+00:00,L5,202.74,189.87
1987-11-07 09:34:02+00:00,L5,,
1988-01-10 09:35:05+00:00,L5,210.41,197.80
1988-02-11 09:35:41+00:00,L5,,
1988-03-14 09:36:03+00:00,L5,200.07,189.05
1988-04-15 09:36:14+00:00,L5,,
1988-06-02 09:36:38+00:00,L5,204.22,192.15
1988-06-18 09:36:43+00:00,L5,,
1988-07-04 09:36:48+00:00,L5,,
1988-07-20 09:36:51+00:00,L5,,
1988-08-05 09:36:52+00:00,L5,,
1988-08-21 09:36:53+00:00,L5,206.81,200.58
1988-09-22 09:36:50+00:00,L5,,
1988-10-24 09:36:41+00:00,L5,,
1988-12-11 09:36:33+00:00,L5,208.09,192.74
1988-12-27 09:36:27+00:00,L5,201.62,192.94
1989-01-12 09:36:20+00:00,L5,197.82,194.29
1989-01-28 09:36:07+00:00,L5,,
1989-03-17 09:35:16+00:00,L5,201.55,193.56
1989-05-20 09:34:32+00:00,L5,204.47,205.62
1989-06-21 09:33:55+00:00,L5,193.39,199.53
1989-07-07 09:33:39+00:00,L5,,
1989-07-23 09:33:21+00:00,L5,,
1989-08-24 09:32:39+00:00,L5,206.03,200.43
1989-09-25 09:31:52+00:00,L5,200.65,192.92
1989-10-27 09:30:51+00:00,L5,,
1989-11-12 09:30:31+00:00,L5,204.66,200.45
1989-11-28 09:30:04+00:00,L5,,
1989-12-14 09:29:38+00:00,L5,,
1989-12-30 09:29:08+00:00,L5,,
1990-01-31 09:28:06+00:00,L5,,
1990-03-04 09:27:02+00:00,L5,,
1990-04-21 09:26:22+00:00,L5,193.99,190.11
1990-05-07 09:26:19+00:00,L5,196.80,193.50
1990-06-08 09:26:19+00:00,L5,,
1990-06-24 09:26:18+00:00,L5,,
1990-07-10 09:26:16+00:00,L5,194.69,195.77
1990-07-26 09:26:12+00:00,L5,,
1990-08-11 09:26:07+00:00,L5,,
1990-09-12 09:25:59+00:00,L5,202.26,197.83
1990-09-28 09:25:50+00:00,L5,,
1990-10-30 09:25:35+00:00,L5,206.39,208.28
1990-11-15 09:25:37+00:00,L5,,
1991-01-02 09:26:01+00:00,L5,,
1991-03-23 09:27:43+00:00,L5,,
1991-05-26 09:28:46+00:00,L5,,
1991-06-27 09:29:13+00:00,L5,204.03,194.78
1991-07-13 09:29:21+00:00,L5,,
1991-07-29 09:29:36+00:00,L5,,
1991-08-14 09:29:39+00:00,L5,202.13,197.73
1991-08-30 09:29:49+00:00,L5,,
1991-10-01 09:30:07+00:00,L5,,
1991-10-17 09:30:18+00:00,L5,,
1991-11-02 09:30:16+00:00,L5,202.29,193.56
1991-12-04 09:30:36+00:00,L5,,
1992-01-05 09:30:23+00:00,L5,,
1992-02-22 09:30:17+00:00,L5,,
1992-03-09 09:30:19+00:00,L5,,
1992-04-26 09:29:58+00:00,L5,,
1992-05-12 09:29:51+00:00,L5,,
1992-05-28 09:29:42+00:00,L5,,
1992-06-13 09:29:31+00:00,L5,,
