dates,satname,nzd0215-0000,nzd0215-0001,nzd0215-0002,nzd0215-0003,nzd0215-0004,nzd0215-0005,nzd0215-0006,nzd0215-0007,nzd0215-0008,nzd0215-0009,nzd0215-0010,nzd0215-0011,nzd0215-0012,nzd0215-0013,nzd0215-0014,nzd0215-0015,nzd0215-0016,nzd0215-0017,nzd0215-0018,nzd0215-0019,nzd0215-0020,nzd0215-0021,nzd0215-0022,nzd0215-0023,nzd0215-0024,nzd0215-0025,nzd0215-0026,nzd0215-0027,nzd0215-0028,nzd0215-0029,nzd0215-0030,nzd0215-0031,nzd0215-0032,nzd0215-0033,nzd0215-0034,nzd0215-0035,nzd0215-0036,nzd0215-0037,nzd0215-0038,nzd0215-0039,nzd0215-0040,nzd0215-0041,nzd0215-0042,nzd0215-0043,nzd0215-0044,nzd0215-0045,nzd0215-0046,nzd0215-0047,nzd0215-0048,nzd0215-0049,nzd0215-0050,nzd0215-0051,nzd0215-0052,nzd0215-0053,nzd0215-0054,nzd0215-0055,nzd0215-0056,nzd0215-0057,nzd0215-0058,nzd0215-0059,nzd0215-0060,nzd0215-0061,nzd0215-0062,nzd0215-0063,nzd0215-0064,nzd0215-0065,nzd0215-0066,nzd0215-0067,nzd0215-0068,nzd0215-0069,nzd0215-0070,nzd0215-0071,nzd0215-0072
1999-08-21 21:46:33+00:00,L7,464.08,409.35,395.04,379.14,369.60,373.63,364.89,377.02,386.79,385.03,378.69,369.84,380.71,402.23,413.96,394.17,377.28,367.78,361.27,369.95,383.06,415.42,431.89,389.53,394.61,397.30,402.04,393.64,394.44,374.60,364.74,352.70,352.58,341.77,358.77,348.81,344.13,362.61,372.06,385.16,386.85,392.19,376.09,371.24,378.52,389.62,405.13,439.34,424.48,422.09,420.50,424.93,416.63,403.66,380.76,369.40,366.75,379.10,392.60,391.84,399.16,416.67,407.26,401.57,398.49,387.30,389.16,389.03,391.90,394.79,403.49,412.53,427.78
1999-09-22 21:46:36+00:00,L7,470.48,429.94,414.87,399.39,382.64,383.09,395.14,388.75,435.09,411.01,399.64,397.76,405.22,419.67,427.28,410.58,396.35,400.05,404.73,404.99,417.42,462.47,472.65,484.81,473.24,456.64,427.94,420.36,420.97,419.03,399.36,390.36,385.19,391.60,382.85,382.86,402.78,408.17,412.73,406.52,408.88,438.87,433.42,409.46,394.59,,471.75,468.78,475.35,439.55,449.12,446.40,439.66,424.52,416.56,396.16,391.84,404.76,407.68,433.18,420.50,435.64,432.79,436.66,434.91,423.01,423.88,,414.07,406.94,412.00,448.24,477.06
2000-04-01 21:46:10+00:00,L7,447.07,411.37,400.85,399.15,400.39,399.69,406.74,420.02,404.95,411.97,411.99,413.16,402.19,405.73,405.15,403.16,398.12,403.14,407.35,417.56,447.07,447.05,436.34,422.87,437.43,424.18,422.00,409.82,414.55,401.60,400.92,395.16,392.53,379.32,382.96,380.77,403.89,399.57,398.12,384.52,387.77,404.44,398.15,416.14,413.37,424.48,457.22,468.84,451.54,432.88,429.65,420.64,415.23,414.26,415.64,416.16,420.72,423.52,445.59,446.32,463.72,465.60,438.26,426.62,419.32,417.14,414.10,419.75,417.73,420.39,423.90,438.79,464.78
2000-05-19 21:45:43+00:00,L7,384.67,364.81,364.62,357.19,352.60,362.54,373.15,378.61,380.43,384.31,374.16,374.51,377.83,382.04,380.66,378.38,378.08,378.28,384.58,382.56,392.98,390.12,365.58,385.72,381.93,383.03,395.60,389.92,384.81,372.44,365.48,364.63,365.49,353.40,353.71,354.15,360.54,369.64,370.28,369.18,375.19,380.45,388.34,389.29,,,,,,,,,,,,,,,,,417.22,434.27,429.36,419.42,399.39,386.01,388.20,396.36,393.44,398.12,405.74,415.40,421.40
2000-06-04 21:45:32+00:00,L7,350.50,335.32,329.83,325.60,322.26,325.88,325.86,332.08,339.75,341.64,333.83,330.09,337.67,349.52,354.34,350.69,352.64,355.14,352.19,360.38,352.70,323.04,296.10,343.93,356.27,357.79,356.29,353.57,349.00,345.66,336.65,333.12,330.20,315.55,315.58,322.55,326.23,333.41,337.75,338.60,335.93,337.40,347.79,353.14,363.48,375.87,382.16,381.13,380.09,369.63,361.64,353.17,347.64,342.91,351.01,351.31,354.42,359.27,370.83,378.30,382.30,408.74,400.36,389.19,378.43,367.42,363.51,373.53,374.80,384.01,393.44,395.13,408.41
2000-08-07 21:44:45+00:00,L7,447.46,395.18,375.63,361.31,360.36,374.19,385.52,372.26,358.66,352.49,357.84,368.25,380.67,393.99,401.06,398.60,376.60,362.18,368.71,374.08,388.51,398.84,405.20,390.41,384.08,378.40,387.96,389.08,385.02,374.48,368.48,364.27,360.67,357.93,361.66,351.52,367.32,363.24,369.47,366.46,372.43,370.51,365.55,370.45,380.56,389.66,401.06,415.54,404.58,392.93,378.55,374.23,371.63,371.03,374.60,374.16,378.28,382.50,394.91,407.12,404.53,420.74,413.83,401.66,389.96,378.02,380.90,388.34,394.73,398.36,411.36,419.15,432.98
2001-01-14 21:44:09+00:00,L7,382.27,365.83,365.39,358.71,353.47,354.47,373.42,381.84,380.34,375.92,376.88,378.33,377.67,389.31,397.49,388.00,383.40,373.15,376.89,389.20,389.60,386.76,319.62,377.94,380.27,379.53,372.81,371.38,377.40,367.96,369.00,367.17,368.71,363.02,346.78,355.02,359.34,362.89,368.48,370.15,367.84,371.58,373.66,363.37,367.97,386.83,392.38,405.30,397.75,378.75,374.33,368.48,361.44,356.28,350.44,358.77,359.38,369.04,371.55,381.25,394.79,416.02,406.38,391.73,379.53,368.45,366.82,378.21,381.68,387.96,393.93,396.92,413.68
2001-04-04 21:43:43+00:00,L7,468.70,431.06,417.75,407.50,405.36,399.76,402.41,404.27,417.89,426.23,411.45,416.71,415.18,416.67,418.79,413.36,408.22,423.84,414.20,415.67,428.40,452.86,460.05,468.51,479.54,,417.22,419.94,432.75,423.59,407.15,407.80,400.06,392.22,374.25,397.81,407.83,412.79,391.86,395.75,394.93,398.75,393.71,406.73,438.45,,454.06,461.26,471.94,433.93,432.33,417.20,427.02,434.07,429.71,423.49,413.88,415.94,440.72,447.95,449.07,468.66,447.77,418.63,400.28,394.26,398.56,406.27,405.47,411.91,414.05,444.08,477.43
2001-04-20 21:43:46+00:00,L7,447.74,410.89,394.67,381.41,385.85,384.87,388.75,405.47,407.96,415.41,402.74,411.83,414.18,414.65,415.13,405.09,399.60,410.10,420.59,412.84,416.03,432.42,431.58,441.38,437.13,407.31,406.20,409.60,410.82,401.81,399.73,391.18,386.95,375.13,375.97,373.76,383.04,395.44,396.96,390.72,385.58,385.78,397.44,408.16,405.43,417.64,423.59,440.53,435.73,424.82,417.76,408.14,411.93,413.94,408.62,412.55,408.65,412.62,416.30,428.94,429.63,448.36,432.05,410.50,393.05,391.12,391.81,401.72,402.38,406.91,416.76,434.86,460.76
2001-05-22 21:43:30+00:00,L7,,,,368.07,371.18,372.11,390.69,402.97,399.35,395.84,392.22,397.50,404.25,407.59,406.84,395.50,395.32,392.80,386.23,392.35,393.59,404.05,402.83,382.35,395.31,398.10,398.16,400.19,394.69,384.92,378.99,375.05,383.09,377.83,362.20,357.45,370.80,381.58,379.00,375.69,378.14,388.98,389.44,384.41,390.70,405.84,410.96,412.11,419.87,407.24,403.19,397.94,399.78,401.67,396.98,394.65,401.19,402.48,409.83,411.17,406.81,424.98,418.38,403.18,390.74,383.11,382.63,389.77,390.32,399.62,410.22,416.57,426.68
