dates,nzd0215-0000,nzd0215-0001,nzd0215-0002,nzd0215-0003,nzd0215-0004,nzd0215-0005,nzd0215-0006,nzd0215-0007,nzd0215-0008,nzd0215-0009,nzd0215-0010,nzd0215-0011,nzd0215-0012,nzd0215-0013,nzd0215-0014,nzd0215-0015,nzd0215-0016,nzd0215-0017,nzd0215-0018,nzd0215-0019,nzd0215-0020,nzd0215-0021,nzd0215-0022,nzd0215-0023,nzd0215-0024,nzd0215-0025,nzd0215-0026,nzd0215-0027,nzd0215-0028,nzd0215-0029,nzd0215-0030,nzd0215-0031,nzd0215-0032,nzd0215-0033,nzd0215-0034,nzd0215-0035,nzd0215-0036,nzd0215-0037,nzd0215-0038,nzd0215-0039,nzd0215-0040,nzd0215-0041,nzd0215-0042,nzd0215-0043,nzd0215-0044,nzd0215-0045,nzd0215-0046,nzd0215-0047,nzd0215-0048,nzd0215-0049,nzd0215-0050,nzd0215-0051,nzd0215-0052,nzd0215-0053,nzd0215-0054,nzd0215-0055,nzd0215-0056,nzd0215-0057,nzd0215-0058,nzd0215-0059,nzd0215-0060,nzd0215-0061,nzd0215-0062,nzd0215-0063,nzd0215-0064,nzd0215-0065,nzd0215-0066,nzd0215-0067,nzd0215-0068,nzd0215-0069,nzd0215-0070,nzd0215-0071,nzd0215-0072,satname
2001-07-25 21:42:54+00:00,416.00,384.88,378.14,365.89,364.08,371.88,380.21,391.81,389.93,393.92,390.09,391.58,408.45,407.14,415.13,400.17,387.08,383.34,376.38,387.37,400.01,430.24,424.79,395.55,406.04,397.55,398.23,394.88,395.87,379.96,371.49,371.64,374.35,369.30,367.76,364.51,365.33,376.67,374.50,372.53,378.00,376.23,378.73,374.84,389.46,401.49,412.74,424.12,422.59,415.93,409.26,400.10,394.33,383.32,378.67,373.75,382.75,386.77,390.91,398.32,410.07,429.92,420.43,408.34,396.58,383.69,383.43,392.72,388.31,398.69,409.05,415.00,437.28,L7
2001-08-10 21:42:36+00:00,392.83,371.44,360.74,351.36,354.89,355.70,359.73,367.14,364.65,372.52,353.72,353.14,389.35,384.40,398.42,384.05,369.71,368.81,366.25,375.21,386.67,406.82,402.70,366.32,375.82,375.53,373.21,373.76,375.93,361.98,347.97,349.91,353.03,349.36,348.69,343.43,346.88,352.79,359.94,362.79,364.91,360.42,364.62,361.08,376.04,387.70,397.94,405.49,400.62,390.35,390.80,378.01,371.70,361.44,361.66,356.58,357.27,364.80,378.99,382.07,387.38,414.19,406.89,395.00,379.97,373.21,370.52,381.03,378.24,384.37,397.99,405.24,417.55,L7
2001-08-26 21:42:25+00:00,426.28,369.16,367.46,355.56,359.18,367.24,373.15,379.29,368.95,373.60,367.06,376.58,387.27,394.01,393.47,385.34,380.30,370.34,370.19,372.00,377.96,386.72,384.70,379.22,386.10,383.24,381.51,379.66,377.30,363.06,358.94,357.43,353.26,349.53,347.42,344.24,351.06,356.73,362.76,357.65,362.11,359.62,363.77,369.04,374.20,386.23,406.79,412.99,407.82,404.44,394.00,387.55,377.51,368.80,367.41,370.22,375.31,380.04,388.40,394.91,399.55,418.70,411.83,399.49,388.85,379.35,375.31,380.23,382.38,391.04,403.47,413.37,416.87,L7
2001-09-27 21:42:05+00:00,443.56,412.63,404.00,396.25,405.35,395.57,,,436.22,424.94,396.59,407.16,423.87,404.39,,409.05,416.41,407.24,417.31,395.59,423.81,449.66,430.61,451.66,454.53,,419.82,426.84,449.27,,392.31,392.15,410.76,399.44,390.62,393.14,396.74,388.77,411.45,410.34,397.59,393.89,408.08,418.53,433.08,447.58,462.30,454.16,452.71,437.09,422.23,409.34,407.92,399.89,392.23,411.46,417.02,417.43,400.68,432.87,440.35,462.94,446.50,443.31,429.92,415.30,414.01,423.60,393.37,421.26,436.96,437.95,458.56,L7
2001-10-13 21:41:51+00:00,429.76,395.68,387.68,385.63,386.59,372.03,379.38,385.14,404.72,409.15,411.69,384.44,387.54,396.10,392.40,391.47,396.03,391.06,390.22,394.39,416.32,426.41,403.31,422.52,445.84,,404.83,403.58,425.97,413.38,396.78,382.32,379.68,373.40,383.63,378.82,401.39,393.83,402.28,395.21,,372.13,387.30,404.71,418.36,432.48,442.39,436.29,441.67,404.61,400.76,410.43,395.16,384.46,389.19,393.95,402.53,405.76,393.82,406.11,428.08,434.83,414.45,430.17,393.18,383.80,380.19,393.25,381.65,399.80,399.83,430.55,462.19,L7
2001-10-29 21:41:57+00:00,426.89,389.49,388.44,384.32,386.65,380.77,394.79,391.17,390.62,386.89,389.63,396.00,401.26,404.63,397.80,397.86,394.84,398.10,393.91,399.02,399.80,389.81,401.28,,410.50,401.35,399.34,392.43,397.19,395.62,381.78,365.43,360.41,360.00,370.64,361.11,372.32,374.60,372.15,369.36,363.47,364.32,383.55,394.91,404.05,405.54,410.35,418.56,421.04,405.58,399.71,399.10,392.87,382.26,386.54,385.59,387.94,391.96,407.49,408.05,405.07,421.47,416.77,397.99,392.79,381.18,372.11,382.67,384.64,393.57,403.35,407.67,423.84,L7
2002-02-18 21:42:30+00:00,410.71,382.20,377.19,367.94,369.65,368.47,379.69,390.82,391.32,399.90,387.33,393.15,397.09,403.72,406.69,403.13,400.59,400.00,397.37,397.32,406.82,416.86,419.47,417.22,413.23,401.06,398.49,395.25,391.03,386.21,383.24,384.15,378.69,370.68,369.66,364.13,377.35,380.15,388.74,380.27,383.70,383.48,384.91,389.22,401.66,409.88,426.77,431.86,424.64,418.85,404.71,393.70,386.46,390.70,386.81,387.75,388.49,387.57,393.72,404.29,415.20,427.99,425.84,410.61,401.22,390.74,391.61,398.56,399.11,404.52,411.03,417.55,435.40,L7
2002-08-13 21:41:50+00:00,421.82,393.79,389.53,375.22,365.79,373.05,374.70,386.53,379.71,381.17,372.71,376.11,377.10,384.76,389.24,395.30,392.03,389.44,390.30,401.31,422.12,444.41,376.64,406.18,419.76,406.76,402.22,392.58,389.37,382.35,370.44,362.62,360.53,347.63,340.33,343.02,345.44,345.92,358.14,350.71,358.09,354.14,350.85,355.76,371.66,383.38,403.45,,404.53,385.89,382.47,,358.59,361.58,348.59,354.83,354.37,356.15,380.27,366.19,396.21,416.06,411.67,401.86,381.35,,,,,,,,,L7
2002-08-29 21:41:39+00:00,430.02,382.67,369.01,366.25,357.32,357.18,371.00,380.10,377.12,370.04,366.26,358.89,365.89,375.51,387.59,388.39,384.45,381.72,381.81,393.96,409.57,413.25,393.47,400.97,404.86,398.55,396.49,392.38,389.29,387.80,381.53,374.88,368.86,362.44,363.02,362.47,360.85,372.67,375.10,368.72,372.53,373.98,376.74,373.55,381.47,395.03,404.81,424.53,424.07,415.71,409.95,399.89,385.71,375.66,370.60,366.57,373.02,372.17,388.33,403.19,402.46,426.26,418.71,414.88,419.59,405.13,396.50,402.18,404.29,409.93,419.14,421.50,432.16,L7
2002-09-14 21:41:31+00:00,458.28,399.79,393.37,388.04,358.25,368.67,391.64,397.50,392.28,386.28,373.98,377.31,372.28,378.65,392.98,387.88,392.13,384.13,380.59,395.88,417.57,437.00,433.31,,456.94,416.53,397.39,393.59,395.01,392.67,382.53,388.90,388.24,386.66,388.88,391.31,377.21,401.46,397.64,369.64,373.68,381.77,378.55,382.05,381.56,403.76,427.82,447.86,426.14,418.69,406.91,399.72,399.38,388.92,372.53,369.42,377.11,379.16,409.72,433.61,,,417.67,419.85,440.00,422.71,407.56,409.40,409.83,415.87,423.72,430.53,441.95,L7
2002-10-16 21:41:24+00:00,421.48,394.27,377.61,369.06,365.69,353.25,348.62,358.14,373.01,374.29,359.02,359.27,358.22,364.51,366.51,355.13,352.82,356.41,368.67,393.35,399.65,410.78,405.37,430.64,428.99,417.44,383.23,372.21,370.86,366.60,366.63,369.80,368.58,350.85,348.35,359.82,376.72,363.13,361.30,363.86,359.76,352.27,362.77,370.79,378.39,406.71,426.14,430.12,428.62,390.79,377.36,356.30,353.30,349.22,346.98,352.47,360.48,369.92,379.91,399.78,411.72,424.28,417.70,412.62,415.24,418.81,403.29,407.61,403.14,415.80,416.65,423.00,428.34,L7
2002-11-01 21:41:30+00:00,413.44,388.69,381.18,370.07,371.15,370.58,385.79,396.22,398.40,389.07,386.58,377.15,366.36,370.45,379.98,372.99,364.71,389.17,418.27,425.36,439.29,435.12,398.56,419.23,,428.26,395.15,390.27,383.49,380.44,362.24,363.21,368.06,369.96,381.22,381.50,383.87,384.33,394.63,379.32,363.24,376.53,380.12,391.32,399.09,434.09,446.31,453.32,438.18,420.82,383.72,356.87,349.68,350.74,368.22,376.23,366.19,402.59,410.19,418.79,443.63,452.19,444.95,448.33,427.80,434.68,437.70,440.52,445.90,420.15,418.29,420.69,433.85,L7
2003-01-20 21:42:09+00:00,436.90,398.44,391.19,380.06,374.68,377.98,379.66,388.14,384.66,380.61,383.19,382.96,379.20,384.94,385.23,387.09,382.72,383.99,397.34,412.22,431.51,461.86,,429.81,433.94,413.01,397.39,395.34,394.44,397.16,380.18,373.72,376.52,376.29,364.91,369.46,368.37,383.23,383.74,378.88,382.70,377.06,380.56,377.73,397.12,416.60,430.41,445.21,440.46,417.18,407.27,382.72,376.07,385.65,374.39,374.51,380.11,390.20,403.13,424.74,427.79,438.28,426.18,421.22,408.58,404.42,411.22,422.55,421.21,429.78,430.58,445.74,465.58,L7
2003-02-05 21:42:17+00:00,436.31,396.20,389.55,379.24,378.50,386.90,386.61,397.33,391.25,390.17,393.25,398.43,397.16,388.23,389.40,389.09,389.09,398.01,409.97,416.55,438.85,468.31,,450.98,435.60,413.42,401.75,400.06,402.33,400.76,394.30,379.43,380.91,382.79,371.74,373.56,376.15,387.71,391.30,388.40,390.18,391.00,382.16,385.47,399.99,424.94,433.41,453.72,440.52,417.34,407.52,389.61,386.82,390.67,381.26,375.66,389.01,395.76,412.27,421.97,430.08,445.95,428.83,422.57,412.95,408.16,414.38,423.92,425.52,427.52,434.32,447.53,462.69,L7
2003-04-10 21:42:26+00:00,443.42,374.48,364.61,360.23,363.67,370.84,373.43,380.39,382.24,383.28,383.03,381.71,379.21,388.01,398.37,403.35,403.95,381.96,376.87,381.10,401.90,408.47,382.19,,386.44,384.73,402.53,407.08,401.18,388.92,374.72,372.90,359.01,355.82,349.38,348.12,352.29,360.82,369.16,375.43,371.21,354.57,368.05,383.38,381.07,383.95,403.03,414.06,407.06,394.05,399.18,407.45,401.71,384.47,367.51,393.67,396.35,400.65,411.38,423.15,434.74,446.62,429.23,415.10,404.26,394.32,394.40,401.23,404.97,415.03,428.44,429.32,443.52,L7
2003-04-26 21:42:25+00:00,435.49,390.19,375.14,376.44,367.56,371.11,369.96,374.52,381.30,396.40,,384.20,389.52,391.87,394.09,395.52,383.55,369.05,362.78,395.71,404.07,414.03,415.28,429.48,,386.92,396.45,404.87,403.11,396.72,402.97,369.53,370.42,363.08,356.41,356.28,343.29,375.51,372.33,386.95,379.00,392.36,362.98,374.38,378.03,412.02,413.61,417.69,423.62,383.56,386.65,400.26,391.14,378.27,374.51,375.14,383.45,392.42,399.09,416.63,416.61,437.40,418.85,407.12,400.42,390.82,390.38,393.98,400.50,426.43,437.04,437.99,426.09,L7
2003-05-28 21:42:22+00:00,441.00,389.75,377.76,377.43,359.67,368.31,359.97,372.25,394.26,402.27,,379.68,372.83,385.44,387.86,381.36,377.01,367.82,364.25,383.99,379.54,405.77,404.23,426.43,,404.54,402.37,408.14,408.40,395.16,395.88,393.69,380.43,355.24,,,,,,,,,,,,,,,406.94,395.30,389.32,378.59,373.82,370.12,382.18,,379.83,384.93,397.87,408.16,414.50,443.19,433.26,407.93,396.10,387.57,384.22,394.36,403.98,411.75,419.92,422.98,426.41,L7
