dates,nzd0215-0000,nzd0215-0001,nzd0215-0002,nzd0215-0003,nzd0215-0004,nzd0215-0005,nzd0215-0006,nzd0215-0007,nzd0215-0008,nzd0215-0009,nzd0215-0010,nzd0215-0011,nzd0215-0012,nzd0215-0013,nzd0215-0014,nzd0215-0015,nzd0215-0016,nzd0215-0017,nzd0215-0018,nzd0215-0019,nzd0215-0020,nzd0215-0021,nzd0215-0022,nzd0215-0023,nzd0215-0024,nzd0215-0025,nzd0215-0026,nzd0215-0027,nzd0215-0028,nzd0215-0029,nzd0215-0030,nzd0215-0031,nzd0215-0032,nzd0215-0033,nzd0215-0034,nzd0215-0035,nzd0215-0036,nzd0215-0037,nzd0215-0038,nzd0215-0039,nzd0215-0040,nzd0215-0041,nzd0215-0042,nzd0215-0043,nzd0215-0044,nzd0215-0045,nzd0215-0046,nzd0215-0047,nzd0215-0048,nzd0215-0049,nzd0215-0050,nzd0215-0051,nzd0215-0052,nzd0215-0053,nzd0215-0054,nzd0215-0055,nzd0215-0056,nzd0215-0057,nzd0215-0058,nzd0215-0059,nzd0215-0060,nzd0215-0061,nzd0215-0062,nzd0215-0063,nzd0215-0064,nzd0215-0065,nzd0215-0066,nzd0215-0067,nzd0215-0068,nzd0215-0069,nzd0215-0070,nzd0215-0071,nzd0215-0072,satname
1999-08-21 21:46:33+00:00,434.08,386.85,372.54,361.14,351.60,355.63,346.89,359.02,,367.03,360.69,351.84,362.71,387.23,398.96,379.17,364.42,354.92,348.41,357.09,365.06,385.42,386.89,,,,387.04,378.64,379.44,359.60,349.74,337.70,334.58,,343.77,333.81,,344.61,357.06,370.16,371.85,,,359.99,367.27,374.62,,416.84,,404.09,402.50,409.93,401.63,385.66,365.76,358.15,353.89,367.85,381.35,378.98,386.30,405.42,397.26,391.57,389.49,378.30,379.16,377.78,381.90,385.79,395.31,399.67,,L7
1999-09-22 21:46:36+00:00,432.28,393.39,378.71,368.26,355.12,357.36,359.01,361.88,411.09,377.02,368.16,362.80,371.97,393.45,403.12,384.88,371.81,368.92,368.00,372.47,379.24,403.95,399.77,,443.24,432.64,397.49,389.50,390.21,379.31,364.55,354.03,347.88,367.60,353.31,348.34,382.78,364.39,374.89,378.34,380.37,414.87,413.42,377.23,373.43,374.62,451.75,427.81,445.35,409.82,413.81,418.16,410.64,393.09,381.16,369.65,364.29,378.81,387.01,397.51,394.83,413.03,408.36,407.45,406.20,394.65,394.86,377.78,391.32,390.37,398.20,415.38,453.06,L7
2000-04-01 21:46:10+00:00,413.07,385.87,375.35,378.75,379.99,379.29,386.34,399.62,384.55,391.57,391.59,392.76,381.79,388.73,388.15,386.16,383.55,388.57,392.78,402.99,426.67,413.05,385.34,388.87,411.93,403.78,405.00,392.82,397.55,384.60,383.92,378.16,372.13,358.92,365.96,363.77,386.89,379.17,381.12,367.52,370.77,384.04,381.15,403.39,400.62,407.48,440.22,443.34,426.04,412.48,409.25,403.64,398.23,393.86,398.64,403.41,406.15,410.77,,431.75,449.15,452.85,426.93,415.29,409.12,406.94,402.77,407.00,406.40,410.19,414.63,424.22,444.38,L7
2000-05-19 21:45:43+00:00,407.20,381.59,376.24,372.97,371.30,375.92,384.75,394.12,387.49,392.94,387.88,388.63,384.81,389.55,388.57,386.44,384.38,387.00,392.25,396.35,414.83,409.92,387.96,395.63,403.18,398.40,404.47,395.53,395.35,382.69,378.87,375.56,373.81,361.16,364.00,363.12,377.88,379.40,379.87,372.51,377.14,387.25,388.91,399.47,400.62,407.48,440.22,443.34,426.04,412.48,409.25,403.64,398.23,393.86,398.64,403.41,406.15,410.77,,431.75,436.75,446.69,430.93,420.13,406.75,398.98,398.26,404.81,402.70,406.65,412.46,423.38,437.89,L7
2000-06-04 21:45:32+00:00,401.41,376.00,370.60,365.05,362.82,367.10,372.98,381.30,379.44,383.71,377.73,376.99,376.96,382.76,383.72,381.08,379.42,382.00,384.52,389.98,401.98,409.92,377.01,391.51,397.38,392.73,394.96,388.10,386.45,376.90,371.35,367.97,367.14,353.82,354.42,356.16,367.22,371.94,372.38,367.77,369.96,378.50,381.76,388.94,389.43,401.51,421.02,426.99,417.81,402.86,397.25,388.24,382.77,380.19,384.66,384.74,388.71,392.39,385.58,413.46,424.22,438.95,425.11,414.19,401.25,392.39,391.05,399.30,397.77,403.04,409.70,419.58,435.93,L7
2000-08-07 21:44:45+00:00,410.59,379.05,370.11,362.71,360.80,367.48,374.72,377.64,372.85,374.50,371.36,373.40,376.49,384.40,386.88,384.29,377.72,376.04,379.56,385.00,397.22,403.12,380.56,388.90,392.30,387.75,392.05,387.18,384.93,375.13,369.47,365.88,364.12,353.45,355.06,353.83,366.08,368.37,370.49,366.27,369.41,375.10,376.54,383.44,385.30,396.00,412.81,420.84,411.07,397.68,389.15,382.01,377.50,375.27,379.75,380.04,383.90,387.93,388.50,410.01,418.30,433.52,421.51,410.28,397.73,388.10,387.74,395.68,396.23,401.17,409.48,418.48,433.79,L7
2001-01-14 21:44:09+00:00,438.87,398.50,388.51,374.41,371.31,378.73,393.87,366.66,383.90,378.61,381.76,387.69,393.57,403.65,411.27,405.30,390.29,377.95,383.08,391.92,403.46,416.80,398.41,408.17,400.17,393.37,392.38,392.23,393.21,383.22,380.74,377.72,379.09,374.88,366.22,365.27,375.33,377.47,380.98,380.31,382.13,385.45,381.61,375.91,383.26,400.25,408.72,428.42,419.16,400.24,390.84,383.36,378.53,378.06,374.52,375.47,379.12,384.77,392.23,404.47,409.94,427.38,418.11,404.69,391.95,380.44,381.86,392.27,396.21,400.36,409.19,418.32,437.73,L7
2001-04-04 21:43:43+00:00,430.15,401.94,395.07,385.90,382.22,379.91,390.72,375.47,401.91,403.88,396.96,400.32,399.23,405.33,410.48,403.01,397.81,400.50,397.54,404.44,411.80,424.48,396.84,427.89,433.40,413.93,397.35,398.00,407.41,398.11,390.41,389.82,387.19,380.42,362.85,378.75,385.92,390.64,382.50,385.28,383.72,387.97,386.02,386.80,404.96,415.50,425.56,436.78,438.35,409.14,406.13,395.17,396.56,397.98,392.41,392.88,388.63,394.24,407.88,416.60,423.93,444.09,428.63,406.74,391.31,382.75,384.25,393.99,395.13,401.34,405.26,422.50,448.36,L7
2001-04-20 21:43:46+00:00,425.57,397.09,387.10,378.14,377.16,375.30,383.79,381.07,397.66,401.45,392.62,397.89,397.94,403.21,406.80,398.48,393.93,399.22,400.75,402.76,406.94,416.68,392.75,421.94,426.81,401.22,395.08,396.64,403.32,394.12,388.29,385.05,380.84,372.39,362.00,371.86,379.74,385.97,382.10,381.87,379.12,380.97,384.60,390.00,401.20,408.74,419.68,430.20,429.64,408.10,403.74,394.27,396.46,397.03,392.59,395.52,390.83,396.45,406.77,416.24,421.35,441.60,426.29,404.51,388.75,382.41,383.29,392.65,394.07,400.06,406.25,422.14,446.22,L7
2001-05-22 21:43:30+00:00,425.57,397.09,387.10,373.62,373.67,372.50,383.52,385.70,396.09,398.05,390.52,395.79,397.52,402.64,405.14,396.07,392.85,396.19,395.69,398.73,401.61,410.19,390.27,408.71,416.44,397.51,394.18,395.86,399.50,390.15,384.30,380.88,379.40,371.75,360.38,366.59,375.83,382.88,379.66,378.66,377.21,380.97,384.14,387.36,397.32,405.55,415.83,423.18,424.70,405.88,401.60,393.52,395.62,396.19,392.02,394.05,391.99,396.71,406.29,413.54,416.29,436.19,423.20,403.07,388.25,381.59,382.01,390.68,392.02,398.95,406.33,419.32,439.34,L7
