dates,satname,nzd0319-0000,nzd0319-0001,nzd0319-0002,nzd0319-0003,nzd0319-0004,nzd0319-0005,nzd0319-0006,nzd0319-0007,nzd0319-0008,nzd0319-0009,nzd0319-0010,nzd0319-0011,nzd0319-0012,nzd0319-0013,nzd0319-0014,nzd0319-0015,nzd0319-0016,nzd0319-0017,nzd0319-0018,nzd0319-0019,nzd0319-0020,nzd0319-0021,nzd0319-0022,nzd0319-0023,nzd0319-0024,nzd0319-0025,nzd0319-0026,nzd0319-0027,nzd0319-0028,nzd0319-0029,nzd0319-0030,nzd0319-0031,nzd0319-0032,nzd0319-0033,nzd0319-0034,nzd0319-0035,nzd0319-0036,nzd0319-0037,nzd0319-0038
1999-08-17 22:12:02+00:00,L7,558.58,431.64,418.09,428.52,423.93,378.42,400.05,391.57,372.24,364.66,361.72,366.76,378.35,374.66,377.92,383.53,403.02,429.99,444.33,421.92,400.74,398.72,405.42,403.34,407.30,411.36,433.93,416.75,427.84,403.79,403.30,404.58,412.76,392.34,449.43,449.26,464.50,437.92,433.19
1999-08-26 22:05:56+00:00,L7,323.98,318.71,320.99,328.70,327.02,319.45,332.95,331.56,331.48,328.39,331.66,329.83,336.15,336.06,332.70,321.90,328.47,342.87,363.99,353.55,341.30,332.54,332.75,334.04,332.20,343.48,360.23,356.60,352.46,339.71,346.34,345.51,352.67,350.17,369.88,373.78,364.21,354.52,354.38
1999-09-27 22:06:00+00:00,L7,316.29,311.94,317.45,321.27,322.63,322.84,340.45,337.27,329.22,326.09,325.24,326.35,329.24,332.83,331.62,314.84,322.39,342.46,353.59,354.78,334.26,325.02,332.40,328.96,333.36,346.11,361.89,352.55,,,,,,,,,,,
1999-10-13 22:06:00+00:00,L7,508.61,348.37,337.96,332.31,330.53,325.97,352.82,354.54,341.83,338.21,347.16,352.65,357.87,363.11,365.08,366.92,369.59,366.12,405.94,365.24,361.47,360.14,362.32,368.88,367.59,368.61,,,,,,,,,,,,,
1999-12-16 22:05:57+00:00,L7,571.45,434.27,406.36,412.09,427.09,436.76,436.56,410.25,396.58,381.20,374.22,367.93,372.30,399.15,401.52,413.77,444.13,451.82,453.30,433.69,419.33,438.08,434.25,429.44,434.85,429.21,436.68,416.48,420.67,413.80,406.63,376.11,372.29,369.54,450.06,478.88,486.97,467.31,462.55
2000-02-18 22:05:41+00:00,L7,298.92,312.43,321.72,324.94,309.84,324.25,332.20,337.88,334.94,330.52,326.96,328.89,328.47,331.76,329.25,319.67,330.92,349.41,355.27,342.33,333.52,326.00,328.35,329.05,324.88,335.77,346.62,340.41,342.25,328.74,320.56,316.31,,308.46,288.72,363.51,335.68,333.88,330.45
2000-02-25 22:11:49+00:00,L7,592.67,432.82,435.75,453.34,483.23,383.49,,424.45,410.49,410.97,415.64,418.23,404.38,414.88,423.96,406.83,442.23,464.34,455.29,440.79,453.40,444.35,440.08,447.62,456.02,452.26,451.00,424.53,443.49,438.02,424.11,409.15,415.59,453.45,480.90,476.89,491.08,481.80,461.42
2000-03-05 22:05:36+00:00,L7,302.13,311.80,312.36,318.54,314.51,316.47,317.97,322.82,321.37,318.11,319.59,317.70,320.97,320.81,315.86,299.90,303.56,338.15,336.21,334.11,325.40,319.94,321.28,319.60,317.88,328.74,341.71,334.96,339.05,318.54,318.35,314.78,,301.18,245.88,355.85,329.80,314.18,300.02
2000-03-21 22:05:37+00:00,L7,320.76,321.22,321.54,319.95,317.66,321.41,324.67,326.38,325.22,321.62,314.85,,,,,,,337.04,344.64,339.01,329.93,322.61,324.90,323.84,328.43,339.42,349.75,344.75,342.37,331.74,336.76,330.21,320.85,304.58,279.58,364.60,331.96,327.22,326.18
2000-04-13 22:11:30+00:00,L7,349.77,346.03,347.88,355.92,362.13,358.94,378.15,371.49,364.18,353.90,349.04,351.77,349.47,362.94,368.07,,370.31,,418.86,379.62,354.85,343.34,342.94,349.05,343.74,369.13,376.76,362.73,354.37,349.62,371.96,369.39,355.27,340.34,403.51,400.92,366.65,356.25,388.33
