,dates,jap0154-0000,jap0154-0001,jap0154-0002,jap0154-0003,jap0154-0004,jap0154-0005,jap0154-0006,jap0154-0007,jap0154-0008
0,1984-07-31 00:45:05+00:00,189.63568729676848,191.17231302414072,191.17810450964396,186.26259336843725,171.0128507055664,164.45878596582455,161.3385939675299,165.54293256097884,168.5466166469021
1,1984-08-09 00:39:12+00:00,188.08068470184872,185.8845739533969,187.80947650225738,188.4818630297657,174.8143456092063,162.85286681693907,164.82373546203306,172.59644161773747,170.19839033081172
2,1984-09-17 00:45:56+00:00,168.11469266689022,162.32985273562164,163.628361129475,157.58210011881758,156.50908903171774,151.96016383614338,150.62430984424122,150.17229205518692,154.2655319787125
3,1984-11-04 00:45:46+00:00,181.55945233780838,180.66853846201045,176.81156022074936,179.02060425940064,176.16678241000295,175.07249278325628,175.27265699035914,173.48938642562246,168.51595889715117
4,1985-01-07 00:46:06+00:00,180.0629860170146,174.17722653207719,173.23062668225518,168.8189378899221,164.79308877602264,164.61904300470502,163.11740691308881,160.6549331314076,158.62113360185344
5,1985-01-16 00:39:59+00:00,183.13381652496173,179.0605710030062,172.71818017398166,166.22363021707378,164.58950361124613,163.3632990650033,159.30939902659765,156.665960302717,153.62411869387668
6,1985-04-06 00:39:59+00:00,170.63032804431782,176.35939191039347,176.68901042957964,173.06274792272905,168.38492931855882,165.34453978295141,161.48316525865278,163.07637391724433,151.2863102629707
7,1985-12-02 00:37:51+00:00,154.00061779985703,,,,155.24799678888633,150.85663980038805,144.88998119947001,141.74101285743816,128.3794553145094
8,1985-12-09 00:43:54+00:00,158.7293610518559,161.25060481213845,158.7617964268477,158.40895835842457,152.62509250450645,152.0352978420635,148.68246930023471,144.00949831636171,127.09038124027425
9,1986-01-10 00:43:19+00:00,174.32943576782043,174.05316370919056,175.2148108595923,175.12433558003113,168.88312638491132,166.55736936895605,164.19579358425437,160.31475729892915,151.28362693036914
10,1986-02-04 00:36:35+00:00,163.78286944092736,159.85267392556656,163.33965733688285,157.0490712893132,152.62743358096037,151.59426173906843,147.8195163530721,152.34496183480178,146.77179714822137
