dates,nzd0467-0000,nzd0467-0001,nzd0467-0002,nzd0467-0003,nzd0467-0004,nzd0467-0005,nzd0467-0006,nzd0467-0007,nzd0467-0008,nzd0467-0009,nzd0467-0010,nzd0467-0011,nzd0467-0012,nzd0467-0013,nzd0467-0014,nzd0467-0015,nzd0467-0016,nzd0467-0017,nzd0467-0018,nzd0467-0019,nzd0467-0020,nzd0467-0021,nzd0467-0022,nzd0467-0023,nzd0467-0024,nzd0467-0025,nzd0467-0026,nzd0467-0027,nzd0467-0028,nzd0467-0029,nzd0467-0030,nzd0467-0031,nzd0467-0032,nzd0467-0033,nzd0467-0034,nzd0467-0035,nzd0467-0036,nzd0467-0037,nzd0467-0038,nzd0467-0039,nzd0467-0040,nzd0467-0041,nzd0467-0042,nzd0467-0043,nzd0467-0044,nzd0467-0045,nzd0467-0046,nzd0467-0047,nzd0467-0048,nzd0467-0049,nzd0467-0050,nzd0467-0051,nzd0467-0052,nzd0467-0053,nzd0467-0054,nzd0467-0055,nzd0467-0056,nzd0467-0057,nzd0467-0058,nzd0467-0059,nzd0467-0060,nzd0467-0061,nzd0467-0062,nzd0467-0063,nzd0467-0064,nzd0467-0065,nzd0467-0066,nzd0467-0067,nzd0467-0068,nzd0467-0069,nzd0467-0070,nzd0467-0071,nzd0467-0072,nzd0467-0073,nzd0467-0074,nzd0467-0075,nzd0467-0076,nzd0467-0077,nzd0467-0078,nzd0467-0079,nzd0467-0080,nzd0467-0081,nzd0467-0082,nzd0467-0083,nzd0467-0084,nzd0467-0085,nzd0467-0086,nzd0467-0087,nzd0467-0088,nzd0467-0089,nzd0467-0090,nzd0467-0091,nzd0467-0092,nzd0467-0093,nzd0467-0094,nzd0467-0095,nzd0467-0096,nzd0467-0097,nzd0467-0098,nzd0467-0099,nzd0467-0100,nzd0467-0101,nzd0467-0102,nzd0467-0103,nzd0467-0104,nzd0467-0105,nzd0467-0106,nzd0467-0107,nzd0467-0108,nzd0467-0109,nzd0467-0110,nzd0467-0111,nzd0467-0112,nzd0467-0113,nzd0467-0114,nzd0467-0115,nzd0467-0116,nzd0467-0117,nzd0467-0118,nzd0467-0119,nzd0467-0120,nzd0467-0121,nzd0467-0122,nzd0467-0123,nzd0467-0124,nzd0467-0125,nzd0467-0126,nzd0467-0127,nzd0467-0128,nzd0467-0129,nzd0467-0130,nzd0467-0131,nzd0467-0132,nzd0467-0133,nzd0467-0134,satname
1999-08-26 22:07:08+00:00,334.75,330.90,325.73,322.27,320.53,322.15,323.97,327.29,324.68,328.54,328.86,334.59,337.51,335.95,339.68,345.96,343.22,339.33,337.52,332.63,332.51,330.96,329.99,332.46,336.14,327.67,330.19,332.90,337.77,338.35,337.49,338.86,338.00,338.54,340.81,339.05,335.05,334.74,341.54,349.08,344.95,352.76,347.13,346.63,344.38,343.42,334.88,338.00,342.04,337.93,336.37,333.91,335.04,335.22,330.01,329.65,331.11,331.35,333.62,329.33,325.12,324.81,322.41,321.85,320.71,321.90,318.41,321.40,320.49,320.49,321.23,320.80,319.28,318.24,320.47,328.07,324.59,329.16,330.47,332.79,335.32,340.13,342.54,342.51,344.87,330.98,331.95,330.63,328.65,324.50,319.15,322.74,321.35,326.73,335.25,337.74,339.57,338.68,331.68,330.35,334.41,333.78,328.61,324.77,321.88,327.55,329.59,329.68,324.68,327.56,324.90,325.45,325.33,322.76,313.07,,,313.05,,317.95,323.87,323.45,324.48,313.67,315.05,314.61,326.07,337.29,337.10,338.21,336.57,330.17,330.79,327.19,329.44,L7
1999-09-27 22:07:12+00:00,341.70,343.72,337.26,334.64,330.14,337.26,333.28,330.62,336.86,333.15,336.46,336.60,343.68,343.23,345.08,345.86,346.88,342.92,338.82,335.69,345.98,342.35,345.44,347.31,348.30,348.21,346.17,346.77,348.53,349.82,344.68,343.62,340.66,341.99,349.37,344.99,346.88,349.23,347.01,349.37,351.47,353.10,351.47,353.80,353.31,351.51,354.61,350.55,348.61,344.76,348.97,353.05,347.99,341.29,338.56,338.15,341.35,339.86,341.71,335.52,331.60,329.71,330.40,328.31,325.25,326.21,324.32,320.75,329.10,324.12,323.86,324.21,324.05,322.64,328.39,328.83,337.54,342.18,345.91,345.47,344.57,352.36,351.70,355.83,346.37,346.43,342.22,335.76,335.16,325.43,325.59,329.63,324.51,331.34,334.33,338.07,341.80,343.15,337.41,339.68,335.99,334.65,334.73,331.82,326.47,333.93,337.13,339.85,333.47,336.67,338.42,335.72,335.33,340.17,340.34,339.80,335.97,338.27,,330.74,333.84,334.37,339.32,336.94,336.54,339.44,342.94,348.02,347.09,345.49,342.19,343.34,342.62,341.78,338.42,L7
1999-10-13 22:07:12+00:00,349.60,342.92,346.00,344.02,343.59,344.25,348.01,354.33,349.85,347.71,346.96,351.51,353.30,354.47,354.56,352.56,350.45,356.89,352.89,349.16,349.96,352.26,350.28,354.90,354.95,355.36,361.11,363.38,357.82,361.68,354.47,356.06,353.19,354.21,354.80,353.80,353.94,360.07,355.42,357.26,362.52,364.89,364.95,366.27,361.61,362.54,359.01,360.79,356.23,358.59,355.71,358.77,355.36,350.45,350.73,357.57,352.95,352.97,352.14,342.60,337.92,342.40,342.30,335.69,333.41,331.18,325.76,331.00,326.27,337.98,333.60,333.85,332.33,338.49,336.55,341.32,339.69,348.82,346.84,350.97,351.81,352.90,351.63,358.25,363.52,354.80,349.05,345.35,341.57,338.96,330.91,333.37,329.76,337.07,338.71,341.45,340.70,346.55,348.39,346.31,345.38,347.23,339.93,346.18,338.36,344.16,339.91,343.89,343.86,350.52,340.37,343.27,343.57,,345.42,,,,,341.19,340.53,343.66,341.06,347.07,349.80,349.69,355.51,355.08,353.85,348.14,348.95,349.61,357.11,347.21,346.39,L7
2000-02-18 22:06:52+00:00,347.88,339.16,341.32,339.10,337.63,344.40,340.58,343.10,344.12,343.18,342.58,343.76,348.18,344.06,350.05,351.10,354.51,349.61,354.23,348.10,354.22,351.55,355.19,350.98,354.30,356.37,351.87,355.04,352.15,349.87,350.84,349.26,347.69,354.32,355.41,353.33,350.36,349.83,347.19,354.09,350.40,358.46,355.75,358.40,360.63,362.46,359.25,356.28,353.93,354.21,359.36,359.00,351.93,350.73,342.22,345.59,349.31,344.51,341.48,343.16,341.14,342.52,337.85,332.42,330.21,338.38,327.35,323.41,331.19,324.03,324.85,326.07,323.01,338.31,342.95,344.36,342.84,343.72,343.71,354.18,350.86,349.33,352.04,352.61,355.94,348.82,346.91,341.38,342.73,339.82,346.08,350.25,344.50,342.60,345.42,,,,,356.20,352.68,345.25,350.45,346.96,336.71,339.00,340.08,339.62,346.39,342.40,341.49,342.34,335.60,342.81,343.20,,,,,328.05,329.74,349.12,354.59,337.92,333.26,346.14,348.74,346.76,348.43,349.76,351.27,354.03,355.64,361.44,344.54,L7
2000-05-08 22:06:20+00:00,352.43,347.54,348.71,347.63,346.27,344.77,348.92,343.26,350.42,347.91,352.45,352.61,353.04,351.48,353.52,355.33,356.77,355.71,353.00,354.83,356.21,347.76,353.76,355.19,355.78,360.01,359.63,359.02,358.85,358.38,355.83,354.76,353.79,353.56,351.34,352.39,355.08,360.09,363.44,362.52,367.48,365.78,365.08,363.79,362.32,366.42,363.60,358.29,360.40,359.70,362.40,362.81,359.41,356.01,362.97,360.89,355.97,353.09,347.50,343.97,339.53,342.20,339.40,338.17,334.26,335.05,332.50,334.60,334.50,338.06,335.62,331.97,329.24,334.22,337.98,341.95,344.03,347.80,349.94,350.97,352.03,362.32,359.16,362.79,362.62,359.21,352.88,347.16,339.22,336.48,336.32,336.38,337.19,340.78,344.67,351.45,350.31,349.60,351.20,352.56,349.53,345.86,345.76,343.69,344.73,341.13,340.53,340.58,345.25,,,,,,,,,,,,,,,,353.07,352.71,353.50,353.21,351.33,351.12,,,,,,L7
2000-07-27 22:05:24+00:00,356.28,353.73,355.84,351.82,356.41,355.27,354.45,359.93,360.46,359.85,356.03,358.20,357.21,360.11,358.77,358.20,359.57,363.18,363.34,366.58,360.32,364.84,368.68,365.78,362.44,361.58,364.51,365.79,361.51,360.99,369.28,367.25,366.16,365.02,363.14,365.69,364.12,364.85,366.82,368.77,370.25,367.86,369.10,365.41,370.39,366.62,370.40,367.77,368.89,367.24,365.43,364.01,361.45,359.76,367.43,364.56,358.76,352.86,354.74,349.75,351.75,348.53,346.56,341.76,340.71,339.01,337.16,339.09,335.94,338.74,338.22,334.25,337.12,340.12,345.75,348.36,353.19,352.03,357.47,354.71,363.60,368.58,365.85,371.50,364.14,361.30,357.83,350.12,348.61,342.91,346.00,343.88,348.61,352.00,352.97,351.43,353.72,353.71,352.98,351.20,353.12,353.32,350.85,352.68,348.85,347.86,346.74,348.84,356.82,353.71,351.20,352.81,350.64,,350.80,,,,,,,,,,,,,,,,,,,,358.83,L7
2000-08-12 22:05:17+00:00,345.59,344.32,333.58,334.97,337.89,333.01,342.59,341.26,343.81,341.37,343.72,346.08,343.84,346.77,352.69,353.07,351.22,352.30,351.24,348.98,352.09,352.53,352.35,352.76,356.38,357.10,354.50,355.88,355.13,353.60,354.11,351.87,353.52,353.71,347.05,355.05,352.20,356.98,355.17,363.24,361.91,363.29,364.63,362.96,366.28,362.68,362.17,360.27,357.71,355.00,357.73,358.25,355.55,354.37,356.20,356.81,352.86,349.16,350.11,335.96,340.64,339.69,334.72,332.02,330.57,327.20,325.45,327.05,328.42,329.33,330.48,329.57,329.11,335.86,337.94,336.58,338.67,346.06,344.29,348.02,349.19,352.74,361.38,363.92,361.21,355.44,350.89,346.86,342.41,331.40,330.95,335.20,331.97,338.44,338.87,342.62,346.84,345.35,346.61,345.92,345.79,345.26,341.68,340.55,338.01,338.06,339.16,337.91,340.46,340.75,338.24,343.35,340.35,,343.82,,,,,334.46,339.47,340.84,341.75,342.03,345.72,349.55,351.11,351.35,350.03,348.37,352.49,355.76,350.02,354.20,352.20,L7
2000-12-18 22:04:37+00:00,348.94,346.10,338.85,340.68,345.20,339.25,345.00,347.78,346.69,345.65,345.82,350.53,343.10,350.63,347.62,351.03,352.86,354.45,357.69,358.65,352.74,352.70,354.98,353.60,355.06,355.31,355.00,358.56,352.46,353.29,355.46,355.63,355.01,352.62,350.51,356.58,362.80,359.90,369.73,363.94,365.57,363.97,360.76,360.63,359.93,362.34,360.82,359.39,360.32,360.37,358.44,359.71,360.00,359.65,359.85,361.47,353.22,353.17,345.96,343.31,344.85,339.46,335.33,336.98,334.84,333.40,334.45,336.51,329.04,336.42,332.93,336.56,332.50,335.27,336.22,343.89,340.67,347.56,350.94,351.50,357.02,359.05,358.66,362.67,361.48,358.86,354.85,349.00,340.38,336.76,338.07,339.30,346.58,342.89,341.80,340.35,347.71,346.76,350.94,346.41,352.89,350.28,347.79,349.60,347.45,346.17,341.81,339.76,341.38,341.15,339.16,341.30,345.58,,341.23,,,341.39,,342.27,343.37,342.21,343.37,350.41,352.98,354.17,348.29,348.38,354.30,352.44,351.03,354.22,350.52,346.67,349.32,L7
2001-02-20 22:04:36+00:00,323.92,318.94,314.46,315.48,313.60,316.80,314.64,315.22,320.12,322.02,321.87,319.46,322.23,322.10,328.38,327.37,330.02,331.20,327.99,325.43,328.60,328.15,325.75,327.09,328.96,331.27,327.42,327.40,329.86,328.44,332.00,322.08,319.67,326.31,330.42,324.80,,329.61,335.22,335.46,328.03,331.37,339.32,337.54,334.08,332.74,334.00,336.60,336.70,335.21,334.08,336.06,331.50,333.32,332.72,327.24,322.30,326.49,322.55,319.72,316.66,315.73,311.59,308.03,309.11,313.34,308.60,310.83,312.15,308.59,310.07,311.36,312.37,312.71,312.23,316.15,315.29,322.53,325.42,328.59,330.76,336.13,337.05,337.72,329.64,328.71,333.21,321.54,315.59,313.71,313.40,311.69,312.94,315.78,314.04,321.34,324.10,317.06,314.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-04-09 22:04:17+00:00,368.02,362.89,361.26,355.97,355.24,358.84,353.46,354.80,359.36,360.89,355.52,351.91,359.00,367.95,375.37,376.37,374.43,370.67,372.51,368.85,372.40,371.23,376.98,384.99,385.95,386.47,381.78,374.25,377.07,381.51,380.36,376.07,375.91,377.74,376.00,375.26,377.67,377.35,374.14,382.28,384.87,383.44,387.25,388.61,385.15,379.58,373.81,379.95,383.14,382.81,377.91,379.91,383.06,378.09,365.98,367.85,378.89,375.38,370.02,364.33,354.58,355.46,361.00,358.10,351.74,351.92,348.17,347.93,349.76,347.29,354.94,356.56,357.33,362.37,359.04,357.82,361.73,371.57,371.54,375.96,370.48,374.14,375.49,373.96,378.87,367.01,374.85,371.09,366.57,360.55,355.10,358.93,352.36,354.81,361.13,360.94,358.24,369.52,364.55,366.51,366.59,370.25,370.31,369.31,366.21,364.94,365.99,366.51,364.91,357.89,358.87,356.86,357.39,357.81,353.37,358.99,362.25,363.13,,359.58,363.50,367.11,369.14,360.01,359.55,361.93,363.56,368.44,375.79,373.91,374.40,371.51,370.24,366.06,364.98,L7
