dates,satname,nzd0467-0000,nzd0467-0001,nzd0467-0002,nzd0467-0003,nzd0467-0004,nzd0467-0005,nzd0467-0006,nzd0467-0007,nzd0467-0008,nzd0467-0009,nzd0467-0010,nzd0467-0011,nzd0467-0012,nzd0467-0013,nzd0467-0014,nzd0467-0015,nzd0467-0016,nzd0467-0017,nzd0467-0018,nzd0467-0019,nzd0467-0020,nzd0467-0021,nzd0467-0022,nzd0467-0023,nzd0467-0024,nzd0467-0025,nzd0467-0026,nzd0467-0027,nzd0467-0028,nzd0467-0029,nzd0467-0030,nzd0467-0031,nzd0467-0032,nzd0467-0033,nzd0467-0034,nzd0467-0035,nzd0467-0036,nzd0467-0037,nzd0467-0038,nzd0467-0039,nzd0467-0040,nzd0467-0041,nzd0467-0042,nzd0467-0043,nzd0467-0044,nzd0467-0045,nzd0467-0046,nzd0467-0047,nzd0467-0048,nzd0467-0049,nzd0467-0050,nzd0467-0051,nzd0467-0052,nzd0467-0053,nzd0467-0054,nzd0467-0055,nzd0467-0056,nzd0467-0057,nzd0467-0058,nzd0467-0059,nzd0467-0060,nzd0467-0061,nzd0467-0062,nzd0467-0063,nzd0467-0064,nzd0467-0065,nzd0467-0066,nzd0467-0067,nzd0467-0068,nzd0467-0069,nzd0467-0070,nzd0467-0071,nzd0467-0072,nzd0467-0073,nzd0467-0074,nzd0467-0075,nzd0467-0076,nzd0467-0077,nzd0467-0078,nzd0467-0079,nzd0467-0080,nzd0467-0081,nzd0467-0082,nzd0467-0083,nzd0467-0084,nzd0467-0085,nzd0467-0086,nzd0467-0087,nzd0467-0088,nzd0467-0089,nzd0467-0090,nzd0467-0091,nzd0467-0092,nzd0467-0093,nzd0467-0094,nzd0467-0095,nzd0467-0096,nzd0467-0097,nzd0467-0098,nzd0467-0099,nzd0467-0100,nzd0467-0101,nzd0467-0102,nzd0467-0103,nzd0467-0104,nzd0467-0105,nzd0467-0106,nzd0467-0107,nzd0467-0108,nzd0467-0109,nzd0467-0110,nzd0467-0111,nzd0467-0112,nzd0467-0113,nzd0467-0114,nzd0467-0115,nzd0467-0116,nzd0467-0117,nzd0467-0118,nzd0467-0119,nzd0467-0120,nzd0467-0121,nzd0467-0122,nzd0467-0123,nzd0467-0124,nzd0467-0125,nzd0467-0126,nzd0467-0127,nzd0467-0128,nzd0467-0129,nzd0467-0130,nzd0467-0131,nzd0467-0132,nzd0467-0133,nzd0467-0134
1999-08-26 22:07:08+00:00,L7,341.10,336.98,331.35,329.22,328.21,326.32,332.56,335.88,332.36,335.18,335.81,343.18,341.93,343.25,343.33,349.61,346.87,342.98,344.82,343.06,336.16,335.67,334.70,336.11,339.79,332.54,337.49,338.31,341.42,342.00,342.20,343.03,344.35,343.10,344.46,342.70,343.16,342.04,351.27,354.49,353.06,356.41,350.78,350.28,348.03,347.07,338.53,341.65,345.69,344.01,340.02,337.56,338.69,342.52,341.24,338.24,335.53,335.52,337.27,332.98,331.47,329.84,326.06,326.72,326.79,325.55,325.36,328.35,324.23,328.17,326.44,324.45,322.93,321.89,324.76,332.94,328.24,333.22,334.21,336.74,341.67,346.21,347.41,346.46,349.43,335.85,335.60,334.37,332.30,328.67,324.36,327.03,331.08,333.68,338.90,341.39,343.63,342.33,335.85,334.00,339.82,338.81,334.02,331.41,329.56,333.90,333.76,333.74,328.52,332.43,329.32,330.32,332.28,326.93,316.72,,,316.70,,324.03,327.52,327.10,328.13,323.40,324.78,324.34,330.78,340.94,340.75,341.86,340.22,334.01,334.44,330.84,333.86
1999-09-27 22:07:12+00:00,L7,349.09,350.80,343.80,342.74,339.09,342.12,343.28,340.62,345.81,340.88,344.56,346.60,348.83,351.73,349.33,350.11,351.13,347.17,347.32,347.83,350.23,347.83,350.92,351.56,352.55,353.88,354.67,353.07,352.78,354.07,350.16,348.48,348.05,347.30,353.62,349.24,356.32,357.73,358.34,355.67,360.91,357.35,355.72,358.05,357.56,355.76,358.86,354.80,352.86,351.84,353.22,357.30,352.24,349.79,351.64,348.15,346.50,344.72,345.96,339.77,338.99,335.57,334.65,333.98,332.33,330.46,332.42,328.85,333.46,333.07,329.93,328.46,328.30,326.89,333.39,334.50,341.79,346.90,350.27,350.06,351.96,359.44,357.37,360.42,351.68,352.10,346.47,340.12,339.41,330.29,331.66,334.63,335.84,339.44,338.58,342.32,346.52,347.40,342.27,343.93,342.29,340.51,341.03,339.55,335.42,341.32,341.99,344.57,337.94,342.34,343.57,341.39,343.43,345.03,344.59,344.52,343.05,342.52,,337.82,338.09,338.62,343.57,348.27,347.87,350.77,348.42,352.27,351.34,349.74,346.44,347.81,346.87,346.03,343.57
1999-10-13 22:07:12+00:00,L7,350.99,344.25,347.23,345.54,345.27,345.16,349.89,356.21,351.53,349.16,348.48,353.39,354.27,356.07,355.36,353.36,351.25,357.69,354.49,351.45,350.76,353.29,351.31,355.70,355.75,356.43,362.71,364.57,358.62,362.48,355.50,356.97,354.58,355.21,355.60,354.60,355.72,361.67,357.55,358.45,364.30,365.69,365.75,367.07,362.41,363.34,359.81,361.59,357.03,359.92,356.51,359.57,356.16,352.05,353.19,359.45,353.92,353.88,352.94,343.40,339.31,343.50,343.10,336.76,334.74,331.98,327.28,332.52,327.09,339.66,334.74,334.65,333.13,339.29,337.49,342.39,340.49,349.71,347.66,351.83,353.20,354.23,352.70,359.11,364.52,355.87,349.85,346.17,342.37,339.87,332.05,334.31,331.89,338.59,339.51,342.25,341.59,347.35,349.30,347.11,346.57,348.33,341.12,347.63,340.04,345.55,340.82,344.78,344.70,351.59,341.34,344.34,345.09,,346.22,,,,,342.52,341.33,344.46,341.86,349.20,351.93,351.82,356.54,355.88,354.65,348.94,349.75,350.45,357.91,348.01,347.36
2000-02-18 22:06:52+00:00,L7,355.10,346.08,347.70,347.00,346.37,349.14,350.34,352.86,352.86,350.73,350.48,353.52,353.21,352.36,354.20,355.25,358.66,353.76,362.53,359.96,358.37,356.90,360.54,355.13,358.45,361.90,360.17,361.19,356.30,354.02,356.19,354.00,354.91,359.51,359.56,357.48,359.58,358.13,358.26,360.24,359.62,362.61,359.90,362.55,364.78,366.61,363.40,360.43,358.08,361.13,363.51,363.15,356.08,359.03,354.99,355.35,354.34,349.25,345.63,347.31,348.36,348.24,342.00,337.95,337.13,342.53,335.25,331.31,335.45,332.77,330.78,330.22,327.16,342.46,347.83,349.89,346.99,348.33,347.97,358.67,358.08,356.25,357.57,357.10,361.13,354.35,351.06,345.64,346.88,344.56,352.01,355.13,355.57,350.50,349.57,,,,,360.35,358.83,350.97,356.60,354.51,345.45,346.22,344.82,344.23,350.76,347.93,346.52,347.87,343.50,347.55,347.35,,,,,334.97,333.89,353.27,358.74,348.99,344.33,357.21,354.09,350.91,352.58,353.91,355.42,358.40,359.79,365.59,349.57
2000-05-08 22:06:20+00:00,L7,351.21,346.37,347.63,346.30,344.80,343.97,347.27,341.61,348.95,346.64,351.12,350.96,352.19,350.08,352.82,354.63,356.07,355.01,351.60,352.83,355.51,346.86,352.86,354.49,355.08,359.08,358.23,357.98,358.15,357.68,354.93,353.96,352.57,352.69,350.64,351.69,353.52,358.69,361.57,361.48,365.92,365.08,364.38,363.09,361.62,365.72,362.90,357.59,359.70,358.53,361.70,362.11,358.71,354.61,360.82,359.24,355.12,352.29,346.80,343.27,338.31,341.23,338.70,337.24,333.09,334.35,331.17,333.27,333.78,336.59,334.62,331.27,328.54,333.52,337.16,341.02,343.33,347.02,349.22,350.21,350.81,361.15,358.23,362.03,361.75,358.28,352.18,346.44,338.52,335.68,335.32,335.56,335.32,339.45,343.97,350.75,349.53,348.90,350.40,351.86,348.49,344.89,344.72,342.42,343.26,339.91,339.73,339.80,344.51,,,,,,,,,,,,,,,,351.20,350.84,352.60,352.51,350.63,350.42,,,,,
2000-07-27 22:05:24+00:00,L7,352.80,350.40,352.76,348.01,352.20,352.98,349.74,355.22,356.25,356.21,352.22,353.49,354.79,356.11,356.77,356.20,357.57,361.18,359.34,360.87,358.32,362.26,366.10,363.78,360.44,358.91,360.51,362.83,359.51,358.99,366.70,364.96,362.68,362.52,361.14,363.69,359.68,360.85,361.49,365.81,365.81,365.86,367.10,363.41,368.39,364.62,368.40,365.77,366.89,363.91,363.43,362.01,359.45,355.76,361.28,359.85,356.34,350.57,352.74,347.75,348.27,345.77,344.56,339.09,337.38,337.01,333.35,335.28,333.89,334.53,335.36,332.25,335.12,338.12,343.40,345.69,351.19,349.81,355.42,352.55,360.12,365.25,363.18,369.34,361.64,358.63,355.83,348.07,346.61,340.62,343.14,341.53,343.28,348.19,350.97,349.43,351.50,351.71,350.69,349.20,350.16,350.56,347.89,349.04,344.64,344.38,344.45,346.62,354.71,351.04,348.78,350.14,346.83,,348.80,,,,,,,,,,,,,,,,,,,,356.41
2000-08-12 22:05:17+00:00,L7,348.11,346.74,335.81,337.73,340.94,334.67,346.00,344.67,346.86,344.01,346.48,349.49,345.60,349.67,354.14,354.52,352.67,353.75,354.14,353.12,353.54,354.40,354.22,354.21,357.83,359.03,357.40,358.03,356.58,355.05,355.98,353.53,356.04,355.52,348.50,356.50,355.42,359.88,359.04,365.39,365.13,364.74,366.08,364.41,367.73,364.13,363.62,361.72,359.16,357.42,359.18,359.70,357.00,357.27,360.66,360.22,354.62,350.82,351.56,337.41,343.16,341.69,336.17,333.95,332.99,328.65,328.21,329.81,329.91,332.38,332.55,331.02,330.56,337.31,339.65,338.51,340.12,347.67,345.78,349.59,351.71,355.16,363.31,365.49,363.02,357.37,352.34,348.35,343.86,333.06,333.02,336.91,335.84,341.20,340.32,344.07,348.45,346.80,348.27,347.37,347.94,347.26,343.83,343.19,341.06,340.58,340.82,339.52,341.99,342.68,340.00,345.28,343.11,,345.27,,,,,336.88,340.92,342.29,343.20,345.90,349.59,353.42,352.98,352.80,351.48,349.82,353.94,357.29,351.47,355.65,353.96
2000-12-18 22:04:37+00:00,L7,341.11,338.60,331.93,332.11,335.73,334.11,334.41,337.19,337.22,337.47,337.25,339.94,337.65,341.63,343.12,346.53,348.36,349.95,348.69,345.79,348.24,346.89,349.17,349.10,350.56,349.31,346.00,351.89,347.96,348.79,349.65,350.49,347.18,347.00,346.01,352.08,352.80,350.90,357.73,357.27,355.57,359.47,356.26,356.13,355.43,357.84,356.32,354.89,355.82,352.87,353.94,355.21,355.50,350.65,346.00,350.88,347.77,348.03,341.46,338.81,337.02,333.25,330.83,330.98,327.34,328.90,325.88,327.94,324.42,326.95,326.50,332.06,328.00,330.77,330.93,337.89,336.17,342.56,346.32,346.64,349.19,351.55,352.66,357.81,355.85,352.86,350.35,344.38,335.88,331.62,331.64,334.01,334.58,334.32,337.30,335.85,342.71,342.26,345.80,341.91,346.22,344.07,341.12,341.42,337.98,338.34,336.67,334.76,336.64,335.15,333.71,335.30,337.01,,336.73,,,336.89,,334.77,338.87,337.71,338.87,338.41,340.98,342.17,342.48,343.88,349.80,347.94,346.53,349.48,346.02,342.17,343.87
2001-02-20 22:04:36+00:00,L7,327.92,322.77,318.00,319.86,318.44,319.43,320.05,320.63,324.96,326.20,326.25,324.87,325.02,326.70,330.68,329.67,332.32,333.50,332.59,332.00,330.90,331.12,328.72,329.39,331.26,334.34,332.02,330.81,332.16,330.74,334.97,324.71,323.67,329.18,332.72,327.10,326.43,334.21,341.35,338.87,333.14,333.67,341.62,339.84,336.38,335.04,336.30,338.90,339.00,339.04,336.38,338.36,333.80,337.92,339.80,332.65,325.09,329.12,324.85,322.02,320.66,318.90,313.89,311.10,312.94,315.64,312.98,315.21,314.51,313.43,313.36,313.66,314.67,315.01,314.94,319.22,317.59,325.09,327.78,331.08,334.76,339.96,340.12,340.21,332.52,331.78,335.51,323.90,317.89,316.34,316.69,314.40,319.07,320.16,316.34,323.64,326.66,319.36,317.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-09 22:04:17+00:00,L7,375.85,370.39,368.18,364.54,364.71,363.98,364.05,365.39,368.83,369.07,364.09,362.50,364.45,376.95,379.87,380.87,378.93,375.17,381.51,381.71,376.90,377.04,382.79,389.49,390.45,392.47,390.78,380.92,381.57,386.01,386.17,381.21,383.74,383.36,380.50,379.76,387.67,386.35,386.14,388.95,394.87,387.94,391.75,393.11,389.65,384.08,378.31,384.45,387.64,390.31,382.41,384.41,387.56,387.09,379.83,378.44,384.34,380.52,374.52,368.83,362.41,361.67,365.50,364.10,359.24,356.42,356.74,356.50,354.38,356.76,361.37,361.06,361.83,366.87,364.33,363.82,366.23,376.57,376.16,380.82,378.31,381.64,381.49,378.82,384.49,373.01,379.35,375.71,371.07,365.69,361.53,364.22,364.36,363.38,365.63,365.44,363.24,374.02,369.69,371.01,373.26,376.46,376.98,377.49,375.68,372.77,371.13,371.51,369.65,363.89,364.32,362.86,365.96,362.95,357.87,363.99,369.75,367.63,,367.08,368.00,371.61,373.64,372.01,371.55,373.93,369.37,372.94,380.29,378.41,378.90,376.25,374.74,370.56,370.43
