dates,nzd0279-0000,nzd0279-0001,nzd0279-0002,nzd0279-0003,nzd0279-0004,nzd0279-0005,nzd0279-0006,nzd0279-0007,nzd0279-0008,nzd0279-0009,nzd0279-0010,nzd0279-0011,nzd0279-0012,nzd0279-0013,nzd0279-0014,nzd0279-0015,nzd0279-0016,nzd0279-0017,nzd0279-0018,nzd0279-0019,nzd0279-0020,nzd0279-0021,nzd0279-0022,nzd0279-0023,nzd0279-0024,nzd0279-0025,nzd0279-0026,nzd0279-0027,nzd0279-0028,nzd0279-0029,nzd0279-0030,nzd0279-0031,nzd0279-0032,nzd0279-0033,nzd0279-0034,nzd0279-0035,nzd0279-0036,nzd0279-0037,nzd0279-0038,nzd0279-0039,nzd0279-0040,nzd0279-0041,nzd0279-0042,nzd0279-0043,nzd0279-0044,nzd0279-0045,nzd0279-0046,nzd0279-0047,nzd0279-0048,nzd0279-0049,nzd0279-0050,nzd0279-0051,nzd0279-0052,nzd0279-0053,nzd0279-0054,nzd0279-0055,nzd0279-0056,nzd0279-0057,nzd0279-0058,nzd0279-0059,nzd0279-0060,nzd0279-0061,nzd0279-0062,nzd0279-0063,nzd0279-0064,nzd0279-0065,nzd0279-0066,nzd0279-0067,nzd0279-0068,nzd0279-0069,nzd0279-0070,nzd0279-0071,nzd0279-0072,nzd0279-0073,nzd0279-0074,nzd0279-0075,nzd0279-0076,nzd0279-0077,nzd0279-0078,nzd0279-0079,nzd0279-0080,satname
1999-08-21 21:46:56+00:00,370.83,361.79,367.78,379.79,393.09,391.47,397.30,404.45,416.77,424.76,425.62,408.68,391.34,382.64,377.95,372.39,358.81,364.83,360.12,346.33,331.74,330.34,332.60,325.94,321.20,326.73,328.09,327.90,333.62,330.55,340.28,337.91,333.79,339.64,341.94,353.21,350.95,349.22,356.45,364.47,374.93,382.00,382.01,382.29,370.93,364.62,352.08,348.36,342.33,344.44,337.86,334.70,329.66,332.24,326.45,325.92,326.63,326.79,328.70,322.57,318.09,313.24,310.55,313.10,318.86,329.39,332.21,334.42,335.17,342.08,351.57,358.73,368.59,371.79,368.47,372.14,373.38,365.34,365.37,371.77,371.30,L7
1999-09-22 21:47:00+00:00,378.83,371.96,377.39,383.07,386.22,389.09,397.92,409.18,420.88,421.17,420.15,402.45,394.58,387.36,384.34,366.16,365.54,362.67,355.13,346.98,334.36,328.85,324.08,326.27,321.48,324.00,327.04,335.12,334.49,334.49,335.12,343.46,341.53,342.38,349.12,354.42,359.82,356.30,362.97,375.48,375.84,387.20,385.28,390.30,374.41,369.39,367.20,359.49,352.53,353.28,350.69,343.68,335.08,339.26,334.18,336.35,325.97,329.32,331.09,322.99,317.23,320.80,324.58,326.56,331.95,329.32,337.82,340.60,352.97,349.48,353.28,360.52,369.44,373.27,378.91,387.43,394.97,389.33,372.18,371.13,377.78,L7
1999-10-24 21:46:56+00:00,,,,,,,,,,424.18,428.69,420.36,407.51,397.50,389.35,375.88,376.02,377.22,367.01,362.88,352.22,337.48,334.39,331.32,339.55,335.69,338.75,340.24,340.11,340.45,346.49,355.57,359.14,358.90,355.01,355.03,361.80,362.43,366.81,370.92,376.99,381.90,399.91,397.68,387.79,375.82,367.77,362.88,359.80,355.85,359.35,345.69,341.72,338.57,336.66,335.57,334.08,328.39,332.45,326.43,325.59,323.93,323.71,327.78,337.76,342.06,341.47,347.92,356.37,351.64,356.46,362.50,373.07,,,,,,,,,L7
2000-02-13 21:46:48+00:00,378.94,373.34,375.14,377.87,386.85,392.12,399.30,401.68,410.77,417.94,422.73,410.87,396.21,383.60,378.96,373.07,364.99,355.32,350.46,339.63,336.01,327.32,327.32,329.96,322.90,326.17,329.12,330.71,337.06,335.29,334.44,332.20,335.72,335.02,340.38,346.92,353.60,354.28,363.33,368.38,375.29,380.56,386.60,388.41,376.81,369.47,362.42,359.60,349.02,351.17,349.63,346.01,339.56,337.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-19 21:46:07+00:00,386.49,381.04,380.73,384.60,390.64,398.11,405.38,410.77,414.79,420.75,425.97,415.40,405.66,396.93,388.79,378.76,366.72,352.89,354.62,349.74,339.03,339.17,342.70,338.70,324.34,332.62,331.48,330.36,338.27,337.28,339.83,341.11,339.08,346.91,346.38,349.06,349.46,355.18,361.16,363.37,373.00,386.44,387.18,388.44,380.29,376.70,365.95,363.87,363.65,352.01,341.89,339.18,338.99,340.50,338.44,335.75,329.13,329.95,334.34,330.86,334.84,334.23,333.42,333.97,332.40,339.78,342.30,348.84,349.94,356.14,363.23,365.90,370.97,378.11,385.36,389.67,387.14,388.22,385.43,382.65,380.40,L7
2000-08-07 21:45:08+00:00,382.03,373.66,377.11,375.96,374.12,371.04,388.38,404.49,414.86,425.63,429.68,417.71,407.86,394.72,383.21,377.74,367.21,359.68,356.22,349.04,339.61,339.51,341.75,335.77,331.00,338.67,333.48,332.83,339.43,336.01,337.66,338.73,339.52,345.41,349.99,351.20,350.87,352.08,360.92,365.56,374.81,379.34,382.51,381.88,377.36,372.06,364.63,365.19,355.30,350.25,347.08,339.46,334.36,332.45,334.23,333.88,333.16,327.94,321.94,320.71,326.59,330.84,334.19,331.69,325.41,329.77,332.46,340.49,351.36,357.24,361.30,,,,,,,,,,,L7
2000-12-13 21:44:28+00:00,,,,,,,,,,,,,,,,,,,348.12,340.26,333.71,330.46,328.46,329.16,325.62,328.50,324.96,328.13,325.84,330.66,330.99,327.44,332.18,330.35,335.68,335.41,335.85,345.75,348.61,357.98,358.33,367.63,373.67,373.42,366.30,358.63,359.01,345.35,344.10,341.42,336.13,334.21,335.09,330.57,328.52,326.45,324.59,319.49,322.48,323.38,321.27,320.32,322.85,324.99,329.13,329.56,329.34,331.26,337.00,341.33,344.68,351.86,359.85,366.86,367.51,375.06,377.41,377.29,381.14,378.15,368.65,L7
2001-04-04 21:44:06+00:00,375.15,367.76,365.62,374.14,383.96,394.66,394.41,401.96,404.67,411.62,420.29,413.29,401.19,393.28,378.26,367.12,358.12,359.42,351.05,346.63,340.45,337.79,332.38,330.73,338.10,335.57,335.29,335.56,335.31,339.27,336.11,345.72,344.61,344.77,348.80,354.89,358.03,357.67,361.30,362.31,366.83,377.69,389.17,394.08,381.95,388.43,375.96,368.33,357.97,356.51,357.64,343.45,345.97,343.00,337.73,340.50,338.71,333.31,333.05,337.09,331.55,333.42,330.34,332.82,336.41,344.47,346.16,348.10,345.85,348.62,357.40,359.77,369.80,385.23,390.43,392.07,385.62,388.81,375.16,371.54,371.76,L7
2001-04-20 21:44:10+00:00,378.26,371.73,369.93,371.23,378.30,384.14,394.98,402.49,406.51,413.37,421.82,416.70,403.92,396.63,380.28,370.26,361.62,359.68,350.04,345.68,341.30,337.64,332.06,336.30,335.02,333.66,334.27,334.98,332.88,338.21,339.15,341.18,344.75,347.96,350.99,352.70,355.11,359.86,365.57,367.89,372.63,379.06,389.44,390.08,387.34,384.84,374.58,372.54,362.79,356.77,354.12,350.70,349.42,348.32,340.98,342.67,342.18,336.26,335.20,335.64,337.85,335.81,335.78,337.44,338.90,345.75,351.33,351.34,355.47,355.16,357.99,362.89,379.87,389.62,396.89,390.51,386.78,391.28,386.45,378.97,369.08,L7
2001-05-22 21:43:54+00:00,386.56,382.42,374.99,378.59,380.97,385.28,394.31,405.30,409.96,426.27,429.43,422.87,405.74,395.95,385.30,376.59,368.59,364.40,350.74,350.27,345.87,344.51,340.74,343.17,343.97,339.44,338.79,342.38,336.45,339.63,343.28,344.06,346.46,354.42,358.09,358.35,365.96,365.26,373.68,374.25,378.25,383.83,391.68,393.94,393.53,384.46,380.50,373.77,364.11,361.47,353.03,353.12,352.56,347.22,341.59,345.78,343.48,343.20,341.17,340.37,339.47,337.76,339.84,346.50,350.65,351.53,355.66,363.40,359.55,355.24,371.48,377.77,380.50,381.34,389.59,400.23,402.51,402.27,397.64,389.83,380.34,L7
