dates,satname,nzd0279-0000,nzd0279-0001,nzd0279-0002,nzd0279-0003,nzd0279-0004,nzd0279-0005,nzd0279-0006,nzd0279-0007,nzd0279-0008,nzd0279-0009,nzd0279-0010,nzd0279-0011,nzd0279-0012,nzd0279-0013,nzd0279-0014,nzd0279-0015,nzd0279-0016,nzd0279-0017,nzd0279-0018,nzd0279-0019,nzd0279-0020,nzd0279-0021,nzd0279-0022,nzd0279-0023,nzd0279-0024,nzd0279-0025,nzd0279-0026,nzd0279-0027,nzd0279-0028,nzd0279-0029,nzd0279-0030,nzd0279-0031,nzd0279-0032,nzd0279-0033,nzd0279-0034,nzd0279-0035,nzd0279-0036,nzd0279-0037,nzd0279-0038,nzd0279-0039,nzd0279-0040,nzd0279-0041,nzd0279-0042,nzd0279-0043,nzd0279-0044,nzd0279-0045,nzd0279-0046,nzd0279-0047,nzd0279-0048,nzd0279-0049,nzd0279-0050,nzd0279-0051,nzd0279-0052,nzd0279-0053,nzd0279-0054,nzd0279-0055,nzd0279-0056,nzd0279-0057,nzd0279-0058,nzd0279-0059,nzd0279-0060,nzd0279-0061,nzd0279-0062,nzd0279-0063,nzd0279-0064,nzd0279-0065,nzd0279-0066,nzd0279-0067,nzd0279-0068,nzd0279-0069,nzd0279-0070,nzd0279-0071,nzd0279-0072,nzd0279-0073,nzd0279-0074,nzd0279-0075,nzd0279-0076,nzd0279-0077,nzd0279-0078,nzd0279-0079,nzd0279-0080
1999-08-21 21:46:56+00:00,L7,377.05,368.01,374.00,386.01,399.31,397.69,403.52,410.05,422.99,430.36,431.22,414.28,396.94,387.73,383.55,377.99,363.48,369.14,365.72,350.64,336.41,335.43,338.20,331.03,325.20,332.33,332.40,332.99,338.71,335.22,345.88,341.91,338.88,344.31,347.03,358.81,356.55,354.82,361.12,370.69,380.53,387.60,387.61,387.38,376.53,369.71,357.68,353.03,347.93,350.04,343.46,340.30,335.26,337.33,332.05,331.01,331.72,331.88,333.79,327.66,322.76,318.33,315.64,318.70,325.08,334.99,337.81,340.02,340.77,348.30,357.17,364.33,373.68,376.46,373.14,377.23,378.98,370.43,371.59,378.77,379.30
1999-09-22 21:47:00+00:00,L7,390.39,383.52,388.95,394.63,397.78,400.65,409.48,419.58,432.44,431.57,430.55,412.85,404.98,396.81,394.74,376.56,374.21,370.67,365.53,354.98,343.03,338.30,334.48,335.72,328.91,334.40,335.04,344.57,343.94,343.16,345.52,350.89,350.98,351.05,358.57,364.82,370.22,366.70,371.64,387.04,386.24,397.60,395.68,399.75,384.81,378.84,377.60,368.16,362.93,363.68,361.09,354.08,345.48,348.71,344.58,345.80,335.42,338.77,340.54,332.44,325.90,330.25,334.03,336.96,343.51,339.72,348.22,351.00,363.37,361.04,363.68,370.92,378.89,381.94,387.58,396.88,405.37,398.78,383.74,384.13,392.64
1999-10-24 21:46:56+00:00,L7,,,,,,,,,,432.78,437.29,428.96,416.11,405.32,397.95,384.48,383.19,383.84,375.61,369.50,359.39,345.30,342.99,339.14,345.69,344.29,345.37,348.06,347.93,347.62,355.09,361.71,366.96,366.07,362.83,363.63,370.40,371.03,373.98,380.48,385.59,390.50,408.51,405.50,396.39,383.64,376.37,370.05,368.40,364.45,367.95,354.29,350.32,346.39,345.26,343.39,341.90,336.21,340.27,334.25,332.76,331.75,331.53,336.38,347.32,350.66,350.07,356.52,364.97,361.20,365.06,371.10,380.89,,96.45,122.27,146.83,160.30,171.44,174.35,171.73
2000-02-13 21:46:48+00:00,L7,375.38,369.78,371.58,374.31,383.29,388.56,395.74,398.48,407.21,414.74,419.53,407.67,393.01,380.69,375.76,369.87,362.32,352.86,347.26,337.17,333.34,324.41,324.12,327.05,320.61,322.97,326.66,327.80,334.15,332.62,331.24,329.91,332.81,332.35,337.47,343.72,350.40,351.08,360.66,364.82,372.09,377.36,383.40,385.50,373.61,366.56,359.22,356.93,345.82,347.97,346.43,342.81,336.36,334.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-19 21:46:07+00:00,L7,384.27,378.82,378.51,382.38,388.42,395.89,403.16,408.77,412.57,418.75,423.97,413.40,403.66,395.11,386.79,376.76,365.05,351.35,352.62,348.20,337.36,337.35,340.70,336.88,322.91,330.62,329.94,328.54,336.45,335.61,337.83,339.68,337.26,345.24,344.56,347.06,347.46,353.18,359.49,361.15,371.00,384.44,385.18,386.62,378.29,374.88,363.95,362.20,361.65,350.01,339.89,337.18,336.99,338.68,336.44,333.93,327.31,328.13,332.52,329.04,333.17,332.41,331.60,331.97,330.18,337.78,340.30,346.84,347.94,353.92,361.23,363.90,369.15,376.44,383.69,387.85,385.14,386.40,383.21,380.15,377.54
2000-08-07 21:45:08+00:00,L7,379.81,371.44,374.89,373.74,371.90,368.82,386.16,402.49,412.64,423.63,427.68,415.71,405.86,392.90,381.21,375.74,365.54,358.14,354.22,347.50,337.94,337.69,339.75,333.95,329.57,336.67,331.94,331.01,337.61,334.34,335.66,337.30,337.70,343.74,348.17,349.20,348.87,350.08,359.25,363.34,372.81,377.34,380.51,380.06,375.36,370.24,362.63,363.52,353.30,348.25,345.08,337.46,332.36,330.63,332.23,332.06,331.34,326.12,320.12,318.89,324.92,329.02,332.37,329.69,323.19,327.77,330.46,338.49,349.36,355.02,359.30,,,,,,,,,,
2000-12-13 21:44:28+00:00,L7,,,,,,,,,,,,,,,,,,,336.52,331.34,324.04,319.91,316.86,318.61,317.33,316.90,316.04,317.58,315.29,320.99,319.39,319.15,321.63,320.68,325.13,323.81,324.25,334.15,338.94,345.09,346.73,356.03,362.07,362.87,354.70,348.08,347.41,335.68,332.50,329.82,324.53,322.61,323.49,320.02,316.92,315.90,314.04,308.94,311.93,312.83,311.60,309.77,312.30,313.39,316.24,317.96,317.74,319.66,325.40,328.44,333.08,340.26,349.30,357.19,357.84,364.51,365.81,366.74,368.25,363.65,352.08
2001-04-04 21:44:06+00:00,L7,389.82,382.43,380.29,388.81,398.63,409.33,409.08,415.16,419.34,424.82,433.49,426.49,414.39,405.28,391.46,380.32,369.12,369.57,364.25,356.78,351.45,349.79,345.58,342.73,347.53,348.77,345.44,347.56,347.31,350.27,349.31,355.15,356.61,355.77,360.80,368.09,371.23,370.87,372.30,376.98,380.03,390.89,402.37,406.08,395.15,400.43,389.16,379.33,371.17,369.71,370.84,356.65,359.17,355.00,350.93,352.50,350.71,345.31,345.05,349.09,342.55,345.42,342.34,346.02,351.08,357.67,359.36,361.30,359.05,363.29,370.60,372.97,381.80,396.23,401.43,404.07,398.82,400.81,389.83,388.04,390.62
2001-04-20 21:44:10+00:00,L7,389.37,382.84,381.04,382.34,389.41,395.25,406.09,412.49,417.62,423.37,431.82,426.70,413.92,405.72,390.28,380.26,369.95,367.37,360.04,353.37,349.63,346.73,342.06,345.39,342.16,343.66,341.96,344.07,341.97,346.54,349.15,348.32,353.84,356.29,360.08,362.70,365.11,369.86,373.90,379.00,382.63,389.06,399.44,399.17,397.34,393.93,384.58,380.87,372.79,366.77,364.12,360.70,359.42,357.41,350.98,351.76,351.27,345.35,344.29,344.73,346.18,344.90,344.87,347.44,350.01,355.75,361.33,361.34,365.47,366.27,367.99,372.89,388.96,397.95,405.22,399.60,396.78,400.37,397.56,391.47,383.37
2001-05-22 21:43:54+00:00,L7,393.89,389.75,382.32,385.92,388.30,392.61,401.64,411.90,417.29,432.87,436.03,429.47,412.34,401.95,391.90,383.19,374.09,369.48,357.34,355.35,351.37,350.51,347.34,349.17,348.68,346.04,343.87,348.38,342.45,345.13,349.88,348.77,352.46,359.92,364.09,364.95,372.56,371.86,379.18,381.58,384.85,390.43,398.28,399.94,400.13,390.46,387.10,379.27,370.71,368.07,359.63,359.72,359.16,353.22,348.19,351.78,349.48,349.20,347.17,346.37,344.97,343.76,345.84,353.10,357.98,358.13,362.26,370.00,366.15,362.57,378.08,384.37,386.50,386.84,395.09,406.23,409.11,408.27,404.97,398.08,389.77
2001-07-25 21:43:18+00:00,L7,369.53,362.15,367.53,362.60,367.38,373.95,391.91,397.98,406.57,412.45,416.60,405.62,389.61,378.12,367.99,360.12,355.63,348.12,350.59,345.61,337.03,333.60,330.59,328.78,323.19,321.93,324.22,322.92,324.45,325.93,327.00,331.20,330.89,331.45,338.47,330.21,334.87,341.85,355.17,353.21,364.83,366.30,375.71,369.98,372.25,355.36,354.12,347.36,340.49,344.52,342.44,334.29,336.06,335.01,326.71,326.77,326.07,320.06,315.49,324.02,324.96,329.70,331.41,332.14,327.30,329.79,334.85,334.67,344.19,351.04,354.31,361.30,366.21,372.18,378.63,384.07,380.41,377.58,378.86,381.00,378.56
2001-09-11 21:42:38+00:00,L7,384.99,373.42,378.07,382.66,386.57,388.28,393.75,401.67,409.81,419.74,422.35,412.43,399.48,400.07,391.31,380.07,363.83,353.38,353.11,346.52,338.18,333.09,339.42,334.21,340.56,338.22,333.78,334.48,341.73,337.66,342.62,342.18,341.44,344.91,343.66,353.59,356.61,363.98,365.08,362.65,371.85,381.28,385.71,389.14,378.33,378.18,371.89,365.82,365.99,363.08,354.29,356.52,350.35,342.77,342.24,341.04,333.11,335.01,338.50,341.15,336.44,337.34,339.78,345.07,352.78,357.51,354.87,353.87,355.84,360.38,365.03,371.25,378.23,384.16,392.31,401.80,402.92,406.62,398.96,398.17,392.32
2001-09-27 21:42:29+00:00,L7,393.16,394.55,389.55,393.65,398.79,404.32,402.42,408.14,416.25,426.91,430.99,427.82,416.73,407.38,395.26,387.99,374.60,371.67,366.39,358.08,347.49,349.92,346.00,348.70,345.94,345.63,348.63,348.77,346.74,347.07,351.75,351.09,357.79,355.57,366.04,371.69,378.06,378.76,389.35,391.23,392.68,391.99,394.65,397.31,397.60,398.31,392.12,387.52,392.88,381.16,381.00,386.16,381.87,377.87,356.48,354.06,353.59,356.21,355.99,362.85,355.88,353.45,359.60,369.07,371.16,368.92,374.04,380.68,370.57,373.33,389.02,389.80,402.54,409.21,418.67,432.26,423.21,418.52,420.21,425.81,439.70
2001-10-13 21:42:15+00:00,L7,391.95,395.84,394.40,391.74,394.90,402.50,406.12,409.81,416.67,425.61,432.44,416.99,411.21,405.48,392.70,380.95,370.16,368.96,366.39,362.23,355.25,339.98,340.13,337.03,336.80,339.74,345.54,353.38,355.98,341.99,347.07,347.83,354.30,354.84,356.84,360.50,364.17,372.27,382.06,388.17,380.71,385.38,390.09,393.35,389.90,385.85,382.21,373.23,370.77,367.20,361.46,357.76,360.76,356.63,348.66,342.82,339.57,341.34,341.97,347.72,348.90,343.23,342.01,347.50,353.93,358.54,361.83,367.79,371.04,373.54,369.58,388.28,393.27,392.81,407.70,419.57,411.94,408.40,407.38,406.32,405.06
2001-10-29 21:42:21+00:00,L7,392.01,388.59,392.17,392.13,391.42,399.55,402.01,409.37,422.48,423.62,425.97,418.17,407.76,397.99,385.55,382.62,371.14,372.70,362.78,359.81,352.13,343.95,339.30,333.23,336.63,339.52,336.70,343.70,344.62,346.63,349.29,346.67,350.87,352.56,361.04,361.82,366.13,371.97,375.08,381.25,386.13,389.65,394.62,398.49,386.39,384.29,383.73,381.20,380.51,368.16,368.20,364.24,355.06,358.21,357.02,351.60,347.90,345.14,340.85,345.42,345.45,342.93,346.30,354.81,358.49,359.07,367.22,365.21,372.28,376.03,380.44,380.36,384.83,394.36,402.02,411.94,408.59,412.46,409.54,399.10,411.31
