dates,nzd0279-0000,nzd0279-0001,nzd0279-0002,nzd0279-0003,nzd0279-0004,nzd0279-0005,nzd0279-0006,nzd0279-0007,nzd0279-0008,nzd0279-0009,nzd0279-0010,nzd0279-0011,nzd0279-0012,nzd0279-0013,nzd0279-0014,nzd0279-0015,nzd0279-0016,nzd0279-0017,nzd0279-0018,nzd0279-0019,nzd0279-0020,nzd0279-0021,nzd0279-0022,nzd0279-0023,nzd0279-0024,nzd0279-0025,nzd0279-0026,nzd0279-0027,nzd0279-0028,nzd0279-0029,nzd0279-0030,nzd0279-0031,nzd0279-0032,nzd0279-0033,nzd0279-0034,nzd0279-0035,nzd0279-0036,nzd0279-0037,nzd0279-0038,nzd0279-0039,nzd0279-0040,nzd0279-0041,nzd0279-0042,nzd0279-0043,nzd0279-0044,nzd0279-0045,nzd0279-0046,nzd0279-0047,nzd0279-0048,nzd0279-0049,nzd0279-0050,nzd0279-0051,nzd0279-0052,nzd0279-0053,nzd0279-0054,nzd0279-0055,nzd0279-0056,nzd0279-0057,nzd0279-0058,nzd0279-0059,nzd0279-0060,nzd0279-0061,nzd0279-0062,nzd0279-0063,nzd0279-0064,nzd0279-0065,nzd0279-0066,nzd0279-0067,nzd0279-0068,nzd0279-0069,nzd0279-0070,nzd0279-0071,nzd0279-0072,nzd0279-0073,nzd0279-0074,nzd0279-0075,nzd0279-0076,nzd0279-0077,nzd0279-0078,nzd0279-0079,nzd0279-0080,satname
1999-08-21 21:46:56+00:00,370.83,361.79,367.78,379.79,393.09,391.47,397.30,404.45,416.77,424.76,425.62,408.68,391.34,382.64,377.95,372.39,358.81,364.83,360.12,346.33,331.74,330.34,332.60,325.94,321.20,326.73,328.09,327.90,333.62,330.55,340.28,337.91,333.79,339.64,341.94,353.21,350.95,349.22,356.45,364.47,374.93,382.00,382.01,382.29,370.93,364.62,352.08,348.36,342.33,344.44,337.86,334.70,329.66,332.24,326.45,325.92,326.63,326.79,328.70,322.57,318.09,313.24,310.55,313.10,318.86,329.39,332.21,334.42,335.17,342.08,351.57,358.73,368.59,371.79,368.47,372.14,373.38,365.34,365.37,371.77,371.30,L7
1999-09-22 21:47:00+00:00,374.83,366.88,372.58,381.43,389.65,390.28,397.61,406.81,418.82,422.97,422.88,405.56,392.96,385.00,381.14,369.27,362.18,363.75,357.62,346.65,333.05,329.60,328.34,326.11,321.34,325.37,327.56,331.51,334.06,332.52,337.70,340.69,337.66,341.01,345.53,353.81,355.38,352.76,359.71,369.98,375.38,384.60,383.64,386.30,372.67,367.00,359.64,353.93,347.43,348.86,344.27,339.19,332.37,335.75,330.31,331.13,326.30,328.06,329.89,322.78,317.66,317.02,317.56,319.83,325.40,329.36,335.01,337.51,344.07,345.78,352.42,359.62,369.01,372.53,373.69,379.78,384.18,377.33,368.77,371.45,374.54,L7
1999-10-24 21:46:56+00:00,374.83,366.88,372.58,381.43,389.65,390.28,397.61,406.81,418.82,423.37,424.82,410.50,397.81,389.17,383.88,371.48,366.79,368.24,360.75,352.06,339.44,332.22,330.36,327.84,327.41,328.81,331.29,334.42,336.07,335.16,340.63,345.65,344.82,346.97,348.69,354.22,357.52,355.98,362.08,370.29,375.92,383.70,389.07,390.09,377.71,369.94,362.35,356.91,351.55,351.19,349.30,341.36,335.49,336.69,332.43,332.61,328.89,328.17,330.75,324.00,320.30,319.32,319.61,322.48,329.52,333.59,337.17,340.98,348.17,347.73,353.77,360.58,370.37,372.53,373.69,379.78,384.18,377.33,368.77,371.45,374.54,L7
2000-02-13 21:46:48+00:00,376.20,369.03,373.44,380.24,388.72,390.89,398.17,405.10,416.14,422.01,424.30,410.59,397.41,387.77,382.65,371.88,366.34,365.01,358.18,348.95,338.58,331.00,329.60,328.37,326.28,328.15,330.75,333.49,336.32,335.19,339.08,342.28,342.55,343.99,346.61,352.39,356.54,355.56,362.39,369.81,375.76,382.91,388.45,389.67,377.49,369.82,362.37,357.58,350.92,351.19,349.38,342.52,336.50,336.92,332.43,332.61,328.89,328.17,330.75,324.00,320.30,319.32,319.61,322.48,329.52,333.59,337.17,340.98,348.17,347.73,353.77,360.58,370.37,372.53,373.69,379.78,384.18,377.33,368.77,371.45,374.54,L7
2000-05-19 21:46:07+00:00,382.72,377.19,377.94,381.24,388.75,395.12,402.34,406.23,412.78,419.35,424.35,413.13,400.94,390.26,383.88,375.91,365.86,354.11,352.54,344.69,337.52,333.25,335.01,334.33,323.62,329.39,330.30,330.53,337.66,336.28,337.13,336.65,337.40,340.97,343.38,347.99,351.53,354.73,362.25,365.88,374.14,383.50,386.89,388.43,378.55,373.09,364.19,361.74,356.33,351.59,345.76,342.60,339.27,339.06,338.44,335.75,329.13,329.95,334.34,330.86,334.84,334.23,333.42,333.97,332.40,339.78,342.30,348.84,349.94,356.14,363.23,365.90,370.97,378.11,385.36,389.67,387.14,388.22,385.43,382.65,380.40,L7
2000-08-07 21:45:08+00:00,382.49,376.01,377.66,379.48,383.87,387.09,397.69,405.65,413.47,421.44,426.13,414.66,403.24,391.75,383.65,376.52,366.31,355.96,353.77,346.14,338.22,335.33,337.26,334.81,326.08,332.49,331.36,331.30,338.25,336.19,337.31,337.35,338.11,342.45,345.58,349.06,351.31,353.85,361.80,365.77,374.37,382.11,385.43,386.24,378.15,372.74,364.33,362.89,355.99,351.14,346.20,341.55,337.64,336.86,336.34,334.81,331.14,328.94,328.14,325.78,330.71,332.53,333.81,332.83,328.90,334.77,337.38,344.66,350.65,356.69,362.26,365.90,370.97,378.11,385.36,389.67,387.14,388.22,385.43,382.65,380.40,L7
2000-12-13 21:44:28+00:00,382.03,373.66,377.11,375.96,374.12,371.04,388.38,404.49,414.86,425.63,429.68,417.71,407.86,394.72,383.21,377.74,367.21,359.68,352.17,344.65,336.66,334.99,335.11,332.47,328.31,333.59,329.22,330.48,332.63,333.34,334.33,333.09,335.85,337.88,342.84,343.31,343.36,348.91,354.76,361.77,366.57,373.49,378.09,377.65,371.83,365.35,361.82,355.27,349.70,345.84,341.61,336.83,334.73,331.51,331.38,330.16,328.88,323.72,322.21,322.04,323.93,325.58,328.52,328.34,327.27,329.66,330.90,335.88,344.18,349.28,352.99,351.86,359.85,366.86,367.51,375.06,377.41,377.29,381.14,378.15,368.65,L7
2001-04-04 21:44:06+00:00,375.15,367.76,365.62,374.14,383.96,394.66,394.41,401.96,404.67,411.62,420.29,413.29,401.19,393.28,378.26,367.12,358.12,359.42,349.59,343.44,337.08,334.12,330.42,329.95,331.86,332.03,330.12,331.85,330.57,334.97,333.55,336.58,338.39,337.56,342.24,345.15,346.94,351.71,354.96,360.14,362.58,372.66,381.42,383.75,374.12,373.53,367.49,356.84,351.04,348.97,346.88,338.83,340.53,336.78,333.12,333.48,331.65,326.40,327.76,330.24,326.41,326.87,326.60,328.90,332.77,337.01,337.75,339.68,341.43,344.98,351.04,355.81,364.83,376.05,378.97,383.56,381.51,383.05,378.15,374.85,370.20,L7
2001-04-20 21:44:10+00:00,376.70,369.75,367.77,372.69,381.13,389.40,394.70,402.23,405.59,412.50,421.06,415.00,402.56,394.95,379.27,368.69,359.87,359.55,349.74,344.19,338.49,335.30,330.97,332.06,332.91,332.58,331.51,332.89,331.34,336.05,335.42,338.11,340.51,341.03,345.16,347.67,349.66,354.43,358.49,362.73,365.93,374.79,384.09,385.86,378.53,377.30,369.85,362.07,354.95,351.57,349.30,342.79,343.49,340.63,335.74,336.54,335.16,329.69,330.24,332.04,330.22,329.85,329.66,331.75,334.81,339.93,342.28,343.57,346.11,348.37,353.36,358.17,369.84,380.57,384.94,385.88,383.27,385.79,380.92,376.22,369.83,L7
2001-05-22 21:43:54+00:00,379.99,373.97,370.18,374.65,381.08,388.03,394.57,403.25,407.05,417.09,423.85,417.62,403.62,395.29,381.28,371.32,362.78,361.17,349.99,345.71,340.33,337.60,333.41,334.84,335.68,334.29,333.33,335.26,332.62,336.94,337.38,339.60,342.00,344.38,348.39,350.34,353.74,357.13,362.29,365.61,369.01,377.05,385.99,387.88,382.28,379.09,372.51,365.00,357.24,354.04,350.23,345.37,345.76,342.28,337.20,338.85,337.24,333.06,332.98,334.12,332.54,331.83,332.20,335.44,338.77,342.83,345.62,348.52,349.47,350.09,357.89,363.07,372.50,380.76,386.11,389.47,388.08,389.91,385.10,379.62,372.46,L7
2001-07-25 21:43:18+00:00,381.26,374.90,373.41,375.53,381.54,388.40,397.79,405.43,410.82,419.43,425.54,418.12,403.62,394.18,381.46,372.02,363.91,360.60,354.10,349.74,344.08,341.57,337.44,337.93,337.57,336.15,335.83,337.14,335.46,338.68,339.88,343.04,344.86,347.57,352.27,352.54,356.99,359.66,366.85,368.31,374.13,380.22,390.00,390.20,387.27,381.46,374.79,368.42,359.84,358.32,355.31,348.89,349.50,346.57,340.25,342.11,340.79,336.39,334.41,337.46,336.38,337.36,337.52,340.73,342.21,346.38,350.50,352.88,354.76,356.41,363.79,368.93,377.28,385.01,391.80,394.90,392.33,393.17,388.42,384.71,379.93,L7
2001-09-11 21:42:38+00:00,382.45,375.05,374.78,377.40,382.99,388.82,397.43,405.08,411.06,419.89,425.30,417.38,403.19,395.72,383.83,374.03,364.23,359.46,354.31,349.40,343.23,340.24,338.24,337.55,338.45,336.96,335.73,336.97,337.07,338.81,340.83,343.15,344.54,347.37,350.91,353.15,357.32,360.92,366.83,367.62,374.08,380.83,389.54,390.35,385.88,381.16,374.61,368.23,361.47,359.67,355.50,350.82,350.07,346.17,341.05,342.26,339.62,336.48,335.59,338.56,336.72,337.72,338.34,341.99,344.76,349.01,351.77,353.48,355.38,357.64,364.44,369.80,377.83,385.17,392.24,396.65,394.85,396.22,390.97,387.90,382.98,L7
2001-09-27 21:42:29+00:00,382.79,376.86,375.80,378.66,384.18,389.96,396.82,404.29,410.48,419.76,424.95,417.82,404.14,396.48,384.43,375.06,364.87,360.50,355.02,349.85,342.86,340.67,338.23,338.22,338.77,337.11,336.88,337.76,337.50,339.10,341.35,343.55,345.57,347.65,352.25,354.94,359.47,362.60,369.50,370.11,375.88,381.39,389.09,390.33,386.53,382.84,376.23,370.36,365.40,361.95,358.45,355.41,354.07,350.28,342.32,343.05,340.77,338.58,337.81,341.43,338.83,339.16,340.70,345.21,347.72,351.03,354.19,356.71,356.61,358.81,367.24,371.83,380.77,388.10,395.56,401.40,398.28,398.76,394.40,392.60,390.58,L7
2001-10-13 21:42:15+00:00,383.30,379.24,378.30,379.30,383.71,388.97,396.47,403.53,410.18,420.03,424.91,416.37,403.75,396.64,384.77,375.30,365.16,360.50,355.51,350.86,343.61,339.15,337.46,337.40,337.08,335.74,337.00,338.85,339.07,337.83,341.11,342.42,345.30,347.61,351.71,353.81,358.43,362.96,371.24,372.12,376.12,380.61,387.18,388.33,385.79,380.53,375.20,369.46,365.47,361.67,357.02,355.73,354.47,350.67,342.08,341.56,339.03,338.05,337.42,341.32,340.00,338.91,340.77,345.59,348.34,351.31,354.73,357.93,358.74,360.67,367.20,374.51,382.80,387.64,396.72,404.11,400.60,400.14,397.47,395.81,393.18,L7
2001-10-29 21:42:21+00:00,383.96,380.42,380.38,381.15,384.26,389.90,396.01,403.21,411.21,420.27,424.13,415.15,402.92,395.53,384.19,375.89,365.52,361.54,356.17,352.09,344.19,338.87,337.20,335.55,336.30,335.25,336.28,338.97,339.69,338.01,341.34,342.29,344.99,347.16,352.06,353.86,358.80,363.52,371.60,372.72,376.91,380.91,386.58,388.40,384.17,379.11,375.26,369.68,366.96,362.10,357.90,356.52,353.94,350.98,343.28,341.71,338.65,338.19,337.03,341.62,340.05,338.77,341.19,347.02,349.98,352.06,355.91,358.77,360.08,362.52,369.48,375.96,382.30,387.21,396.35,406.34,402.76,402.34,399.69,397.33,398.12,L7
2002-02-18 21:42:54+00:00,384.79,381.49,381.27,382.32,385.53,389.93,394.17,401.27,407.70,417.07,420.19,411.65,400.94,394.42,382.51,375.19,363.84,359.84,353.41,350.37,342.03,334.67,333.40,332.06,333.83,332.55,335.46,337.58,339.25,337.13,339.76,340.93,343.65,344.47,349.13,351.96,356.66,362.14,370.09,371.92,376.03,379.87,385.57,386.94,381.71,379.03,374.47,370.29,368.43,362.52,358.83,358.34,353.54,352.01,344.33,341.32,338.22,339.24,339.30,343.18,340.95,338.31,340.62,346.34,349.94,352.62,357.44,359.95,361.37,365.04,370.33,376.26,382.83,388.65,398.57,409.65,406.17,406.58,403.85,399.89,400.88,L7
