,dates,nzd0014-0000,nzd0014-0001
0,1999-08-17 22:10:26+00:00,224.3500945923496,500.1769844748628
1,1999-10-04 22:10:38+00:00,221.22469361395787,378.932590133967
2,2000-02-09 22:10:19+00:00,231.177395763347,
3,2000-03-28 22:10:07+00:00,218.3761814601251,456.15746264078194
4,2000-05-15 22:09:42+00:00,223.5241609717632,420.7333842642161
5,2000-08-03 22:08:44+00:00,224.5326480189424,
6,2000-08-19 22:08:38+00:00,,
7,2000-09-20 22:08:03+00:00,226.8698656832283,482.73561575311584
8,2000-10-06 22:07:59+00:00,223.08220501856732,429.96555945202283
9,2000-10-22 22:07:50+00:00,217.6526763995253,
10,2001-01-26 22:08:07+00:00,215.98069941448745,
11,2001-02-27 22:07:54+00:00,215.81254235646827,
12,2001-04-16 22:07:42+00:00,229.28763839730482,446.45691399369093
13,2001-05-18 22:07:26+00:00,204.2863803079785,
14,2001-06-03 22:07:16+00:00,226.00256234721186,433.2878576582039
15,2001-09-07 22:06:11+00:00,211.09279178338377,
16,2001-09-23 22:06:03+00:00,219.67852279695134,
17,2001-11-26 22:06:09+00:00,207.1444851194564,440.142131820584
18,2001-12-12 22:06:14+00:00,192.57420502697843,
19,2001-12-28 22:06:14+00:00,219.94861585277084,479.4217877715947
20,2002-01-29 22:06:21+00:00,208.98253616996075,
21,2002-02-14 22:06:29+00:00,218.526316364586,
22,2002-03-18 22:06:22+00:00,231.95275359886662,
23,2002-07-08 22:06:00+00:00,222.13355585041185,466.8137076787422
24,2002-07-24 22:05:50+00:00,231.47253289472934,
25,2002-10-28 22:05:22+00:00,221.17250799521938,482.450506856118
26,2002-11-13 22:05:30+00:00,228.47920814045762,398.76623793153817
27,2002-12-31 22:05:56+00:00,221.84178224570516,458.61428899443035
28,2003-02-01 22:06:10+00:00,210.73970093573794,
29,2003-04-22 22:06:19+00:00,226.41410798513007,486.7471359525972
30,2003-05-08 22:06:20+00:00,,443.34658493496346
31,2003-05-24 22:06:17+00:00,,410.3819857352567
32,2003-08-28 22:05:57+00:00,219.15962985626763,548.8852370626414
33,2003-10-31 22:06:00+00:00,215.56113167792162,257.32905286885887
34,2004-02-04 22:06:41+00:00,214.94646402298528,266.3411970711634
35,2004-03-07 22:06:48+00:00,213.40781587410677,357.4368216391327
36,2004-03-23 22:06:52+00:00,224.49669828977014,338.33761055798493
