dates,nzd0199-0000,nzd0199-0001,nzd0199-0002,nzd0199-0003,nzd0199-0004,nzd0199-0005,nzd0199-0006,nzd0199-0007,nzd0199-0008,nzd0199-0009,nzd0199-0010,nzd0199-0011,satname
1999-07-18 21:58:49+00:00,,,,,,,,345.77,353.49,364.71,369.66,409.84,L7
1999-09-13 21:52:41+00:00,317.96,322.09,328.63,330.22,330.98,335.63,340.14,338.27,347.11,358.08,369.66,413.36,L7
1999-09-29 21:52:52+00:00,327.19,332.69,338.97,339.62,342.60,346.11,346.00,344.18,350.68,364.43,376.55,434.11,L7
1999-11-16 21:52:44+00:00,325.11,326.87,334.56,337.86,338.95,344.96,346.08,343.69,350.47,362.25,371.44,435.26,L7
1999-12-02 21:52:40+00:00,326.16,327.15,331.74,337.86,328.05,336.61,348.90,346.10,353.50,364.28,373.33,439.00,L7
1999-12-25 21:58:52+00:00,324.69,327.17,333.83,339.83,332.72,341.61,352.35,348.71,355.50,365.51,373.33,437.81,L7
2000-02-04 21:52:37+00:00,325.82,330.01,337.48,343.62,338.36,346.46,354.82,352.80,358.39,368.12,378.74,445.37,L7
2000-03-14 21:58:35+00:00,331.07,334.59,342.45,350.84,344.77,353.03,359.65,358.77,361.89,370.99,379.38,452.49,L7
2000-03-30 21:58:33+00:00,334.09,336.39,343.21,352.86,345.90,355.45,362.68,359.83,362.43,369.78,377.24,449.62,L7
2000-04-15 21:58:19+00:00,334.09,336.39,343.21,352.86,345.90,355.24,361.19,358.81,361.44,369.07,377.38,446.37,L7
2000-05-01 21:58:18+00:00,336.96,339.02,344.77,354.30,348.96,356.35,360.93,359.48,361.39,369.17,378.01,446.19,L7
2000-05-17 21:58:07+00:00,339.64,342.98,347.94,358.22,353.13,356.73,363.03,361.94,361.49,371.04,381.43,447.12,L7
2000-05-26 21:51:48+00:00,340.26,344.09,349.04,358.33,354.26,357.11,363.07,361.72,361.02,371.00,380.86,445.54,L7
2000-07-29 21:51:02+00:00,342.32,347.78,352.33,357.06,359.64,358.78,359.89,361.52,356.77,367.44,378.99,445.72,L7
2000-08-05 21:57:08+00:00,339.39,343.98,346.75,351.32,352.83,353.13,355.08,356.98,350.82,362.14,373.63,439.29,L7
2000-08-14 21:50:56+00:00,337.60,342.42,345.40,349.50,351.30,351.35,353.62,355.70,349.51,360.76,372.46,438.62,L7
2000-09-15 21:50:25+00:00,333.27,336.99,340.91,345.56,346.15,346.73,349.70,352.73,348.02,359.03,370.88,438.47,L7
2000-10-17 21:50:01+00:00,327.68,331.08,336.74,342.19,342.81,341.01,345.43,349.72,345.40,356.56,369.87,437.28,L7
2000-10-24 21:56:17+00:00,327.33,329.95,334.51,341.30,342.62,340.92,344.67,348.63,344.95,355.70,369.87,437.28,L7
2000-11-09 21:56:21+00:00,323.18,325.32,328.98,336.56,337.57,336.05,340.32,343.67,341.03,352.05,366.00,436.00,L7
2000-11-18 21:50:10+00:00,327.78,329.51,332.69,337.50,337.36,337.09,341.76,344.30,340.57,350.02,363.82,440.89,L7
2000-12-20 21:50:16+00:00,325.95,326.61,331.02,336.40,335.98,335.95,339.54,341.77,338.19,347.48,361.42,437.84,L7
2001-01-05 21:50:16+00:00,325.91,326.66,331.67,337.02,337.27,338.12,340.48,342.18,338.14,347.14,361.41,439.05,L7
2001-03-10 21:50:10+00:00,329.96,327.02,332.77,340.82,341.20,341.56,341.10,339.50,339.89,348.47,363.50,448.65,L7
2001-06-21 21:55:29+00:00,333.49,335.66,339.33,345.62,347.71,353.73,345.94,341.77,339.36,349.20,364.61,446.32,L7
2001-06-30 21:49:12+00:00,333.28,336.86,339.33,346.18,348.61,355.94,345.20,341.65,341.21,352.38,367.82,445.36,L7
2001-09-09 21:54:36+00:00,332.27,340.53,342.98,347.81,350.60,359.63,345.74,341.93,346.79,358.24,370.74,444.40,L7
2001-09-25 21:54:28+00:00,332.38,338.94,341.48,347.60,350.90,359.39,346.31,343.10,347.23,356.95,368.81,449.53,L7
2001-10-20 21:48:09+00:00,327.77,335.78,337.56,343.35,349.41,356.28,345.42,342.61,346.26,355.44,367.24,457.92,L7
2001-11-05 21:48:14+00:00,324.16,332.56,335.11,339.62,348.01,354.80,343.89,341.19,345.05,354.37,366.63,449.40,L7
2002-01-15 21:54:47+00:00,319.75,328.08,335.11,337.69,347.26,351.50,342.65,340.06,344.81,352.33,366.90,441.93,L7
2002-01-31 21:54:50+00:00,316.86,325.44,334.95,337.13,346.71,351.42,344.04,341.31,343.69,351.63,368.33,437.39,L7
2002-02-25 21:48:47+00:00,319.99,329.06,338.61,340.93,349.47,354.18,347.02,344.04,346.17,353.87,368.82,437.15,L7
2002-03-29 21:48:39+00:00,317.95,327.78,339.20,341.09,350.22,355.56,350.24,347.56,347.19,355.78,372.79,437.78,L7
