,dates,aus0170-0000,aus0170-0001,aus0170-0002,aus0170-0003,aus0170-0004,aus0170-0005,aus0170-0006,aus0170-0007,aus0170-0008,aus0170-0009,aus0170-0010,aus0170-0011,aus0170-0012,aus0170-0013,aus0170-0014,aus0170-0015,aus0170-0016,aus0170-0017
0,1987-05-22 23:07:44+00:00,190.32336174024402,174.68072975847087,190.29730305074673,197.97444578488714,211.65927335087932,210.79234387977948,219.565803874714,217.62373492939196,223.73970886681357,224.5467949326346,221.13226724379518,218.2227952979371,208.5298643255371,209.82620099051184,225.88315657769365,220.38294654008922,222.01535149236543,224.1695859870773
1,1987-09-11 23:10:29+00:00,178.67869036644075,175.42693101942126,182.5518596057283,195.57932479128004,206.89698489610743,211.60518627364854,218.12840303148903,210.74510257393086,212.51589452005888,218.4375105222011,207.63786866447526,204.42368902753228,200.25457722033173,194.30647629846138,203.7085486383659,209.5214101476744,201.38924710724194,208.86872412820685
2,1987-11-14 23:11:47+00:00,181.16338284504505,175.70754865341556,188.87747600989752,196.68361669396825,214.6862663343735,209.93059573521666,225.89263939884614,220.2773289671421,227.962144691613,230.1287666841627,225.07954950279878,220.74516609095232,210.90162510052636,217.54732317670124,222.37682154428816,229.10958113538908,225.3948211483149,232.2359263256232
3,1988-02-18 23:13:23+00:00,160.81009059401106,159.79057215996642,166.4285595646753,169.33513167102387,194.80237502695329,187.0266171256653,200.68276425956006,207.3450096954823,214.06413105156355,217.30320514088694,209.91124887507544,215.8705989109451,207.59197588692615,209.72014572957917,213.696315571495,220.5234730801914,213.50619454232205,216.2849383254317
4,1988-04-22 23:13:52+00:00,192.09112843658806,167.99782533717286,180.81860424816705,189.2835044628449,201.58347847950742,197.27380438114108,209.3242529881549,207.85639909946954,213.82530905202162,215.2778254386028,211.5083132444351,215.54070699433422,205.00218339537972,211.96141947052726,221.65948011851626,225.98409957822327,215.48671575215576,218.14369132467917
5,1988-05-08 23:14:02+00:00,188.6596766405176,161.12585582943885,169.5793341834538,187.18120768014109,194.50341938042772,189.68316553938837,206.34565110009362,203.1663107690852,210.62920687437133,214.97081907005287,207.7362578040417,220.77106377455144,203.1366116572059,206.3630327400247,211.38404241741287,220.09143794007178,216.7003284387038,223.76885881910528
6,1988-06-09 23:14:15+00:00,187.95086635069606,174.2918492473938,172.9269744908864,187.16171038432265,203.67122783829518,197.17559542811847,207.36874495910695,198.7599404671215,207.2912989296172,207.6464175791136,199.96733193952304,214.06429064641372,197.83365981633312,203.44491708937898,210.93367729455076,214.9097037953687,214.531359152183,217.89807484547097
7,1988-06-25 23:14:20+00:00,197.83409103471186,176.82761103968306,188.439454044495,191.45345036847652,205.1001296900722,203.72347315278154,214.3625202922515,211.04910587944173,217.27625082579073,219.18631321649923,205.9289648286162,214.2761217941798,199.2011866792403,202.1034386521231,220.38216893909035,218.5573881772622,213.5034512291628,221.91820251972683
8,1988-07-27 23:14:26+00:00,185.88916907741412,169.34248320053314,176.9445433322182,190.25568093493922,203.10597226553904,202.440055340362,206.086043115086,207.27031844547906,218.4642800876834,211.66104720442223,205.05710627914968,212.7592123144667,199.7612378766321,198.79943161116788,219.0215518152765,213.8497428567582,219.61598027732887,233.17149433498759
9,1988-08-12 23:14:25+00:00,,,,163.78040960386392,186.9977253857638,184.59490742986952,190.08403053670145,,,202.32387245479435,190.34692396625402,188.77478788727643,179.84670625788158,177.6199056602834,221.50901234026605,,207.58341839942142,216.03598938809378
