dates,nzd0564-0000,nzd0564-0001,nzd0564-0002,nzd0564-0003,nzd0564-0004,nzd0564-0005,nzd0564-0006,nzd0564-0007,nzd0564-0008,nzd0564-0009,nzd0564-0010,nzd0564-0011,nzd0564-0012,nzd0564-0013,nzd0564-0014,nzd0564-0015,nzd0564-0016,nzd0564-0017,nzd0564-0018,nzd0564-0019,nzd0564-0020,nzd0564-0021,nzd0564-0022,nzd0564-0023,nzd0564-0024,nzd0564-0025,nzd0564-0026,nzd0564-0027,nzd0564-0028,nzd0564-0029,nzd0564-0030,nzd0564-0031,nzd0564-0032,nzd0564-0033,nzd0564-0034,nzd0564-0035,nzd0564-0036,nzd0564-0037,nzd0564-0038,nzd0564-0039,nzd0564-0040,nzd0564-0041,nzd0564-0042,nzd0564-0043,nzd0564-0044,nzd0564-0045,nzd0564-0046,nzd0564-0047,nzd0564-0048,nzd0564-0049,nzd0564-0050,satname
1999-07-02 21:59:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.49,222.52,218.62,195.25,,,,,,,,,,,,,,,,,,L7
1999-07-25 22:06:15+00:00,241.96,240.84,238.98,243.04,242.03,234.03,,245.79,254.94,260.25,267.38,256.13,241.51,239.25,245.19,246.28,241.43,233.29,234.76,240.38,234.24,229.59,238.07,232.27,232.90,229.27,230.73,224.26,225.54,229.99,234.30,234.92,231.91,232.89,232.07,231.04,235.22,237.79,238.17,247.36,241.29,234.12,233.42,235.29,240.06,236.67,228.01,230.02,237.84,229.41,220.28,L7
1999-08-03 22:00:08+00:00,245.18,245.23,242.05,236.32,236.20,235.56,,241.40,255.06,256.80,256.08,250.38,247.09,236.06,240.88,240.01,234.79,232.22,233.28,235.41,230.40,226.52,232.06,231.46,231.78,226.91,225.94,223.12,220.84,226.01,232.30,232.09,230.30,233.93,229.05,229.92,229.09,232.97,232.90,231.31,,,,,,,,,,,,L7
1999-08-26 22:05:56+00:00,247.76,244.11,237.70,242.49,242.42,235.13,244.47,250.49,256.96,267.51,264.27,259.16,249.01,242.16,249.71,248.07,237.32,238.15,234.23,238.00,234.81,229.53,236.72,234.45,230.73,232.14,230.09,228.67,229.18,235.74,235.59,237.83,234.14,235.56,240.99,233.16,242.03,239.45,242.18,238.63,237.32,231.54,230.83,235.49,240.38,231.43,224.06,230.37,225.97,219.15,216.51,L7
1999-09-20 22:00:08+00:00,239.61,235.83,240.09,239.75,236.27,234.90,234.56,242.81,248.98,252.63,256.31,245.12,245.77,239.30,236.78,237.47,234.31,226.23,228.94,226.49,226.71,224.65,231.51,232.70,230.24,232.57,226.25,227.45,227.72,229.84,239.25,234.44,237.37,227.94,229.63,226.15,234.81,235.50,236.68,234.35,233.02,233.09,229.81,233.14,237.95,232.74,222.86,224.06,229.32,226.27,223.24,L7
1999-09-27 22:06:24+00:00,243.32,238.01,240.27,240.57,244.30,235.88,238.33,250.90,250.53,259.88,265.80,253.22,247.60,244.90,246.94,236.45,236.07,233.78,231.38,234.07,231.50,229.82,237.15,237.06,234.57,232.91,230.74,225.14,229.23,229.91,235.88,233.97,231.52,234.40,233.83,230.90,237.76,233.83,238.85,241.10,238.18,233.01,232.24,233.78,237.74,227.87,223.44,225.47,233.53,227.33,234.01,L7
1999-10-22 22:00:04+00:00,216.72,219.44,223.46,220.60,221.00,216.49,221.35,232.91,233.95,240.84,237.38,232.86,229.03,220.42,225.94,223.61,215.85,213.37,212.29,216.42,212.73,211.01,218.51,217.68,214.68,219.03,213.80,211.97,205.51,211.69,214.82,217.42,215.31,217.88,218.67,211.70,218.19,219.93,217.97,212.88,219.91,215.05,210.12,220.29,218.55,212.90,202.44,204.88,212.19,203.39,201.58,L7
1999-11-14 22:06:18+00:00,236.24,236.24,234.63,235.97,230.83,227.66,227.64,236.40,245.08,252.93,249.03,248.47,240.77,232.16,233.88,238.45,225.97,229.02,230.68,233.56,229.51,228.78,233.13,224.22,224.26,224.43,222.36,220.86,218.70,222.32,233.74,229.29,231.39,227.92,229.34,226.80,228.51,235.11,235.20,235.54,229.70,223.43,224.98,227.14,232.55,225.66,219.42,220.28,225.66,221.89,224.42,L7
1999-12-09 22:00:09+00:00,247.95,236.26,238.53,241.19,244.02,238.44,251.04,249.54,254.16,258.54,260.93,252.29,245.37,238.61,246.11,243.81,234.21,232.18,227.02,232.08,226.90,226.50,236.93,233.50,232.70,235.69,228.51,228.02,227.51,231.10,234.48,232.93,231.03,233.92,232.65,230.07,235.62,231.68,240.14,238.63,235.37,230.30,226.86,237.49,234.67,229.76,220.43,225.07,231.18,226.76,230.37,L7
1999-12-16 22:06:21+00:00,239.05,237.72,237.74,234.62,234.00,235.12,228.69,236.85,243.53,249.41,249.63,237.78,239.98,231.39,236.06,230.70,223.23,226.58,223.34,225.87,223.40,223.16,227.67,228.05,226.02,229.07,222.34,222.83,216.99,224.01,228.84,227.17,228.18,226.57,228.39,225.21,229.78,231.54,231.10,227.44,232.51,228.84,228.46,232.03,232.05,226.43,218.00,216.90,224.10,219.03,206.81,L7
