,dates,nzd0513-0000,nzd0513-0001,nzd0513-0002,nzd0513-0003,nzd0513-0004,nzd0513-0005,nzd0513-0006,nzd0513-0007,nzd0513-0008,nzd0513-0009,nzd0513-0010,nzd0513-0011,nzd0513-0012,nzd0513-0013,nzd0513-0014,nzd0513-0015,nzd0513-0016,nzd0513-0017,nzd0513-0018,nzd0513-0019,nzd0513-0020,nzd0513-0021,nzd0513-0022,nzd0513-0023,nzd0513-0024,nzd0513-0025,nzd0513-0026,nzd0513-0027,nzd0513-0028,nzd0513-0029,nzd0513-0030,nzd0513-0031,nzd0513-0032,nzd0513-0033,nzd0513-0034,nzd0513-0035,nzd0513-0036,nzd0513-0037,nzd0513-0038,nzd0513-0039,nzd0513-0040,nzd0513-0041,nzd0513-0042,nzd0513-0043,nzd0513-0044,nzd0513-0045,nzd0513-0046,nzd0513-0047,nzd0513-0048,nzd0513-0049,nzd0513-0050,nzd0513-0051,nzd0513-0052,nzd0513-0053,nzd0513-0054,nzd0513-0055,nzd0513-0056,nzd0513-0057,nzd0513-0058,nzd0513-0059,nzd0513-0060,nzd0513-0061,nzd0513-0062,nzd0513-0063,nzd0513-0064,nzd0513-0065,nzd0513-0066,nzd0513-0067,nzd0513-0068,nzd0513-0069,nzd0513-0070,nzd0513-0071,nzd0513-0072,nzd0513-0073,nzd0513-0074,nzd0513-0075,nzd0513-0076,nzd0513-0077,nzd0513-0078,nzd0513-0079,nzd0513-0080,nzd0513-0081,nzd0513-0082,nzd0513-0083,nzd0513-0084,nzd0513-0085,nzd0513-0086,nzd0513-0087,nzd0513-0088,nzd0513-0089,nzd0513-0090,nzd0513-0091,nzd0513-0092,nzd0513-0093,nzd0513-0094,nzd0513-0095,nzd0513-0096,nzd0513-0097,nzd0513-0098,nzd0513-0099,nzd0513-0100
0,1999-09-18 22:13:39+00:00,110.79417730252123,,114.07566672128102,121.1821984716304,132.26050500382001,127.13545251163741,126.79070930493828,123.87397888734792,117.03347737744996,118.3085330149239,117.73392773870012,119.71639002675899,120.68726623851752,126.40903222841376,119.7718377148748,116.77659905789815,126.59433385688638,118.76843540963237,122.86803255336253,117.16941185670811,112.59357037160517,119.64305507770807,119.45635893899058,124.85487188248425,125.36789495340058,118.47379012106393,109.69630079010076,112.64468614670169,119.43880386750126,,128.30169824340445,125.84756814060442,132.45988110527085,138.16069146527326,139.77657380323728,136.7102374951331,139.37071789309655,133.28303758020317,,,123.3671289290214,145.23483477784305,148.84977779308664,138.06317947802248,133.68422544830432,123.35505206610169,120.44934786394653,125.6817341801804,128.82886532277047,126.79748036707184,137.6294955803836,139.39673962271888,140.10541035068974,144.81253153947665,141.81788688596518,138.57792523535318,134.2777146469231,140.6110022357158,136.78167301349194,127.41118638379893,131.5492206144306,127.45080858365252,121.2540408782106,117.90680381069649,116.84033296321198,129.76404418286597,141.39918392614646,141.30100696689274,141.3069689619634,137.1262550800058,135.54369031191288,132.50410136460485,141.73546315144108,150.5504962555726,157.22051720946627,158.64053264212143,153.8043175692466,148.96834821516794,151.32280788212518,128.17898882769782,132.8360442557879,142.85015860489585,138.18724916989092,141.63364331878245,132.60635612365485,137.95286138498236,,,148.70481517287985,144.64343800406908,132.90236222514767,138.54100761354962,129.11930199444683,135.88139714298913,140.354263858092,132.11570274102107,133.51155013046034,125.59172561753256,128.1869181904031,131.58681503742073,
1,1999-12-07 22:13:41+00:00,119.76009498618714,130.91571866816773,139.27450880034274,143.45934137636033,140.24193492054948,129.77353738912453,129.10454626834715,131.80057266383068,140.57126522596485,139.86494994446588,128.37546440191196,121.17081747570711,130.7060165379254,136.82049421384153,139.09595706978757,137.1751491412256,130.23722621724266,125.37983120163985,126.5471759463913,126.2725451407012,127.80220172535724,128.95429294329358,137.8770493356209,133.30455655793529,126.75972550419364,134.00221246006578,129.98043524666102,129.77234385015797,134.11837250480846,143.69366552247695,133.64647675858984,119.44283519775016,134.57558642886528,155.51017126674122,150.25074836345948,150.97005146275075,141.56103303472227,149.17076317948258,155.02271930330832,143.77240557819076,132.89143775242317,155.9600899161012,153.2239503288113,145.25736110910077,138.6581594659437,140.35365591122678,141.80450430605225,145.32590434709707,139.89868978971924,141.24552457821673,151.0667815629659,146.1090745657865,147.659762883011,147.2820735448256,151.5091588233769,146.13700958492032,146.4972267955772,157.47712001065716,149.5548034023985,147.291624197437,141.9412862845105,133.06421893791807,145.02582332496044,143.2141085579799,143.71138510758544,146.1055794473079,159.62955855111758,164.21672485078304,157.0088693876275,153.61074874393125,149.29444077389718,153.35746601242647,163.24805009080163,169.95305629246482,173.3784972811853,165.01234147495472,160.53889660810958,155.34541208411196,149.7861312252119,138.3242921230633,136.12503215082373,144.43890832796933,152.11499618986267,149.3410660353287,146.72727327618315,158.04267622193655,174.57291720902867,176.8800085143147,165.26306822234525,152.9130780905391,157.20779899008738,152.6123928092742,147.71183699461812,149.2090732088919,135.80040192480806,148.20178846009935,146.2267660463483,145.53937984631972,146.0954791166622,154.08453611829356,167.60104244811117
2,1999-12-16 22:07:33+00:00,126.82310710042694,117.68292643288359,124.07792141316844,126.86530837864238,125.52740997609168,132.05307591184268,122.73171747025127,127.25599580516145,124.81189861239497,129.32543210357366,122.80314962433347,125.07075588043384,125.83527122238797,128.3216929443362,125.4310088294689,116.80171024707123,118.85257982472059,112.79379279624344,117.22116848815956,120.82381808339309,122.6334840736704,121.00800475714105,125.2420710219796,127.3856828877043,129.74682852847903,125.02734125125546,125.12463954417647,128.88968039630754,133.26143155689886,139.24609206246612,137.27673917291366,132.47498470617163,137.18101137135022,144.32923930591207,152.16483695607883,148.34715966915016,150.05144724755965,149.43299641830012,147.3435547814558,133.7384820658198,,144.5759227777648,145.27109833840578,140.5855901186035,140.40920003735104,141.91127021938132,137.0713925132026,139.71507905061205,137.08635337583533,136.21142756812773,136.7076703821181,140.15460838399505,142.15132063713364,140.7884199643904,143.4718932818716,141.2379431223477,144.81638260038224,147.75244891496567,145.77554582863394,136.35398501393797,134.78505838622726,131.3393903273503,134.7399802063261,131.00878926376538,131.00322885555204,142.50378353762335,152.65955528999103,155.2195282882977,156.9284030483372,147.24325280698724,144.72984064895067,149.27246398217576,152.4856174386508,158.88707700562082,158.2736764548882,159.8203182184235,151.55434480409957,143.57755296191857,142.23420382225635,125.18483101802285,127.70338120862237,135.7062606281181,136.27210531902563,139.06007702541865,142.1287124268841,150.45025870561733,160.26440437732012,159.39617194189296,153.26127039922272,148.3046591986864,147.26759918348162,142.9421674013307,132.71839363697225,138.7933294853252,133.3777423783873,134.66346518466887,135.17557716272054,134.37189902585243,134.036928691944,137.741284921169,150.94600045594572
3,2000-02-18 22:07:16+00:00,121.69041052631601,128.8031489463511,140.50282158943432,137.4995595745241,130.1062056306045,122.9658600855062,124.87463191921606,137.68327671835982,139.96399366699796,139.84211511418764,135.81113408906506,128.5836190466504,125.43154608493684,129.21791256957965,125.18064394465706,139.14768731796661,143.58998397885608,128.26916457345658,122.5036423086943,121.32017192823555,133.02045029269587,127.71283508864674,119.35684231611205,136.9025107291567,134.21494805449916,128.29615163849402,127.1302412382718,137.0844054612391,124.60171958786935,131.59048388104895,144.21022416255482,137.64172897146722,148.3159685647731,156.64214410258955,154.70148271641168,,,167.61362151714562,146.04173519399546,132.489228031564,131.59376610838746,154.1566544928498,153.56006917210252,143.1382640260624,150.41400749215472,142.149360745743,142.55739186980335,150.35665252793692,141.69455184928566,139.42492355115917,151.21938540487065,157.64545706643827,152.08751902278607,149.90037234674944,155.56395520443252,151.5440128341807,148.96967093126023,150.56621601003326,154.61060321364204,144.6432774394895,136.70920701763413,142.24174960756815,141.2937119892551,145.64639382387045,141.67309900991933,154.1929655456789,158.27926395938925,167.14020312006366,161.98106925077974,146.31134722228893,144.53943101188963,155.4529107932974,162.6998637001763,154.54490594062761,161.00402705073455,158.1368298859562,162.2776440947301,148.0935481022888,141.95694315101494,138.22717965870777,133.89627971658695,137.20113049405168,151.28259664996793,166.39235637174897,158.40523745209708,161.770523132983,172.6794388322456,175.7454124581233,148.7252858473686,151.29608404632717,163.3307982199272,151.91825561932518,131.63087383418284,139.234595423789,145.24452450293813,151.6203211705898,148.61025076264147,149.56583616881386,146.8501334682634,159.91117092190905,164.62566880208172
4,2000-02-25 22:13:25+00:00,103.44444188962031,98.41078249168096,106.4398957143396,86.18597837181586,,91.90588677238243,,97.19975927577306,109.63181441675327,90.94962253190042,89.74447565274113,,,,93.56278263517629,102.35934121255168,102.11425355221371,99.59412718688353,107.86216954309094,106.16587739617549,105.42694821305254,110.26420305365995,98.99524921315296,106.2851399479286,110.70676827155536,110.97988555290901,113.02525820094782,108.92030510756763,109.01595150243462,111.18591541640815,115.17083561492659,117.31533447604308,124.97850389814623,129.96023628739508,136.29395566687936,140.0350659180418,142.04587229777871,139.490338733932,109.13419709543928,,,124.77629170982833,127.59094761063002,120.40721381718625,114.76967466267484,119.69249518122989,127.82019029887867,150.7196820689824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.53856504588155,90.26712700156635,,118.55215185250748,148.1338287366216,126.3277828429375,,161.06285043978198,126.81573043013523,,,,,,,110.48594438488465,114.78768673679221,123.02110202013687,117.71452411305663,120.38103147856353,127.26252213879579,129.05231373744456
5,2000-05-08 22:06:44+00:00,105.04583954322726,97.30564716456134,70.01155235566256,117.12896956390145,97.72172251010161,115.7648655248151,128.06869796547812,119.32201223694268,116.32822543185533,126.31744498430733,118.44698566263553,123.46964826728787,133.14895522735006,132.25527928666088,124.99188643971313,119.43666361454719,126.45526971093007,112.93193056489163,120.0259530667807,124.89462105263955,130.78906130575697,128.0910470074438,119.51233209037221,128.8592783779998,140.84179009283116,117.36811840647452,123.8674565053087,124.80950526484168,127.29205066325905,132.4600654934272,134.0294701548411,144.12565446005868,142.51976182187616,145.85609125828424,142.02999544802657,144.4495280159779,148.24430442781386,143.0962167779866,133.58888645728035,135.21803870658673,128.251681089585,137.9045239175492,143.28836548550538,147.57929857336288,149.53362482293016,,,153.17629200904176,142.9515353379646,145.22053524983895,155.0248334344234,150.9860245224956,155.35168110898653,160.34281754166062,149.45425029938468,134.18061475827457,138.12881744533863,141.0169715246693,136.56525899880222,135.91198492908632,139.81752632526914,139.7796140323502,143.9040281322444,146.55591760422104,144.15290526652714,139.92569744234717,146.2952967180704,148.30767761272872,151.509982715018,159.77463563392038,158.96592887697594,157.00673824582677,151.9874006236705,162.9757890496228,170.189176610425,170.85319029974667,162.14090507466804,145.95305695584844,143.33230352639154,125.11363601885266,125.03301594199483,141.32207367894105,148.41812477816956,154.7743666991697,155.62869713922157,160.39328205831865,159.1986238260211,160.18684282635752,152.59242448571547,146.10561722357332,142.88261934514543,151.62092632104168,141.06627415112703,141.50276262673717,140.76487110350809,139.98448299040328,140.65240860030258,140.82354510639624,144.03435181775146,143.72750514841016,149.2297356807681
6,2000-05-15 22:12:54+00:00,88.41867925284005,78.38567105170938,,142.95017515243168,,135.77461838334955,139.97890258102998,,,,148.84701105310762,131.27874861542128,138.2124793251983,146.00412457170307,144.90083651012935,140.57506617662966,133.41767227572765,123.13404087092319,124.78286176689485,142.6344842315871,135.94710619769876,129.59271169411525,128.7089631259932,136.91188173397936,142.28220457260662,137.7811977765003,130.7197577788536,139.07558750511046,142.7282380510948,141.21390038958955,140.54553289321044,146.21540395522265,146.24183052924866,149.52798676143672,154.57168235488558,156.61519806974425,149.3640290697666,161.7576842661426,156.8620934164652,133.67732134540273,146.01463391533628,152.797784166239,149.56096870810995,151.4520215814974,161.6038526061203,165.92269507273772,153.48875718444043,156.8451684741382,156.57214044203684,151.18503827788592,160.2988844994655,162.38994636023784,164.46587086903375,161.9020987784209,154.48354379587175,154.1650916413129,144.17319542595982,146.66746507115505,148.37326032224786,148.66015923993712,148.0087190946604,150.4085778840564,149.32605198222572,152.53072542071436,147.54558343283034,150.38587306892572,151.6916291590018,159.9408854396878,160.3828140641301,158.58814014106014,154.96221093178482,162.13381861427527,165.09345775599493,169.9531555037637,177.62723380026466,168.8942370822967,168.84727178394917,157.25275065314239,152.44193550544782,146.47470588127305,141.0095756954232,146.65285264149153,158.5551690043331,157.11028842849998,160.22656736255146,165.17933755422817,173.50770444862854,164.82997458280659,153.11876408451735,158.0661993398456,167.13228304379953,165.16055579792084,146.40522086631756,152.79840230284802,147.27216836608324,139.53505191625356,138.08044098250437,144.27470503776743,146.01194437554176,151.17141627509187,156.97113041214672
7,2000-05-31 22:12:42+00:00,107.46482335414038,64.89982067790218,,,,,,,,,,,137.56607034420298,116.3622350188963,86.20388111519956,112.01395627971407,124.67377318969484,100.56086011368255,109.7472448138864,114.69622135139167,98.30097569997417,113.66706922931917,117.86148882965634,119.65390893845058,121.50839755516876,123.38575563048704,119.48982235541293,110.91998139660257,115.75980917503672,123.76898077402177,129.10990504733047,144.31546972397297,138.50402091653217,136.7641873130744,133.27083448676618,131.2759333854146,138.0328635653525,148.2844792419745,141.494511374357,131.22655106652633,111.70407446268977,128.6264742606933,138.49865302311943,139.494134818524,139.88567415907653,146.44629636470285,152.65398032286652,147.6421662322945,143.96902728436498,142.42422354695532,143.0562810003485,146.41305497251045,146.34365731883526,151.3157038596706,142.3945868823775,130.36594589824026,133.60891534333933,139.8789899490803,146.08862412071247,133.60036929801186,128.53742106147774,125.19493511688746,,,,,141.61469725252525,126.07152611310848,121.64989811747309,122.24038151216,138.40549014332032,148.03542943574348,139.43849252980738,146.92320260243267,153.5441964701531,156.23353774403972,152.04937395706884,134.59713718296834,140.0955793231734,127.06978871899759,114.48582528847109,134.31747370391545,121.47106415963204,132.22433126032755,141.0222301599928,150.2473908934269,150.02221805875325,143.39888690845783,147.2475394984641,150.40222954625156,146.346466228837,145.61508214359364,,,,123.53009152468957,120.70486008896862,127.65752913411418,127.49784960863366,130.44466140573817,137.5869666373115
8,2000-06-16 22:12:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.72044376561404,105.92989798168462,,,,,,,,,,,,,,,,89.81320739796998,,,,,,,,,,,,,123.9838134180091,136.47512509373928,132.07674085103147,134.44940164585606,116.74815018775787,,,,101.93585506044114,,129.299342335598,,,,,,,,,,,,,,,,,
9,2000-06-25 22:06:19+00:00,114.02912085776337,74.24913928494394,,,,,,,,,,102.11871283336124,126.65601602264643,138.04681839125587,130.67775451363772,130.63467784466528,135.64312293949877,133.33250550282875,124.87119463072757,121.50889057941784,118.3636533052759,113.83428384773914,112.94793268775032,111.74813374344136,120.81129412688989,133.3946441375703,137.61692650225257,137.79495202238215,130.46192204955008,137.54385010592094,124.67468420322295,136.47692308259047,142.21462289512664,147.19282638408436,151.7250764384633,143.84743685526738,135.19697142512248,131.59519563955476,,112.14188222631716,84.90829264309056,122.47634798328654,146.09723998319674,149.21022872313006,147.40426550306546,150.0533477754334,151.0950071767356,152.42531529737158,147.65467983462122,148.1874213484906,149.31649728154224,159.5828036236262,156.47164523436888,146.22013045392404,141.89841968964873,146.3355532776897,151.10710462382295,143.6408662059807,129.60331093753692,141.60190199126515,134.79110170749726,129.55048912760614,,,,,131.74225072587583,144.5509617263059,136.92611412945743,137.95388134598065,146.79048458907678,148.79828869973568,157.63836016959388,165.57724587169923,172.1114356264967,171.31396136883563,159.66723104188446,145.6569950901102,143.67774948259472,132.10064433211204,135.8704170746812,145.20279633980255,143.30229319992563,151.263875779337,155.0828741186468,163.20947501449618,167.81778387593033,161.3509935124466,161.77511398873202,155.513788866796,158.1136465174432,149.44453033142884,133.40864578256233,148.42879053268592,142.94683404402724,146.91514132369045,158.82507895284306,147.44085570624014,158.8137665256888,156.26700723600555,163.04216526992684
