,dates,chi0519-0000,chi0519-0001,chi0519-0002,chi0519-0003,chi0519-0004,chi0519-0005,chi0519-0006,chi0519-0007,chi0519-0008,chi0519-0009,chi0519-0010,chi0519-0011,chi0519-0012,chi0519-0013,chi0519-0014,chi0519-0015,chi0519-0016,chi0519-0017,chi0519-0018,chi0519-0019,chi0519-0020
0,1985-01-25 14:06:27+00:00,187.71320659536795,171.64151465247392,190.43937274542492,197.42589742130187,177.02971725774387,167.9316539712847,177.03129330859304,182.87783089402404,186.53398352095408,186.98726226532426,182.19825606470081,179.37043398066615,196.3850149716029,202.45932263125994,207.15973032619715,202.62560451910798,203.0878887091893,202.87679802981518,195.1702714365742,186.9523204392589,198.1428657680806
1,1986-02-04 14:09:11+00:00,196.48711023676185,176.97926698719434,176.4559204886629,194.49380215680858,171.12473345994775,155.94339885002887,176.01404906119657,170.1113855509841,165.66227608678682,202.0357526467459,219.13279297480358,202.32661812557916,174.12023634275212,184.57163259288558,203.59746866134063,217.91358115677738,205.80578656062244,196.73842420202868,211.42450434413985,211.88709178490612,201.3101226174164
2,1986-08-15 14:03:53+00:00,200.87687516368263,196.5901971151754,202.70587054950803,207.73214342166548,188.4113722550816,180.28296738937115,197.78279574553272,209.07000000547708,191.71614437521413,195.78601216074048,203.47824857513586,195.71371017028062,196.39451923071755,204.29469097129288,195.80210485933895,201.64152141647583,180.83166923199997,182.5161222597846,187.61139475321826,173.68623885795577,
3,1986-09-25 13:56:42+00:00,210.5002591354482,211.81659008721124,223.67417137058155,226.08186839406457,209.94916411922773,208.60818927316203,210.19403038725451,221.04546298591413,209.61275178171599,211.38070910934928,215.87922739918397,211.11660262915038,209.93704512800062,216.33650199383086,214.1003163313109,224.4567626027555,197.85979031401948,191.81542600735514,196.2955797602547,194.5628400335365,203.4302155408707
4,1986-10-02 14:02:15+00:00,202.30347251703716,195.05455978003727,217.3824990540833,219.63536612635204,208.14330883730054,196.15634281950298,201.91412936398532,212.89924665874284,209.9914757240264,203.52399507283195,202.44580829179705,203.74617325037067,210.44370489434186,205.45688592009805,203.78912329393432,208.84648910100782,213.89960505037774,199.27008334213295,197.9026120238468,193.05594017781496,199.22447147951797
5,1986-10-18 14:01:44+00:00,199.64927346036805,193.82338645714435,207.9195502135402,217.11468781214995,199.25440825834048,189.6564617716604,197.58134006871643,212.8991187584869,205.3865502353243,199.08104097147395,195.54292731386957,195.94393992474926,194.00706381496616,200.41542414043874,200.639118680706,200.78485454332701,187.47599724463467,181.30167687107854,184.9921318222442,190.89753313103935,177.707936522181
6,1986-12-21 14:01:13+00:00,191.1632695831813,162.21358702918684,200.43777409263166,212.33787450702457,168.747885159976,153.99251798783476,182.3975289473565,171.98158467593885,155.72994145689873,,163.55414054258992,146.3041290349471,178.04868915092754,182.16510151840967,184.75778673343663,185.63884956885752,171.31645087676597,168.28114208500878,173.35878015774796,185.923491319306,188.43605403820857
7,1987-01-15 13:55:47+00:00,220.81729876418106,192.45355598759755,205.52934973468146,223.82481984636894,190.45575332479612,190.73525574264247,195.83869797995925,190.1042906854229,195.62849534571865,193.96752724476528,199.12248362713504,199.04712629892563,204.02986786376604,227.96793791193943,215.77408912499763,210.75203004773527,206.87099144851857,203.17971769453658,207.9052749186864,186.5746440390018,174.55404741129118
8,1987-01-22 14:02:09+00:00,221.59952956385033,186.85507653524527,194.43321516224293,217.3106358639266,186.19619460653834,182.34629901713197,195.8301878736892,186.44090318790035,183.4347788802692,197.4301551012299,194.61498330594281,196.0186724122373,203.41577354799085,225.06700888067948,239.85026871079376,216.6740522093358,206.8311100085532,211.87427032802853,203.50368758164527,183.52783463620028,178.19672550155025
9,1998-02-21 14:18:29+00:00,191.37992617242432,186.5642274374928,198.26655532767987,208.0814032793981,181.9812881492334,173.15326252913684,170.48773638584356,192.9735561186686,176.3177766131386,161.2616465897005,185.90459653029515,210.28413877844258,188.9852445180988,195.01236569142986,207.9440092637771,213.2563148514253,213.09479195474728,205.9179938726102,206.7923016350559,202.2074903901272,203.4987684969571
