dates,nzd0599-0000,nzd0599-0001,nzd0599-0002,nzd0599-0003,nzd0599-0004,nzd0599-0005,nzd0599-0006,nzd0599-0007,nzd0599-0008,nzd0599-0009,satname
1999-07-18 21:58:49+00:00,,,,,,,,,188.22,192.39,L7
1999-08-26 22:05:08+00:00,161.46,151.07,151.24,158.26,161.82,166.05,175.28,180.76,183.25,189.85,L7
1999-09-20 21:58:56+00:00,170.86,145.29,148.68,153.14,159.38,166.39,172.36,177.23,178.21,179.82,L7
1999-09-27 22:05:12+00:00,,158.17,160.30,171.47,174.77,184.08,188.28,196.44,195.65,196.69,L7
1999-11-14 22:05:06+00:00,179.37,153.54,159.30,167.62,170.89,178.28,185.75,194.35,195.67,194.87,L7
2000-03-14 21:58:35+00:00,,148.77,151.18,156.79,164.77,172.76,176.27,178.94,181.63,186.56,L7
2000-03-30 21:58:33+00:00,170.65,151.06,152.02,163.81,168.61,176.07,183.45,183.91,186.80,194.58,L7
2000-05-17 21:58:07+00:00,172.12,157.42,158.26,167.74,170.43,174.87,186.73,192.29,194.90,200.43,L7
2000-05-24 22:03:46+00:00,171.23,161.25,163.24,170.77,175.33,182.88,189.64,197.10,197.76,204.24,L7
2000-06-09 22:04:04+00:00,,150.85,,,182.12,,,,,198.94,L7
2000-07-11 22:03:41+00:00,182.49,151.71,149.71,156.50,163.02,166.81,177.81,182.09,180.09,186.00,L7
2000-08-12 22:03:18+00:00,159.02,154.79,143.65,156.92,158.79,161.86,170.87,170.77,176.77,179.51,L7
2000-09-22 21:56:29+00:00,,,,,,,175.21,177.43,179.03,183.72,L7
2000-10-15 22:02:20+00:00,,159.12,155.70,161.41,168.88,175.19,179.18,188.73,191.55,195.46,L7
2001-01-12 21:56:30+00:00,,153.67,151.21,158.93,166.76,177.01,,,,,L7
2001-02-13 21:56:27+00:00,183.78,162.40,155.61,165.84,168.45,173.57,180.81,182.00,186.88,193.55,L7
2001-03-01 21:56:21+00:00,,,156.78,160.00,173.62,175.33,182.09,188.81,189.60,189.83,L7
2001-03-17 21:56:16+00:00,175.09,159.77,164.88,172.01,176.85,181.10,193.62,191.61,192.91,198.42,L7
2001-03-24 22:02:23+00:00,175.10,159.11,149.70,160.04,162.22,166.00,175.33,179.50,181.68,181.70,L7
2001-06-05 21:55:40+00:00,,161.75,161.65,170.66,166.38,166.03,176.33,180.53,,185.33,L7
2001-06-12 22:01:48+00:00,199.48,171.66,167.67,176.34,176.40,188.21,190.70,195.70,199.21,193.06,L7
2001-06-21 21:55:29+00:00,181.66,165.83,161.99,166.70,173.70,180.82,185.81,193.35,189.68,193.67,L7
2001-08-08 21:55:01+00:00,188.31,168.23,162.81,167.50,174.13,178.57,185.04,189.52,190.32,190.08,L7
2001-08-15 22:00:38+00:00,,,,,,,166.19,,,173.17,L7
2001-09-09 21:54:36+00:00,195.27,176.00,168.19,169.90,177.84,188.04,190.13,195.52,191.66,196.27,L7
2001-09-25 21:54:28+00:00,169.96,158.39,157.86,157.87,160.66,170.33,175.87,176.02,179.11,182.28,L7
2001-10-11 21:54:09+00:00,179.63,164.27,160.11,163.50,164.69,175.55,182.20,181.74,183.85,188.16,L7
2001-10-18 22:00:30+00:00,190.84,162.78,153.41,156.91,165.44,176.43,183.65,184.79,190.63,183.16,L7
2001-11-03 22:00:34+00:00,180.22,162.75,153.22,158.61,165.60,170.77,181.36,183.12,186.42,188.46,L7
2001-12-05 22:00:42+00:00,177.18,159.75,156.51,160.01,168.19,171.75,178.00,177.90,182.05,183.50,L7
2001-12-21 22:00:53+00:00,177.86,171.02,159.99,165.84,169.77,174.66,181.63,182.76,186.14,194.98,L7
2002-01-06 22:00:31+00:00,170.56,,155.14,160.19,167.58,162.44,,,,,L7
2002-02-16 21:54:54+00:00,193.57,169.49,165.82,167.29,178.92,186.40,189.17,193.18,196.67,195.74,L7
2002-02-23 22:00:43+00:00,167.23,152.46,149.66,154.87,159.56,163.78,172.06,173.62,176.80,181.86,L7
2002-04-28 22:00:38+00:00,188.37,173.33,162.79,168.65,175.27,178.54,187.47,187.22,189.13,190.75,L7
2002-06-15 22:00:19+00:00,184.64,174.10,169.30,171.61,177.50,180.84,185.93,194.75,194.54,190.92,L7
