,dates,per0029-0000,per0029-0001,per0029-0002,per0029-0003,per0029-0004,per0029-0005,per0029-0006,per0029-0007,per0029-0008,per0029-0009,per0029-0010,per0029-0011,per0029-0012,per0029-0013,per0029-0014,per0029-0015,per0029-0016,per0029-0017,per0029-0018,per0029-0019,per0029-0020,per0029-0021,per0029-0022,per0029-0023,per0029-0024,per0029-0025,per0029-0026,per0029-0027,per0029-0028,per0029-0029,per0029-0030,per0029-0031,per0029-0032,per0029-0033,per0029-0034,per0029-0035,per0029-0036,per0029-0037,per0029-0038,per0029-0039,per0029-0040
0,1985-09-03 15:03:06+00:00,261.1026596265946,,,,,,,247.10452479588605,210.02565170538952,,,,,,,,,,,,,,,,225.69344640304888,229.46735198516348,249.69947518449644,244.64646207394873,241.79059721762735,237.15032336766498,,248.93257333931535,246.8534380905892,240.20419258494712,234.41914493160616,224.3590496572989,221.20540446447131,221.68797946714048,220.88476893995562,214.36506759021464,215.5738452602759
1,1985-12-08 15:01:45+00:00,222.9166967872916,,,,,298.3970608677833,291.24292712860887,269.80727316794224,239.59168233218998,,,213.08559391566482,,,,,,,,,,,,,187.88011554617825,192.8095264927891,,,,,,220.98130707915615,221.1580180383975,220.25712936176902,225.13897783441243,218.15946544857917,223.77685653413317,215.25471882005843,209.83825703977388,196.82610753341783,198.12724941914328
2,1986-03-14 14:59:46+00:00,205.15844516459285,,,,,295.32434988118837,304.47095291592456,294.84585805815516,,,,252.0718090619112,245.7765754132812,,,261.2408205933905,257.2396957258823,250.1023095580931,247.98698638797586,236.7433367105549,235.83871575961615,234.66112578657732,225.19454566190032,222.84473483446203,233.78613561093985,246.15914395782787,253.6929250524467,234.64740919514776,210.16180878033083,206.73831295345366,207.61777592961158,219.92541568536444,235.54290994214114,238.03855215506297,236.326569901492,226.77924037769696,231.5716322120424,231.49917111127127,231.60731051535842,222.08812801915752,205.42633854539645
3,1986-05-17 14:58:17+00:00,141.83511755394736,,,,,239.68188069113705,241.48459513177758,224.28979256286712,209.17095653090811,,,245.6772643698729,268.87794123404905,,303.7846422574579,300.9462194797902,272.42256682290395,253.05742472889435,246.12234919343692,247.3490468710283,251.20168386769973,258.4908145077086,249.77281223855147,231.14578167600263,235.4826668645797,239.90358800303315,236.0961405163526,220.16363029064746,207.1915419557874,201.35475376764794,206.70694512939016,221.26772482779896,219.633439892654,214.16682628213064,206.85689621847942,194.17572710423627,,203.55912129102168,202.65590377104903,194.170385661154,202.90557186518274
4,1986-08-05 14:55:41+00:00,,104.09377530157333,106.7922106554081,110.68878806510791,112.25316523633968,131.25102931583513,143.02639213810033,171.22462070487518,198.9844324302724,,,,,,332.94194385128645,326.94893829031827,310.2068441744085,,278.0982315435827,271.3385749790042,264.8495329059071,263.31387242096287,241.3731926660471,226.08415963845334,222.08255781623734,221.30299526874143,,,,,,,,,,,231.6443317420492,222.89674464781388,230.16534313545878,213.78521791269816,214.96872360916632
5,1986-09-06 14:54:29+00:00,,90.08637792250366,96.95441225909855,100.29940841449216,101.96562201684796,126.55214006366998,144.9199155888739,172.39599562334692,,,,,,,,,,,,,,,,,,228.8343406861976,239.1254514213767,236.38882084200768,235.4493833541628,240.67901000087636,241.6003843318959,245.64417599654075,235.27734076500374,244.28778034969253,224.90003708120204,237.2459224508388,227.20071545742655,228.4650679950202,219.15084805071604,214.35624673871396,220.52468681223854
6,1986-11-09 14:52:21+00:00,,82.89491792084162,92.28388668962563,107.79734654992811,101.80278019651058,111.68855002790175,144.59938280996536,153.80348483759116,159.80802537041012,177.58504010763062,207.4680359988539,227.62587047549056,244.90481354279075,264.27125955103395,,,,234.26031818239267,230.49394987538915,236.95094897023523,239.97217325109034,240.98746899685426,229.62892853380276,215.38628043175274,221.7889688139452,228.08484041355675,244.8127567612919,232.28962580004458,230.626049042045,223.9502250326289,223.2591868250592,229.6509450473563,228.08951957947627,221.48794117824878,217.14296387329267,227.2630358471743,232.99856980986493,212.02413640948015,200.9617620400362,191.03651988206892,193.95962548988604
7,1986-11-25 14:51:54+00:00,,100.89992486405444,103.59183215510515,125.8190925622103,117.00424866425152,127.22411420901491,149.02482085570213,163.66210975754254,168.98266306617083,192.9921183039205,222.13924322466477,237.2820124813673,256.5736956832705,264.9138038877284,271.3828327681321,276.97488787587963,264.69423201919585,253.57125263892345,249.9254316860983,245.34277409459156,255.04772378648957,259.3044885698471,253.42282049012485,252.756300137152,250.68021081055326,261.3895848222612,270.34272403547993,256.4604509756976,,,,,,,,,,,,,207.43342670799493
8,1987-04-18 14:56:42+00:00,126.03250605932013,101.5796465457696,107.26672196027357,129.50206486477992,149.2187943981323,150.86040668210686,142.599821861465,145.10613863582196,154.9011284429845,174.83914222344822,208.63959027804754,222.6589140148232,239.00660084397288,249.9741678275671,251.44004717441985,259.5765559248324,263.6546531170683,269.3473675265236,274.58136240400245,276.50422896310306,278.8330631273633,283.83016752001174,269.98882337235386,262.76689242454734,268.48717260368653,269.2749271896018,279.1265479576585,258.35882805245114,245.06923462650354,233.56467366865363,220.03471200012234,227.86629015177962,226.0519896562547,220.6693105792154,216.89626854878787,204.5295199980294,208.97356803210533,225.07607005796314,218.40150311635165,207.32068365297508,200.35102163497277
9,1990-01-20 14:56:00+00:00,155.93275105054266,152.59317398605134,159.75972404553394,173.56785853942858,206.94906487961194,235.93884585517526,175.54585272499116,174.63923596071965,149.02200436868276,145.06945215989407,163.4579888725126,165.00881271996977,166.78914070502873,167.80703935898714,176.55698164287878,171.36964645678245,,166.5335963477272,170.91676556059247,179.5922308657502,187.80639814121372,200.34362930785707,193.4266117293369,199.22966971896886,208.91810064629493,229.18928759246285,240.83902230860258,235.52867831859314,243.19748882520793,250.49585919679026,247.69311237522646,253.468773955879,252.3483234193628,242.48875275330747,234.73454263200117,236.7701411811954,233.7428707060261,233.38526093547,224.40957124384857,226.82799401199023,216.06816980856365
