dates,satname,nzd0402-0000,nzd0402-0001,nzd0402-0002,nzd0402-0003,nzd0402-0004,nzd0402-0005,nzd0402-0006,nzd0402-0007,nzd0402-0008,nzd0402-0009,nzd0402-0010,nzd0402-0011,nzd0402-0012,nzd0402-0013,nzd0402-0014,nzd0402-0015,nzd0402-0016,nzd0402-0017,nzd0402-0018,nzd0402-0019,nzd0402-0020,nzd0402-0021,nzd0402-0022,nzd0402-0023,nzd0402-0024,nzd0402-0025,nzd0402-0026,nzd0402-0027,nzd0402-0028,nzd0402-0029,nzd0402-0030
1999-07-18 22:00:25+00:00,L7,,,,,,,,,,,,,,365.45,360.29,309.91,,,,,,,,,,,,,,,
1999-09-04 22:00:33+00:00,L7,327.53,322.78,330.02,330.95,329.64,323.47,319.14,319.85,313.02,307.07,299.10,294.71,293.97,296.53,291.95,288.56,281.92,272.68,277.39,276.98,285.46,281.87,284.06,288.08,283.57,284.09,284.72,289.48,286.49,291.31,290.53
1999-10-22 22:00:28+00:00,L7,339.69,342.81,345.19,346.39,347.98,343.06,337.70,331.62,324.85,314.41,311.90,306.58,306.50,305.72,304.60,298.91,295.57,295.60,292.56,294.97,293.15,292.48,295.69,300.73,298.26,299.19,295.56,300.37,306.25,312.62,320.71
2000-01-26 22:00:26+00:00,L7,318.90,324.84,331.03,326.00,326.94,321.63,317.60,315.11,311.78,306.54,300.30,297.80,289.26,287.54,274.51,279.54,276.99,268.09,268.22,269.17,273.83,276.44,277.12,279.47,283.53,283.20,284.36,282.62,291.18,296.94,301.56
2000-02-11 22:00:21+00:00,L7,320.68,326.23,329.53,326.85,329.43,318.98,311.51,309.21,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 22:00:16+00:00,L7,322.46,318.27,323.61,325.66,328.11,324.11,322.52,320.61,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 22:00:09+00:00,L7,329.05,329.53,333.64,335.61,336.22,333.45,330.46,328.14,323.78,317.64,312.66,304.25,301.95,299.67,296.98,290.49,290.32,284.65,285.81,289.14,289.37,290.04,292.41,295.77,291.46,294.55,294.54,298.10,304.42,308.82,308.51
2000-04-15 21:59:55+00:00,L7,325.75,326.44,333.48,335.99,335.18,329.92,327.38,326.36,315.47,308.37,305.77,301.95,296.63,293.42,285.64,290.80,287.29,284.33,280.31,285.09,288.43,289.87,289.66,,,,,,,,
2000-05-01 21:59:54+00:00,L7,336.38,333.64,338.34,341.84,341.36,337.92,333.84,331.12,325.67,323.20,319.23,316.31,311.80,308.86,307.32,299.89,292.73,294.03,293.25,296.29,297.33,298.36,302.36,302.57,303.17,,,,,,
2000-05-17 21:59:43+00:00,L7,329.27,331.00,334.90,330.80,330.38,330.48,331.18,327.65,,316.57,307.72,308.36,306.60,305.35,301.69,298.45,299.13,289.39,292.10,289.62,292.76,290.91,291.68,292.35,298.56,300.27,,,,,
