dates,nzd0402-0000,nzd0402-0001,nzd0402-0002,nzd0402-0003,nzd0402-0004,nzd0402-0005,nzd0402-0006,nzd0402-0007,nzd0402-0008,nzd0402-0009,nzd0402-0010,nzd0402-0011,nzd0402-0012,nzd0402-0013,nzd0402-0014,nzd0402-0015,nzd0402-0016,nzd0402-0017,nzd0402-0018,nzd0402-0019,nzd0402-0020,nzd0402-0021,nzd0402-0022,nzd0402-0023,nzd0402-0024,nzd0402-0025,nzd0402-0026,nzd0402-0027,nzd0402-0028,nzd0402-0029,nzd0402-0030,satname
1999-07-18 22:00:25+00:00,,,,,,,,,,,,,,,,314.03,,,,,,,,,,,,,,,,L7
1999-09-04 22:00:33+00:00,331.28,325.78,331.89,333.45,331.64,325.61,322.47,322.16,314.64,308.89,300.60,296.71,295.68,298.03,293.45,290.38,284.65,275.41,282.01,281.98,289.21,284.48,289.51,293.53,289.57,290.09,289.01,295.48,295.06,293.13,294.82,L7
1999-10-22 22:00:28+00:00,332.31,336.91,341.50,341.47,344.05,338.85,331.14,327.08,321.66,310.83,308.95,302.65,303.13,302.77,301.65,295.33,290.21,290.24,283.48,285.14,285.77,287.35,284.96,290.00,286.46,287.39,287.13,288.57,289.39,309.04,312.28,L7
2000-01-26 22:00:26+00:00,329.15,333.04,336.15,332.83,332.41,327.49,326.71,321.42,316.21,311.51,304.40,303.27,293.95,291.64,278.61,284.51,284.44,275.54,280.84,282.84,284.08,283.57,292.03,294.38,299.93,299.60,296.07,299.02,314.61,301.91,313.27,L7
2000-02-11 22:00:21+00:00,329.81,333.53,334.09,332.93,334.30,324.19,319.62,314.83,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-27 22:00:16+00:00,326.71,321.67,325.74,328.49,330.38,326.54,326.30,323.23,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-30 22:00:09+00:00,326.80,327.73,332.51,334.11,335.02,332.16,328.46,326.76,322.81,316.55,311.76,303.05,300.92,298.77,296.08,289.40,288.68,283.01,283.04,286.14,287.12,288.47,289.14,292.50,287.86,290.95,291.97,294.50,299.28,307.73,305.94,L7
2000-04-15 21:59:55+00:00,317.38,319.74,329.29,330.41,330.71,325.13,319.94,321.21,311.85,304.31,302.42,297.48,292.80,290.07,282.29,286.74,281.20,278.24,270.00,273.92,280.06,284.04,277.48,,,,,,,,,L7
2000-05-01 21:59:54+00:00,328.38,327.24,334.34,336.51,337.09,333.35,326.73,326.20,322.21,319.32,316.03,312.04,308.14,305.66,304.12,296.01,286.91,288.21,283.40,285.62,289.33,292.79,290.72,290.93,290.37,,,,,,,L7
2000-05-17 21:59:43+00:00,320.89,324.30,330.71,325.22,325.91,325.69,323.74,322.50,,312.51,304.37,303.89,302.77,302.00,298.34,294.39,293.04,283.30,281.79,278.45,284.38,285.08,279.50,280.17,285.16,286.87,,,,,,L7
2000-06-18 21:59:27+00:00,330.79,324.59,335.03,335.14,,332.56,328.81,328.04,,316.14,307.86,309.78,303.80,299.52,295.98,289.89,291.74,289.01,288.51,288.79,290.31,292.37,290.27,288.20,290.17,290.31,293.11,293.72,293.02,300.03,264.27,L7
2000-08-05 21:58:44+00:00,330.25,321.56,327.57,334.25,324.62,313.18,316.15,315.83,,301.67,306.26,301.96,299.02,287.23,289.83,287.01,284.21,282.57,284.80,294.67,292.57,290.87,297.88,,,,,,,,,L7
2000-09-06 21:58:22+00:00,323.40,327.71,333.31,337.81,329.83,320.04,324.82,315.77,320.51,307.19,306.27,306.58,307.80,301.91,289.17,291.66,292.28,290.75,292.33,291.27,295.64,293.07,297.81,291.91,299.62,296.54,294.21,297.90,307.15,293.21,297.19,L7
2000-10-08 21:58:00+00:00,331.19,328.96,331.21,339.02,331.22,328.78,319.53,320.82,313.25,312.22,307.88,307.85,303.48,303.78,301.80,291.87,288.55,287.17,284.45,291.83,289.80,291.58,291.63,294.08,290.27,294.60,293.78,288.88,291.19,300.11,305.14,L7
2000-11-25 21:57:58+00:00,319.34,316.80,325.19,328.80,330.61,327.37,320.72,318.78,311.94,307.88,302.05,297.95,296.50,,,,,,,,,,,,,,,,,,300.45,L7
2001-05-20 21:57:28+00:00,318.25,316.80,327.74,327.02,330.79,323.88,320.49,318.62,,309.46,308.85,303.04,,,,,,,,,,,,,,,,,,,,L7
2001-06-05 21:57:16+00:00,326.51,327.38,330.87,329.63,,336.09,329.12,324.55,,311.55,308.44,305.61,303.84,298.26,297.44,290.67,282.67,,,,,,,,,,,,,,,L7
2001-07-07 21:57:00+00:00,324.21,331.11,338.39,337.31,,333.57,332.43,328.97,,313.61,310.16,306.92,304.33,296.27,299.53,294.31,289.68,281.24,,,,,,,,,,,,,,L7
2001-09-25 21:56:04+00:00,333.81,326.95,331.90,332.84,329.93,319.23,319.95,321.59,313.83,310.43,303.52,301.27,299.51,295.98,292.47,288.14,287.38,282.49,289.29,289.87,288.19,289.69,291.85,290.99,290.47,291.99,289.94,296.87,306.36,300.94,309.66,L7
2001-12-30 21:56:13+00:00,320.58,330.38,325.54,324.04,323.68,318.00,312.67,311.02,308.10,300.13,295.80,289.45,289.95,281.09,280.69,,,,,,,,,,,,,,,,,L7
2002-02-16 21:56:30+00:00,322.51,320.08,329.05,327.18,326.24,320.08,311.50,315.65,311.29,305.08,298.03,297.10,292.29,290.08,,,,,,277.01,283.63,278.08,280.49,284.96,284.52,282.34,280.49,284.39,300.79,287.52,299.15,L7
2002-03-20 21:56:24+00:00,312.75,300.88,298.21,335.39,318.83,335.59,321.75,321.79,318.06,312.20,304.45,295.44,300.57,291.90,302.47,292.68,295.21,283.58,,286.40,292.73,291.77,309.80,315.67,313.61,322.49,314.32,318.70,341.99,338.83,337.52,L7
2002-05-07 21:56:27+00:00,325.32,324.13,337.79,336.37,333.48,334.11,327.78,328.59,322.99,314.62,313.06,307.91,308.05,296.94,293.89,291.27,282.06,280.61,283.01,288.05,289.10,,,,,,,,,,,L7
