,dates,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
0,1999-08-26 22:07:32+00:00,137.29888290804692,131.53790614010302,133.44405362975778,129.91559312426543,130.9941899602252,137.90243994750162,150.2238036060777,155.96882922122379,150.09074448276323,146.35958371894944,144.2252156599181,150.7728193750391,148.09929369330737,146.46940269425883,147.28551371008555,149.6003393498702,154.17762367247641,158.0959057288967,156.80371863151493,156.4661392135547,151.40849355100903,153.9351961718854,151.6273642254897,153.87522787713573,157.35688966297914,153.01651100937204,150.1357663866683,153.27116480487504,155.00529128912757,162.0406710362526,160.16413065885197,145.09264773281677,145.62626262075452,166.00942869670305,193.31478146982545
1,1999-10-13 22:07:36+00:00,157.12114332884397,141.33212505370952,128.78543917720356,124.48215975221972,121.61999917466866,129.44347325497625,135.1846958793907,141.23367608409302,148.68742824339762,148.77713097039583,145.97578787272695,147.45833572045905,144.1397882836889,142.60467815132552,142.1817480685199,143.15263798848366,145.18357509041633,140.79580502341324,135.15188409104184,134.90554801129753,133.03476344483295,132.50427130800517,131.0772583981355,132.9460540160973,133.11503085254427,131.41269317623033,,,,,,,,,
2,1999-11-30 22:06:59+00:00,131.22943355497682,109.22266561893998,111.51685774491375,110.86440760460752,116.90132833676705,120.84537495555416,133.35565270224112,134.76339851896483,138.9931374590319,133.70032004374258,128.81041877158003,130.4251111426132,132.26796567634935,126.63507685228019,129.0581715451699,132.0037016127489,136.0449319516012,136.23332952944952,132.15618660015446,129.3596523450704,130.21628208452782,122.83692560713115,120.37705201731077,121.43384839167575,123.16038963806011,120.42849983727366,129.15060075046273,123.16530121019605,130.08903647938178,135.91822548766044,136.12142991335014,123.99888067904915,126.78302468431728,141.23686128206236,171.41490879935884
3,1999-12-16 22:07:33+00:00,135.44642072944924,121.28383257676174,120.25841570446687,120.084262403119,119.84446759789459,132.57616390974624,135.2077985555095,139.75480972497536,141.58168487933773,144.89309011673464,141.94790339914192,137.57220393678705,135.14919567968394,128.50022901611553,130.47535263554002,136.3202556303636,138.6993942395037,139.85055965724703,134.81933936362861,138.12221800412036,133.02761048266484,132.59882789124333,129.05485326020005,132.0009437701163,129.07392635475819,129.7625038900694,139.41081525581393,139.42044955340953,135.6400731215546,146.1369732929639,142.9577446696066,133.310505211782,135.5348037236438,146.3709902373824,197.8802899962995
4,2000-02-02 22:07:23+00:00,,,,,,,,,,,,,,,,,,,135.04367156310096,132.77609978523586,129.21599462225632,126.88078286321591,121.35292427863239,129.0927633960556,126.32825247663226,130.80279685749505,138.73193571802426,142.05806819624803,148.00476388126347,148.67771749816,151.3456113791385,131.42086000399186,129.46807017772892,151.11438570301752,172.4848061116627
5,2000-03-21 22:07:12+00:00,,,,,,,,,158.84421977278356,158.78030291283036,154.04316706258214,151.71007901510637,147.08326238533235,,,151.46935638392037,157.15929954032123,154.5355203752135,153.93020679598112,148.96814818529296,143.0747871551244,139.02904933439487,134.93325480249877,136.89379436137764,136.20748978639057,144.28083709480327,151.41928622034192,149.2189194691099,149.6362631110801,155.12142393308528,154.71169916416787,140.0146102772064,149.88846232549935,175.8893789539867,196.56803812942326
6,2000-05-08 22:06:20+00:00,131.01790459217224,145.6862278658606,148.3697952906779,149.1016055362502,147.91384865645523,148.17445247030398,155.25646746229103,158.97127743781658,164.57824409988262,159.3735578698993,154.523816938206,151.96918868052296,151.7017341524554,144.08976568912,144.24700753715194,146.90175149356546,153.92057042496015,152.9760626600795,154.743822505968,149.7528372434169,147.79273474829066,142.69459458887133,138.30599939026183,144.12632336604742,140.93955560688408,142.30722376340196,156.91838231530892,152.26805836334864,154.07457170080136,158.71998831214742,158.37989111470944,138.764553798224,138.05601116789512,158.7987657345156,193.19624629788012
7,2000-05-31 22:12:18+00:00,,,,,,,,,141.93535467409356,137.78251152597127,134.39794287703788,130.0768735147446,,,126.1270808159647,135.2863090079312,135.56931673906072,136.9685736563517,132.20779708568318,126.36479852597057,127.72254671179395,123.17341680204663,117.270273337606,125.01238879098761,127.04213895992541,128.86620386593162,134.75776444396462,130.17576486272696,128.68212523187736,131.34715045555924,128.52318843792852,118.62446884537889,,,
8,2000-06-25 22:06:19+00:00,120.74729134747417,139.81203919131514,139.21122603939767,134.60741461729617,132.50004715455606,135.31820939972727,138.5235713401146,146.30212621649224,146.96294572005544,150.7503879506679,146.06118927303066,148.8799768065744,143.59406279000143,139.09653206008238,138.78877160222848,143.76029675602314,151.23858880411387,149.58883360184592,140.66731855061758,139.3525904862127,137.5413164314953,138.35242070861221,132.60940544313638,144.47502111902477,139.91306132665912,145.56561487205872,151.08143580564828,147.92040944818865,143.9391315424035,142.48960807855727,147.50606542342877,131.1009816348596,131.20755467303226,172.07232526338134,209.27390004368684
9,2000-07-27 22:05:48+00:00,124.17380762679267,122.51966192223952,121.91460474932022,121.89001673080351,125.18269601561677,140.63723799024422,140.6675124489692,149.95291867824398,150.54668337353462,150.77006933185498,142.46278553256658,146.0309239815021,142.8201079605297,137.02092930009738,145.19695524505948,153.138305457841,161.12119139782203,162.098132358638,160.4598761947658,159.5543800319407,156.89484136808986,159.67790758221233,157.7012330544467,157.45559240712427,144.33350363221788,150.10153160791813,149.07089451223663,153.0767866039469,153.03466897876638,157.1185071446271,148.70677545702313,134.973033474588,137.54686367796447,168.9765414521245,198.53034118929045
