dates,sar1389-0000,sar1389-0001,sar1389-0002,satname
1984-06-07 09:34:18+00:00,,262.33,,L5
1985-05-25 09:36:15+00:00,,288.17,,L5
1985-07-12 09:36:05+00:00,,288.17,241.70,L5
1985-08-13 09:35:48+00:00,206.46,301.67,222.20,L5
1985-12-03 09:34:19+00:00,191.50,290.59,202.79,L5
1986-05-28 09:30:26+00:00,193.64,248.18,163.96,L5
1986-09-17 09:26:37+00:00,210.76,227.22,,L5
1987-01-23 09:26:04+00:00,,211.74,,L5
1987-04-29 09:29:30+00:00,178.13,199.37,236.98,L5
1989-10-27 09:30:51+00:00,231.77,,227.93,L5
1989-11-12 09:30:31+00:00,227.06,,226.76,L5
1990-01-15 09:28:33+00:00,224.43,,225.79,L5
1990-04-21 09:26:22+00:00,227.34,,225.66,L5
1990-05-07 09:26:19+00:00,226.93,227.31,226.95,L5
1990-07-26 09:26:12+00:00,230.05,183.03,225.94,L5
1990-08-11 09:26:07+00:00,229.04,162.27,225.75,L5
1990-09-12 09:25:59+00:00,227.13,159.51,228.55,L5
1990-09-28 09:25:50+00:00,227.86,150.29,229.29,L5
1991-04-24 09:28:10+00:00,204.80,134.10,206.91,L5
1991-06-27 09:29:13+00:00,219.44,134.63,218.52,L5
1991-07-13 09:29:21+00:00,222.50,128.66,222.30,L5
1991-07-29 09:29:36+00:00,220.72,134.03,224.61,L5
1991-08-30 09:29:49+00:00,224.02,131.84,222.62,L5
1991-10-01 09:30:07+00:00,224.26,129.70,223.35,L5
1991-11-02 09:30:16+00:00,228.22,126.70,226.74,L5
1992-01-05 09:30:23+00:00,226.87,129.20,225.99,L5
1992-02-22 09:30:17+00:00,227.22,126.27,222.85,L5
1992-05-12 09:29:51+00:00,221.70,138.56,224.74,L5
1992-07-31 09:28:56+00:00,224.81,133.56,224.95,L5
1993-02-08 09:28:02+00:00,180.93,161.44,,L5
1993-08-19 09:28:32+00:00,217.27,150.15,230.83,L5
1993-11-23 09:28:03+00:00,223.83,150.15,230.18,L5
1994-06-19 09:24:58+00:00,219.95,150.20,220.70,L5
1994-07-21 09:24:07+00:00,220.00,145.56,226.34,L5
1994-08-22 09:23:17+00:00,218.53,147.09,224.60,L5
1995-05-05 09:14:11+00:00,226.98,119.69,225.76,L5
1995-07-24 09:10:32+00:00,225.61,129.20,228.43,L5
1995-09-10 09:08:19+00:00,224.01,132.96,229.71,L5
1996-01-16 09:09:29+00:00,221.09,139.60,231.90,L5
1996-05-23 09:17:41+00:00,219.07,144.40,230.87,L5
1996-06-08 09:18:34+00:00,221.02,147.27,230.91,L5
1996-07-26 09:21:07+00:00,221.52,150.18,230.10,L5
1996-12-17 09:28:27+00:00,220.66,155.99,229.85,L5
1997-02-19 09:31:22+00:00,221.70,150.18,230.38,L5
1997-04-24 09:33:46+00:00,223.56,135.30,228.04,L5
1997-07-13 09:36:33+00:00,223.15,138.02,227.18,L5
1997-11-02 09:39:52+00:00,223.60,146.81,227.11,L5
1998-01-21 09:41:44+00:00,223.36,145.56,227.88,L5
1998-03-10 09:42:39+00:00,222.58,135.88,223.83,L5
1998-07-16 09:44:23+00:00,224.09,136.21,226.59,L5
1998-09-18 09:44:56+00:00,232.97,143.30,235.03,L5
1998-10-20 09:44:58+00:00,231.23,145.59,231.92,L5
1998-11-05 09:45:03+00:00,227.68,146.74,231.63,L5
1998-12-23 09:45:11+00:00,226.68,147.61,229.67,L5
1999-06-17 09:44:05+00:00,226.66,143.74,226.43,L5
1999-08-12 09:59:01+00:00,229.98,199.17,230.21,L7
1999-08-28 09:59:04+00:00,227.78,210.25,226.95,L7
1999-09-13 09:58:59+00:00,228.02,222.16,227.61,L7
1999-09-29 09:59:09+00:00,234.72,219.78,227.61,L7
1999-12-18 09:59:04+00:00,231.36,227.04,224.84,L7
2000-01-03 09:58:57+00:00,229.80,227.04,224.54,L7
2000-01-11 09:41:07+00:00,228.46,212.86,223.76,L5
2000-01-19 09:58:54+00:00,227.19,212.86,223.30,L7
2000-02-04 09:58:54+00:00,226.21,204.96,223.19,L7
2000-03-07 09:58:42+00:00,225.03,183.00,222.76,L7
2000-06-27 09:57:49+00:00,220.64,152.40,222.78,L7
2000-07-29 09:57:19+00:00,221.80,157.60,223.94,L7
2000-08-14 09:57:13+00:00,223.82,157.64,225.52,L7
2000-08-30 09:57:02+00:00,221.48,157.66,223.80,L7
2000-09-15 09:56:43+00:00,222.18,157.69,223.38,L7
2000-12-20 09:56:33+00:00,220.80,157.69,221.76,L7
2001-03-10 09:56:28+00:00,216.79,143.24,218.65,L7
2001-05-13 09:56:03+00:00,219.08,128.79,220.68,L7
2001-05-29 09:55:55+00:00,220.84,128.79,221.79,L7
2001-06-14 09:55:43+00:00,222.34,135.74,223.77,L7
2001-06-30 09:55:29+00:00,226.45,177.46,227.44,L7
2001-08-01 09:55:16+00:00,227.28,198.29,228.74,L7
2001-08-17 09:54:57+00:00,227.20,210.60,228.28,L7
2001-09-18 09:54:35+00:00,226.14,236.86,227.22,L7
2001-10-04 09:54:23+00:00,225.28,223.64,226.56,L7
2001-11-05 09:54:31+00:00,225.24,214.22,227.03,L7
2001-12-07 09:54:41+00:00,223.40,207.13,226.14,L7
2002-01-08 09:54:52+00:00,218.68,199.20,221.56,L7
2002-02-09 09:55:02+00:00,218.01,188.94,220.11,L7
2002-03-13 09:55:01+00:00,218.22,174.76,220.35,L7
2002-03-21 09:44:11+00:00,219.92,152.76,222.26,L5
2002-04-14 09:54:56+00:00,221.04,151.56,222.90,L7
2002-04-30 09:54:58+00:00,222.46,151.56,223.84,L7
2002-05-16 09:54:51+00:00,222.77,151.56,224.30,L7
2002-06-01 09:54:45+00:00,221.75,155.79,223.57,L7
2002-06-17 09:54:38+00:00,223.26,155.35,224.44,L7
2002-07-03 09:54:34+00:00,223.60,155.35,224.72,L7
2002-08-04 09:54:19+00:00,225.67,155.79,226.54,L7
2002-08-20 09:54:16+00:00,225.76,155.79,226.89,L7
2002-09-05 09:54:07+00:00,226.40,155.79,227.38,L7
2002-10-07 09:53:50+00:00,226.68,157.69,227.09,L7
2002-10-23 09:53:55+00:00,226.26,157.67,226.43,L7
2003-01-27 09:54:37+00:00,225.24,152.61,224.65,L7
2003-02-12 09:54:48+00:00,224.90,157.57,224.71,L7
2003-03-16 09:55:15+00:00,223.24,157.57,223.73,L7
2003-05-19 09:54:48+00:00,224.34,157.53,226.08,L7
2003-06-28 09:42:14+00:00,223.65,153.83,226.77,L5
2003-07-30 09:42:49+00:00,225.66,145.50,228.58,L5
2003-10-02 09:43:52+00:00,223.94,153.21,235.08,L5
2003-10-10 09:54:11+00:00,223.43,153.21,232.15,L7
2003-12-13 09:54:54+00:00,219.18,158.07,228.20,L7
2004-01-06 09:44:54+00:00,220.99,161.84,227.59,L5
2004-03-18 09:55:24+00:00,219.65,166.03,226.28,L7
2004-06-06 09:55:14+00:00,221.63,165.16,221.56,L7
2004-07-16 09:48:28+00:00,223.02,153.91,227.05,L5
2004-07-24 09:55:03+00:00,223.20,153.91,226.16,L7
2004-09-18 09:50:02+00:00,225.04,135.32,229.00,L5
2004-10-20 09:50:44+00:00,224.59,140.26,227.22,L5
2005-03-21 09:55:50+00:00,224.89,150.14,223.37,L7
2005-03-29 09:53:12+00:00,227.51,145.11,226.97,L5
