,dates,jap0054-0000,jap0054-0001,jap0054-0002,jap0054-0003,jap0054-0004,jap0054-0005,jap0054-0006,jap0054-0007,jap0054-0008,jap0054-0009,jap0054-0010,jap0054-0011,jap0054-0012,jap0054-0013,jap0054-0014,jap0054-0015,jap0054-0016,jap0054-0017,jap0054-0018,jap0054-0019,jap0054-0020,jap0054-0021,jap0054-0022,jap0054-0023,jap0054-0024
0,1984-06-04 00:48:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
1,1984-06-20 00:48:23+00:00,,,,,,,156.49101147783924,151.59032013300282,156.12217490232274,156.8556572170795,144.14568345912693,136.6248806383078,121.41529085426784,152.69438322113638,172.8299589224381,173.00418369088342,171.2973967224536,169.08324405037965,165.74022705380156,169.35014059624058,171.49660720599292,171.0059607370611,172.18878105922016,168.48700673664274,177.99125003391913
2,1984-08-07 00:49:31+00:00,168.56929542953912,163.3789099422531,160.56754801917438,176.0806817860552,180.47027333093027,198.03638664114345,193.12713931909354,177.6251153170962,166.86052844289097,149.72885812799737,139.84070480595298,135.81534351155756,112.2085980469607,154.8106499897012,158.29577767735063,165.53589335081207,164.96513603708283,164.25789517866343,161.92910628084553,156.5765459772732,167.43969059034492,171.07092735277965,167.4042443542507,164.89616123366477,171.81795984748038
3,1984-10-10 00:50:07+00:00,175.63545560815322,174.54102890271372,171.0795692174473,163.70243554809886,160.67100533920006,159.73304735380424,151.77817288100582,152.91869409782214,146.86671488994565,145.90479429850163,146.99941925115428,,130.90565205497117,177.51312077243446,188.03360229649243,183.14373054931713,175.43476774369213,182.88003322683105,175.79593260402646,181.5734447885117,185.80145643838406,186.55628792965214,183.38348128143662,182.972589188201,185.48360387407396
4,1984-12-13 00:50:28+00:00,,,,,,,,,,,,,,,,,,157.71672580486563,161.97504230672203,163.82874736903187,174.95181835348168,166.49240115959398,168.53151166992907,160.80758164044053,163.58236065372898
5,1985-01-14 00:50:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,
6,1985-09-27 00:49:10+00:00,176.93207016753794,170.15870656773114,167.0583540014067,173.40705292614894,162.19158805524145,164.2271589152415,155.9456663446995,157.3938848130596,160.19716685456606,155.23976077492716,150.56234638227826,,,,,202.8198873385644,195.59794354641627,193.49674807065531,189.65352188268926,182.84085820077908,191.0085523448561,189.09732818044083,193.98823060812754,198.97726665901968,190.6815764789436
7,1985-10-29 00:49:11+00:00,184.68607850044717,186.91266169664857,182.42425926190438,180.0088353686034,182.50925911368978,177.37221066610468,172.46382054063992,178.2727396764346,170.53798503590983,169.80607334244067,163.0220694888199,160.87544870188057,171.0265250866888,182.7958038369144,198.69447261131089,203.8220389414827,207.49053383626796,208.03773499911452,210.65114348135077,202.34277875073235,203.83440646580917,196.6198697676059,204.48821523062398,198.61093780194153,200.14754724968282
8,1985-11-14 00:48:57+00:00,218.4733791856828,,,,193.7386365336538,,,,,,,,,,,,,,,,,,,,
9,1986-06-10 00:43:56+00:00,188.31671868632145,174.35499628104722,,186.3553395026407,167.40918427284774,171.7930334396599,161.60341172486633,163.8943446438868,161.0165609711716,160.5486960843485,156.0996160639309,153.132406099346,144.59935399477055,178.65985011483266,188.09655690235513,,182.99889618248514,183.84134027227475,186.32566169123118,188.62103860097343,182.7269085570562,186.33570167109764,185.1430001996493,194.87002469161078,188.48707335047712
10,1986-06-26 00:43:49+00:00,169.46769264515382,160.1763540405929,162.6037328921649,158.79908090516594,157.64099314612787,156.5468725504616,154.52828326040068,154.22783346073192,156.26980103725487,154.94480232071567,156.46793984468712,161.45159367746484,150.24916517817874,183.98527913881816,196.3887550892193,196.99180307860294,200.15702821671073,199.3706521958305,189.5313375280705,196.49953747702583,199.32383766652748,200.96561098843983,198.99082540890228,185.4999743582387,198.028403752273
11,1987-02-05 00:40:48+00:00,,,,,204.73359110040997,,,,,,,,,,,,,,,220.02525117184484,,,219.7383193634172,,208.28158765473214
