,dates,mex0492-0000,mex0492-0001,mex0492-0002,mex0492-0003,mex0492-0004,mex0492-0005,mex0492-0006,mex0492-0007,mex0492-0008,mex0492-0009,mex0492-0010,mex0492-0011,mex0492-0012,mex0492-0013,mex0492-0014,mex0492-0015,mex0492-0016,mex0492-0017,mex0492-0018,mex0492-0019,mex0492-0020,mex0492-0021,mex0492-0022,mex0492-0023,mex0492-0024
0,1986-04-21 17:30:52+00:00,256.2840872642339,247.0816258882771,242.13312276806553,239.8469207982552,249.07337661935898,244.73859629673524,247.55317511990015,232.44206201395585,227.12592246478343,220.1350936480531,223.6085133283758,227.28765193977378,224.13638061225333,232.09877600306376,235.57306221651464,236.88850382096857,236.0289086931918,239.11089343494766,239.1973603354815,240.51935569801896,238.7397755912005,232.77951501181587,222.91285350930656,212.2094111059771,215.22960939535716
1,1987-06-27 17:30:26+00:00,254.73752350245573,245.51675034067227,247.92340684027562,247.44715345388815,252.49881403446628,254.09544599247812,252.75172605108753,240.72543579631338,232.7123295164423,229.68238276944413,231.10197580949927,234.57885251671013,234.91626864096105,241.88824249919116,241.5976564703467,244.34278503288175,236.79929333566446,241.07811770400664,241.22240216540564,240.73354548107963,234.56585903308041,226.56965889945485,217.55530399262352,214.59075376897863,214.34703022573512
2,1987-07-13 17:30:44+00:00,260.31518210224965,250.9714079487252,248.90407865478846,257.38225717906494,254.53793963336355,258.3823133257716,260.9205547034903,245.76099129256036,237.48056249662773,233.26160223295665,232.89117850950896,239.33805207835326,241.24361571205196,242.12634526363763,243.6986664153331,237.04163633152487,241.79264488530242,239.89922964423815,245.71557887419075,239.6248014760728,242.81836123661392,228.97318833867035,229.19232551243005,226.68051335130588,223.85319829534635
3,1990-05-02 17:25:42+00:00,262.76212319189614,251.0644756243961,253.16167195007364,261.63213854997144,265.5186444528316,267.5499849787729,268.3380929021094,257.4478316255816,255.43471046836265,246.5182885279693,249.13833625220053,257.1715585827798,259.43863179916747,261.3694501671817,263.3132001754753,259.32459385191964,252.61569365649277,251.97712433348622,249.0572264003296,247.34719911135792,249.54381177831476,244.37171056122048,237.20804790929753,229.9237415503976,234.49703385978916
4,1991-04-03 17:27:15+00:00,249.2852800616553,238.7125223177179,240.04273129863805,241.87278568141676,246.54578688584996,250.33297452676427,249.856078565524,245.75491464296525,234.93859540508603,235.88849766258008,234.93859985480498,247.30542167893526,242.79557008040868,250.0762443028173,250.72796379753504,247.36889651192922,246.06390164005919,245.07220449411503,245.8204239631363,242.41268460409074,245.10979566772812,236.36455675406566,233.29418412936153,221.88837925034346,224.29409213066907
5,1992-08-27 17:27:58+00:00,234.91603375993333,229.1717251736644,232.57542835886463,237.64315716776912,239.72178177834382,244.7579477804367,248.706344135219,240.40625473864102,223.89542871528315,215.72790364120624,224.78377728806254,226.70081623582055,226.2168757655938,228.9649207813081,233.853232031703,228.71400642273224,227.8406689293407,230.96881589831585,222.25968133828786,222.21781904598475,229.85174527918335,215.40183172054313,211.17956308110766,209.90516878919183,211.35717110590818
6,1993-02-03 17:27:27+00:00,240.0678765276479,234.23261501105216,231.68419779953953,236.97428318349506,243.208853181832,242.9668717670565,250.481595276234,239.25094575536505,231.10255231726993,227.3613843339191,230.96407237251927,235.04539410210742,234.97160523727473,244.05041080976673,242.0627124365897,244.70078112491746,238.02803038126228,244.06510204303277,237.10360741273445,238.09250499629047,237.58750531665376,234.62061916415882,225.25454627927638,219.95616209558358,221.46858707343614
7,1993-03-07 17:27:44+00:00,243.36222561332855,234.04399652490866,235.90749762734842,238.6897795588756,241.5472081486831,242.65836183647156,249.49092344260623,236.0268551810226,232.9049628555597,223.1620406704421,230.80191490222313,229.30842213163976,235.37762641947708,248.31843652873792,246.5968048578492,244.16977458913766,242.12302912306933,244.13002689768504,236.8010393048392,237.5812366713925,238.86512400471338,234.83692636791034,226.71930818968377,221.57962810024497,222.229904430294
8,1993-04-08 17:27:52+00:00,249.80244442659423,242.23859860391596,236.7287750356347,240.66862634085086,242.89520291497658,247.90322731654842,253.77687170073918,235.02399990385692,230.23408040664117,218.0845204650147,222.67318271025184,222.90014191435725,232.6409308780207,243.64725701876546,250.94159651612284,246.55732937688376,250.58753704655416,257.3837302832152,249.51669378503198,245.3782982271477,245.3388396606866,247.54792183531364,233.78142244766738,229.9150757757789,223.22648466958117
9,1993-05-10 17:28:04+00:00,240.8550729576485,242.134756522872,238.12415657288267,243.51114291658303,241.1449339186342,243.80697578437025,243.52753767423133,228.6279689983887,227.59130106877268,220.5077108962223,226.54006008379213,229.22902354739992,231.73217411949443,239.7851895051302,239.96563566533882,241.56758716483398,235.39975792679817,237.19554744582905,232.80903364710906,237.201079554385,235.792015445241,235.80270538864562,225.6186085178683,219.30002858004656,215.37285699108787
10,1993-05-26 17:28:07+00:00,247.2985916317087,238.15754308290917,234.12063661029504,243.2276786978211,245.7350700515207,246.8229223454062,254.17117871234342,232.1684131018281,232.56886745996144,219.18152801546614,230.71100031631863,230.8926216316766,240.12334604114997,241.5555374503654,243.27939303516044,244.78019563370552,238.95926139314844,244.41396842691879,236.40405827404186,239.91733059045916,234.98906911215403,236.38600988921215,230.57039833884244,221.49137655541506,218.8145118843092
11,1993-06-11 17:28:08+00:00,251.97033980859104,240.97851005966405,237.00120418222969,242.81604663538116,244.39284931287702,248.4100524543315,250.9314063271914,240.25361675028077,233.05131782590496,229.2541091773314,231.63912285185393,239.51405925382232,239.40346634134403,246.72578363061535,247.21171467575942,246.51410366472072,242.85329349989595,241.602826585039,239.48651324084986,241.88393955028164,244.73397938939982,239.41010863354887,232.20641859281056,218.19212089428797,220.6280005495251
12,1993-06-27 17:28:02+00:00,249.33866442059903,244.90296434176685,239.62758379001977,245.05505618366,245.1699593499411,250.31666944492372,247.62954401254677,239.50562949232912,233.97366492503113,228.32517156609865,230.30430692719278,237.18568440633032,239.729365087707,245.84386055423292,247.32278268599916,246.67001602334238,243.23630378910303,239.6580752726502,238.26950249003994,239.31757444680468,240.9347295633755,238.30992317540077,230.46240938304933,216.52554226075375,221.2470337603708
13,1993-07-29 17:27:58+00:00,243.99936536791597,235.10218204557282,230.03836335121787,242.9807005774261,243.57630456584835,239.57510485152753,250.9515843738117,233.4845596198444,221.92872885056897,213.2922539888551,226.83931723200516,240.88972379464468,241.6300852217177,249.23709880795855,247.99478077418934,233.2375690883231,242.9781384824982,244.6742376149931,238.49032895065565,238.38385299016787,238.26678569649806,229.7831371947724,230.82538921535445,222.74095986441142,221.2160389776398
14,1993-08-14 17:28:00+00:00,242.69080240149478,233.1635243485512,234.4523514239448,237.4095321552039,243.25127242196638,244.09844220771643,244.79173945740362,240.91876933877094,228.23836136449324,212.90715959451276,224.98389341745596,231.24300966338288,237.2307762646221,238.6981611652325,240.02885211055332,228.61079202053787,233.83232955037644,232.91115964654102,228.61731034282255,227.05105081551204,231.2791235354314,220.45376858626932,222.7324069607381,215.07513623974023,218.84414822583298
15,1993-10-01 17:27:52+00:00,247.5953145843373,237.69337550187655,237.7180184829208,234.5821038229496,243.81209832534262,248.17474875165004,245.69436730286745,232.3264376476122,224.75098458248613,215.92744899733637,222.1765939810603,233.43989790957136,230.9489017372119,235.89416993119033,238.08690422118974,233.46040987881926,232.3334812968761,233.42283465039003,228.13266653965465,227.67501984268742,227.88894243369418,219.35613353553026,217.27613163343403,213.52309592417998,216.5293947489104
16,1993-10-17 17:27:46+00:00,240.24534111478224,234.3125932431389,229.35057742736865,232.8062004515144,238.97880422903847,241.78654392855645,241.9370439224564,234.4991915308453,225.42954547092717,218.24040919062782,227.554293436391,234.16976253244076,236.55774120349582,240.19387605974805,243.89624941377895,237.08408441527254,234.08487192309747,240.51277614093027,229.9837209474902,232.8729200742012,225.45658709279348,221.24221483281525,217.07859682054013,218.76434143069204,217.03207381018368
17,1993-11-02 17:27:40+00:00,249.23613539981667,239.54423430302074,238.51518277477186,236.2207149134767,241.9375155432551,242.85453265185978,243.94835911535037,230.04471537361061,228.1945547206762,229.48563388136884,236.44039683804374,240.4483530668696,235.92037946812115,239.62574213143128,247.34736820526948,241.9795617820307,237.59831975833686,248.70767236149305,242.71199597078189,237.9886067747241,236.01880116215094,227.20273304178565,225.30654736061288,223.98609547923633,221.7994661084493
18,1994-01-05 17:27:08+00:00,241.82810738622067,240.6198680076141,239.53624900622316,245.68249371597727,251.50128409926108,248.3776393254185,255.96202253400634,241.92514868879016,239.39266631592855,231.00709865384346,235.99162250893045,244.08941722993558,242.68664189604033,247.593344392021,246.39102109249336,246.9666728663887,241.61358194783435,245.73772631665508,243.07389550550303,240.74998381616078,241.69152098439952,237.83763264697137,231.41604079076978,225.22906464011294,227.14700013981104
19,1994-01-21 17:26:53+00:00,252.33677069920031,244.7477767262988,245.8983148547897,250.58236982413246,254.3161951684173,259.7117837929773,252.73600074814482,244.32072549743543,238.2405057342967,234.0728912330499,237.3765497554251,239.56334459645842,248.69728859683934,249.09090423514698,255.06018043447946,250.15282420922279,252.38964398497959,250.24721772815573,252.79318779521358,248.49628207865152,250.2002062033386,244.34830812248705,242.94416366353818,237.8270245667022,230.67531706590253
20,1994-02-06 17:26:45+00:00,249.15491288215668,245.37743727229795,238.62308137798456,244.23790630083917,249.9811407737846,251.40096357171072,250.63535118401964,240.2354515763415,234.04606704779368,227.24018311929967,229.1742703878648,238.8743380573181,245.82989335571457,247.6631043025363,254.28472360135626,252.5042848091366,253.02035657573035,247.48562856526237,251.4603762951414,247.84435321702452,249.42808118796478,243.62096859993434,236.4993606578309,233.83386884972816,235.42634127625075
21,1994-03-10 17:26:16+00:00,256.36466268533576,248.14769778433586,245.4114727727366,253.3434221337577,251.6730191273311,254.952512398061,254.42629520694777,244.53964350640268,235.50284000787397,230.91565921633028,234.6634102325898,240.3743040425589,247.25430135884181,248.32952009312075,254.00131152691125,250.9263350725096,251.27783800022289,254.28152893829423,249.1665013814404,248.47004476959023,244.4566383242772,245.70037791901083,235.19492054373353,230.44598403276876,228.38504329555218
22,1994-03-26 17:26:02+00:00,244.66201825093526,247.32624639983837,246.23541423053325,249.9526267215627,255.00501629304998,253.92591135729566,254.0732769920901,240.78610303076704,236.37946806316555,229.29679907909357,235.5036942932775,244.4553689925918,238.64514249308124,254.27901756493193,250.24619510282506,249.96204313115163,246.85044935349643,242.96888775146033,241.72893869314535,238.11242579373348,240.7439796247256,234.15805406441862,231.01340391104657,225.99679682283806,228.9263663261546
