dates,satname,nzd0059-0000,nzd0059-0001,nzd0059-0002,nzd0059-0003,nzd0059-0004,nzd0059-0005,nzd0059-0006,nzd0059-0007,nzd0059-0008,nzd0059-0009,nzd0059-0010,nzd0059-0011,nzd0059-0012,nzd0059-0013,nzd0059-0014,nzd0059-0015,nzd0059-0016,nzd0059-0017,nzd0059-0018,nzd0059-0019,nzd0059-0020,nzd0059-0021,nzd0059-0022,nzd0059-0023,nzd0059-0024,nzd0059-0025,nzd0059-0026,nzd0059-0027,nzd0059-0028,nzd0059-0029,nzd0059-0030,nzd0059-0031,nzd0059-0032,nzd0059-0033,nzd0059-0034,nzd0059-0035,nzd0059-0036,nzd0059-0037,nzd0059-0038,nzd0059-0039,nzd0059-0040,nzd0059-0041,nzd0059-0042,nzd0059-0043,nzd0059-0044,nzd0059-0045,nzd0059-0046,nzd0059-0047,nzd0059-0048,nzd0059-0049,nzd0059-0050,nzd0059-0051,nzd0059-0052,nzd0059-0053,nzd0059-0054,nzd0059-0055,nzd0059-0056,nzd0059-0057,nzd0059-0058,nzd0059-0059,nzd0059-0060,nzd0059-0061,nzd0059-0062,nzd0059-0063,nzd0059-0064,nzd0059-0065,nzd0059-0066,nzd0059-0067,nzd0059-0068,nzd0059-0069,nzd0059-0070,nzd0059-0071,nzd0059-0072,nzd0059-0073,nzd0059-0074,nzd0059-0075,nzd0059-0076,nzd0059-0077,nzd0059-0078,nzd0059-0079,nzd0059-0080,nzd0059-0081,nzd0059-0082,nzd0059-0083,nzd0059-0084,nzd0059-0085,nzd0059-0086,nzd0059-0087,nzd0059-0088,nzd0059-0089,nzd0059-0090,nzd0059-0091,nzd0059-0092,nzd0059-0093,nzd0059-0094
1999-10-04 22:10:38+00:00,L7,,430.59,428.63,426.63,416.61,418.49,417.32,428.08,416.49,417.91,428.70,427.14,428.97,403.04,384.15,412.53,382.58,329.43,424.00,457.64,444.55,444.17,437.84,433.04,424.97,417.27,424.84,424.05,429.20,434.42,440.64,438.24,435.41,435.51,435.14,426.88,420.86,417.90,424.41,422.43,422.19,423.55,424.22,420.09,414.31,415.31,414.09,418.17,419.64,423.56,431.04,434.60,433.35,432.69,436.73,444.20,436.70,428.76,421.77,418.51,413.54,412.54,413.67,421.44,423.89,419.71,419.92,415.40,406.14,404.46,403.18,406.78,401.20,398.42,410.47,413.00,413.04,409.76,402.99,409.09,404.37,405.23,407.13,413.42,419.18,420.24,426.49,426.22,424.78,415.82,417.00,415.75,411.84,413.27,409.76
2000-04-29 22:09:53+00:00,L7,479.24,467.93,459.44,451.00,448.81,450.37,455.42,462.51,456.30,451.24,460.34,469.92,470.55,474.25,477.96,478.24,475.64,455.60,401.12,445.78,454.08,454.92,454.80,453.66,450.29,447.70,450.83,452.64,460.27,460.20,464.02,461.84,463.75,463.62,458.92,448.99,441.45,439.54,443.32,445.45,443.47,443.72,448.28,442.97,444.49,441.29,442.48,446.41,446.29,447.14,445.46,446.04,446.40,450.09,454.36,454.58,448.73,440.73,441.01,437.00,435.96,432.71,434.88,432.19,436.52,431.96,432.43,434.33,431.88,429.66,429.24,427.36,427.81,420.71,421.55,415.41,419.83,418.75,421.95,418.16,421.86,428.87,436.03,434.77,441.07,439.62,445.12,440.08,435.79,432.65,429.03,429.34,427.40,427.73,428.40
2000-08-03 22:08:44+00:00,L7,411.43,410.81,407.76,406.96,406.62,403.01,408.36,407.08,402.07,397.00,395.09,391.31,375.79,,341.80,372.46,380.80,393.25,400.04,408.44,413.74,425.48,418.87,415.86,411.99,410.70,407.57,404.48,399.64,398.18,406.69,411.76,410.70,411.94,409.88,409.34,402.74,397.66,397.42,403.94,399.12,398.76,400.38,401.76,402.23,403.26,404.74,400.19,404.71,405.58,408.43,406.00,411.84,419.47,422.28,421.11,414.49,408.23,397.32,401.03,397.53,390.27,392.61,394.08,397.41,396.26,392.57,389.86,388.41,391.77,397.25,395.96,392.52,384.97,386.46,386.33,388.61,388.62,,,,,,,,,,,,,,,,,
2000-10-22 22:07:50+00:00,L7,463.81,440.49,437.11,436.29,429.46,432.40,423.42,419.76,420.98,427.02,429.88,435.53,441.60,,405.85,452.12,455.73,449.71,458.09,465.83,465.00,471.00,465.59,454.41,450.06,443.64,438.93,451.77,453.02,444.64,450.87,436.58,441.66,439.53,434.56,427.57,425.29,425.24,420.55,419.64,429.03,425.78,431.06,436.21,423.61,418.39,416.73,428.39,436.91,438.34,435.73,434.58,440.43,442.63,446.93,446.04,448.10,446.99,428.26,427.38,416.86,422.04,425.77,424.55,433.51,438.90,433.52,427.60,428.22,425.03,415.60,423.83,419.82,416.25,412.26,411.16,417.08,413.95,408.15,411.61,411.35,408.96,410.30,422.74,425.55,429.47,428.24,427.86,426.23,423.10,419.33,418.27,421.14,418.27,415.78
2000-11-07 22:07:53+00:00,L7,427.79,425.70,420.99,415.33,411.33,412.92,413.28,408.86,403.91,402.58,,,,,,,,,,,,,,,,,,417.47,420.30,419.73,421.92,422.64,423.98,421.40,415.85,412.82,409.32,404.26,404.84,405.79,411.36,412.69,413.74,415.09,411.20,407.18,404.54,407.11,413.48,415.87,413.39,419.00,421.62,422.42,426.67,425.27,422.26,414.90,405.87,405.14,404.82,404.06,405.31,409.38,409.53,414.17,412.40,409.41,406.55,401.44,401.08,403.14,403.52,403.86,396.55,396.63,399.67,401.01,398.73,401.29,404.73,404.66,408.72,409.54,407.90,408.75,411.82,418.35,418.42,414.21,411.63,407.19,405.92,405.99,403.91
2001-05-18 22:07:26+00:00,L7,442.56,436.18,434.62,438.11,437.92,439.29,439.00,440.07,439.01,433.93,431.71,431.33,425.98,418.97,403.38,389.84,377.88,404.90,427.96,439.82,440.07,435.09,432.50,429.23,422.64,420.31,420.42,421.68,422.48,417.54,411.78,429.44,430.09,422.77,425.61,421.45,421.96,416.92,412.03,417.18,418.60,419.64,420.44,418.82,421.82,423.51,426.98,423.95,426.52,428.60,427.47,431.64,435.20,645.67,584.11,659.91,453.76,428.24,449.85,422.28,408.53,410.38,413.15,415.35,415.11,415.49,412.51,406.86,405.06,405.93,406.11,407.56,407.77,408.35,407.34,408.47,405.37,406.00,406.73,411.45,411.58,408.17,413.98,413.00,421.14,422.15,427.75,425.33,426.17,423.39,415.63,416.11,409.50,403.59,403.19
2001-06-03 22:07:16+00:00,L7,423.62,417.88,415.60,414.35,412.79,413.38,416.76,420.53,422.09,417.55,413.15,406.55,397.45,390.48,381.28,355.79,322.79,353.00,392.38,413.03,417.15,416.01,414.71,408.56,408.70,407.91,405.15,403.50,402.84,409.66,408.82,415.22,413.85,409.34,410.12,407.20,403.02,402.29,402.53,401.43,401.52,401.78,403.23,404.73,401.47,404.18,404.61,406.52,405.29,407.61,412.01,412.26,412.99,414.16,418.63,411.09,402.83,395.44,395.63,394.40,391.87,390.70,395.89,397.58,396.47,397.32,395.87,399.02,395.12,390.17,392.17,394.66,393.78,389.55,392.37,395.40,394.49,394.52,394.28,395.21,393.46,396.75,395.25,401.51,401.10,408.20,411.48,413.17,405.98,406.28,400.22,397.61,394.32,393.13,391.60
2001-12-12 22:06:14+00:00,L7,398.90,394.24,394.89,398.44,399.00,397.77,396.94,395.45,392.52,388.58,380.05,376.13,371.09,361.63,360.89,343.91,335.67,315.49,289.24,307.02,360.91,386.50,382.29,383.27,381.47,384.34,384.80,387.80,385.44,387.77,397.82,404.23,404.70,401.68,399.70,392.13,395.28,394.10,384.43,384.07,383.14,386.77,387.93,390.12,389.26,390.64,388.86,391.96,395.72,400.02,400.85,400.93,403.91,403.27,404.38,394.04,384.10,373.01,369.26,379.63,378.46,381.56,380.20,371.58,,,,,,382.99,379.98,382.77,382.22,377.64,372.91,369.48,373.20,368.28,374.75,371.51,380.26,383.50,385.35,389.98,392.32,394.16,400.30,393.90,395.43,384.47,384.95,376.92,379.49,374.50,373.37
2002-03-18 22:06:22+00:00,L7,419.75,415.69,414.54,412.90,411.25,408.89,409.98,406.27,407.99,401.48,399.77,394.74,393.56,386.69,380.69,370.88,361.79,362.55,357.59,341.57,353.00,382.38,396.32,405.59,407.29,405.70,404.05,404.48,406.69,410.26,408.28,411.01,415.28,409.53,408.68,404.14,403.88,401.07,401.00,399.48,401.46,402.72,404.43,403.88,399.55,400.04,400.13,398.68,400.03,401.07,405.52,410.13,415.61,416.97,417.68,414.01,407.37,403.32,392.78,392.81,391.28,394.92,396.86,398.09,397.43,399.32,400.93,399.61,396.07,391.48,394.92,395.25,395.01,393.15,395.58,394.75,394.22,392.67,394.85,395.31,393.20,393.36,394.49,399.75,401.90,402.39,405.90,402.29,399.59,398.43,397.71,395.87,391.74,387.83,390.80
2002-05-21 22:06:17+00:00,L7,430.69,426.27,422.12,408.41,389.03,382.67,386.49,385.34,384.43,384.73,367.19,362.50,308.63,196.38,168.15,310.99,313.01,165.08,,,251.38,342.23,354.41,365.20,,,395.60,400.15,385.26,379.27,375.77,374.23,380.00,382.94,389.07,402.04,413.38,414.31,416.16,414.85,420.06,414.86,418.54,415.58,416.08,416.09,420.24,421.97,425.45,421.28,418.23,420.50,415.01,418.62,421.28,421.31,416.95,419.36,420.67,421.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
