dates,sar2109-0000,sar2109-0001,sar2109-0002,sar2109-0003,sar2109-0004,sar2109-0005,sar2109-0006,satname
1986-01-20 09:33:24+00:00,,,204.87,,177.80,208.44,,L5
1986-05-12 09:30:53+00:00,,,219.40,,206.22,220.77,,L5
1987-02-08 09:26:31+00:00,,,220.02,,163.02,239.30,,L5
1991-05-26 09:28:46+00:00,281.23,262.12,208.74,456.87,195.32,225.40,,L5
1992-01-05 09:30:23+00:00,296.47,263.10,,441.02,,,,L5
1992-11-04 09:27:22+00:00,,,199.24,,162.05,,,L5
1993-01-07 09:27:40+00:00,,251.04,226.91,,,,,L5
1995-01-29 09:18:10+00:00,,,,,195.43,,,L5
1995-05-05 09:14:11+00:00,,265.88,204.11,457.11,193.19,216.10,,L5
1996-04-05 09:14:50+00:00,,260.91,,460.39,,380.82,,L5
1997-02-19 09:31:22+00:00,,256.56,207.60,465.26,157.21,,,L5
1998-11-21 09:45:10+00:00,311.88,,,,,,,L5
1999-08-12 09:59:01+00:00,,285.04,191.35,464.73,180.91,431.43,381.46,L7
1999-08-28 09:59:04+00:00,,276.52,202.85,467.82,183.68,432.51,386.73,L7
1999-09-13 09:58:59+00:00,285.49,271.70,203.41,458.42,194.21,431.77,385.42,L7
1999-12-18 09:59:04+00:00,288.95,271.42,217.74,464.70,186.46,431.22,383.36,L7
2000-01-03 09:58:57+00:00,282.88,271.14,208.99,461.64,189.66,402.57,381.80,L7
2000-01-11 09:41:07+00:00,250.65,245.78,,446.26,,376.12,365.64,L5
2000-01-19 09:58:54+00:00,,271.03,195.52,465.07,170.60,432.37,383.77,L7
2000-02-04 09:58:54+00:00,288.68,264.98,218.09,464.55,181.07,431.81,380.99,L7
2000-03-07 09:58:42+00:00,410.35,276.47,210.46,461.09,191.20,431.42,384.14,L7
2000-03-23 09:58:44+00:00,409.39,285.39,201.90,494.04,171.77,432.18,384.58,L7
2000-04-24 09:58:27+00:00,408.92,280.20,181.66,495.92,166.09,434.05,388.52,L7
2000-06-27 09:57:49+00:00,409.67,281.30,198.25,494.25,178.50,434.61,387.20,L7
2000-07-13 09:57:37+00:00,409.64,279.15,193.82,464.85,171.61,432.60,386.28,L7
2000-07-29 09:57:19+00:00,409.89,278.28,194.98,464.95,179.40,432.67,385.04,L7
2000-08-14 09:57:13+00:00,409.94,275.14,196.19,464.53,182.58,434.34,385.77,L7
2000-08-30 09:57:02+00:00,409.93,289.09,197.27,467.00,180.92,433.62,386.61,L7
2000-12-20 09:56:33+00:00,,274.42,204.32,461.63,187.82,431.20,376.63,L7
2001-01-21 09:56:39+00:00,,270.27,207.46,464.60,182.65,402.29,379.32,L7
2001-05-13 09:56:03+00:00,410.24,278.46,207.29,461.76,195.55,432.67,382.57,L7
2001-05-29 09:55:55+00:00,410.36,272.82,219.96,450.76,208.44,431.65,384.49,L7
2001-06-14 09:55:43+00:00,,272.93,205.52,461.29,202.17,432.43,384.40,L7
2001-06-30 09:55:29+00:00,410.36,269.93,210.66,459.72,196.65,433.71,386.01,L7
2001-08-01 09:55:16+00:00,410.40,273.32,212.48,461.37,199.11,432.31,382.61,L7
2001-08-17 09:54:57+00:00,409.93,273.48,203.20,467.20,182.68,,,L7
2001-09-18 09:54:35+00:00,,274.12,199.96,465.21,174.74,431.97,383.20,L7
2001-10-04 09:54:23+00:00,410.25,273.99,204.96,461.91,188.06,435.07,385.65,L7
2001-11-05 09:54:31+00:00,410.24,272.07,207.70,464.91,183.59,432.41,379.20,L7
2001-11-13 09:45:42+00:00,,,,493.98,,,350.26,L5
