,dates,jap0006-0000,jap0006-0001,jap0006-0002,jap0006-0003,jap0006-0004,jap0006-0005,jap0006-0006,jap0006-0007,jap0006-0008,jap0006-0009,jap0006-0010
0,1984-09-28 00:25:00+00:00,132.15785899222746,126.35281319878369,127.09624934068799,129.97831536759466,136.7437636225848,131.12569187020867,127.93396538004988,128.20798470678832,116.07919902528867,120.29282412181094,111.43839830552841
1,1985-08-14 00:24:34+00:00,166.58885496111137,151.0306898686868,138.44832680440535,138.38443461851108,128.89922143693164,113.26985140375194,108.61426699308085,107.68449096507987,105.78413717219343,106.02143961270785,108.61955987310232
2,1986-05-13 00:19:38+00:00,,,,136.00329486882305,134.31836949763138,,,,,,
3,1986-08-01 00:17:04+00:00,154.74498944629826,144.48839293418678,140.77456142373882,145.5320526306507,153.79574027063316,142.7300549941708,131.4385223025482,132.54195377904298,126.63903472498829,134.23141982886656,128.32543794807296
4,1986-10-20 00:14:19+00:00,138.83172530568874,132.9627873445724,132.87653774479924,132.91689748724025,138.4580034548945,130.4989075842678,125.63575830362791,128.52826841367983,123.21373963343827,126.90766591043472,133.81503103736415
5,1987-06-17 00:19:29+00:00,129.90854605960058,114.5605664176698,134.84147755386263,149.91535171605247,134.54129506347974,125.08802635842414,118.54857544252691,102.19321109349548,104.21329126831313,108.43357696181688,101.46398006239129
6,1987-10-16 00:16:11+00:00,146.47599610641024,135.14533397791925,139.59108156751094,138.45417017453184,145.3005873158948,136.02883061490817,138.5439962443447,130.92472438081236,123.46347652712608,,
7,1987-12-10 00:23:21+00:00,176.86738843902725,168.48485590420526,159.49179746599842,157.26812109407,159.3072222264722,155.08699503066157,,,,,
8,1988-09-07 00:25:41+00:00,131.8446897510021,128.5297470505458,130.42380359290334,139.4893591642443,142.83867964753182,139.08584912055898,137.03002014543137,119.60073435219952,119.18584504546409,115.42606160481854,113.83885112876187
9,1989-01-13 00:25:03+00:00,,,,,,,,,,,
10,1989-08-02 00:15:44+00:00,163.32016346153517,153.52023622219176,143.5981981474749,141.6490327136373,136.405208758361,125.59572395344937,115.4659925649498,109.68600681487055,114.97743492268397,113.3096343274415,114.7397510865777
11,1989-08-25 00:21:24+00:00,170.7272187373699,151.81874739716795,148.87755487416436,154.31758303857376,150.82557880336432,131.31079418968372,124.68372633305249,124.49591389856072,117.7914765175993,,
12,1989-09-19 00:14:29+00:00,167.93374411222382,155.00717090846103,134.70515033133393,133.4710919575578,131.489353727269,123.47315759988258,115.89678135424155,113.94401102734874,107.87849110056284,106.34300146454575,112.09143843907894
13,1989-10-05 00:14:20+00:00,158.98217115544855,146.52384106054785,150.28577629855246,147.87460366436574,,,133.7364157331244,124.82726484404893,115.47746587837875,106.35163770031009,107.85836201277095
14,1989-11-29 00:18:49+00:00,154.74865010817015,131.4993659877292,127.58527634420979,125.83804638562144,129.00374391018292,120.85089306629504,106.57088430349518,104.46988631757627,90.04381712498576,87.52551586675887,87.80685053735401
15,1990-04-06 00:14:33+00:00,,,,,,,,,,,
16,1990-05-24 00:15:04+00:00,145.76970373025165,132.46120663738378,141.90988157773515,145.84730649213512,136.80107696382564,126.153530572452,122.41269803362978,110.23157742489835,109.29678608777665,107.19958486072328,104.9024950007991
17,1990-07-27 00:14:57+00:00,152.55189577367932,145.35309306245497,146.6204989418421,152.01696562228904,148.51872704581618,145.6045059526546,141.5749327980759,135.53607583419776,128.91189581624465,116.57712624087816,112.82326957024549
18,1990-09-06 00:08:31+00:00,181.51129287037867,173.25836016087925,161.68750177961124,161.9149204797099,155.92145897329067,150.3950463421627,139.46759690064775,133.4210324373836,128.6760383193955,120.8567580232256,117.35640415815772
19,1990-12-18 00:13:58+00:00,120.76903044793312,,,89.9100299333878,,,,,,,
20,1992-02-07 00:18:40+00:00,,,,95.67144678049308,181.70944136524622,,183.13211293431806,125.63591514351,,,
21,1992-03-10 00:18:40+00:00,130.94725056242257,158.88866042042184,165.94220885135522,133.27335266860723,141.79632042178133,129.5745362714187,,,,,
22,1992-08-10 00:11:23+00:00,155.35724385914642,156.25930672044126,153.71107803516887,142.65774506075277,133.4388309830102,127.55898528153179,118.9472009219649,120.23508601198084,115.20388856420337,109.98628861784476,108.87535074873622
23,1992-08-17 00:17:02+00:00,,,165.3625922161612,175.2262737712068,143.81347529839869,126.58454221814465,115.18896977034557,106.1190512814419,107.30319165032678,107.43040139085608,101.55674345935462
