dates,nzd0553-0000,nzd0553-0001,nzd0553-0002,nzd0553-0003,nzd0553-0004,nzd0553-0005,nzd0553-0006,nzd0553-0007,nzd0553-0008,satname
1999-07-16 22:13:35+00:00,,303.91,319.86,326.57,320.57,315.78,315.99,316.86,326.71,L7
1999-10-04 22:13:49+00:00,326.77,311.73,327.32,330.88,326.84,331.99,324.80,323.33,319.62,L7
1999-11-05 22:13:40+00:00,322.87,315.76,331.63,331.49,327.93,334.27,331.20,329.92,326.90,L7
1999-12-07 22:13:41+00:00,321.53,317.62,332.19,331.63,329.00,336.69,332.99,330.50,329.60,L7
1999-12-30 22:19:45+00:00,319.61,317.04,332.78,331.91,328.49,337.28,334.25,332.29,330.17,L7
2000-01-15 22:19:46+00:00,320.71,319.62,336.23,332.97,330.05,341.60,337.36,335.25,329.96,L7
2000-04-20 22:19:15+00:00,318.27,320.33,336.41,332.26,330.13,339.37,338.14,335.49,335.72,L7
2000-05-15 22:12:54+00:00,316.25,319.40,333.74,334.26,330.33,338.18,334.86,330.40,330.28,L7
2000-05-31 22:12:42+00:00,316.74,319.31,334.11,332.49,328.40,337.22,333.63,328.21,326.67,L7
2000-06-07 22:18:48+00:00,316.44,319.25,334.62,332.74,326.72,334.50,332.60,324.67,322.62,L7
2000-08-10 22:18:02+00:00,314.93,321.00,331.27,330.28,326.04,332.97,330.64,321.22,323.39,L7
2000-09-04 22:11:34+00:00,314.83,320.90,332.49,330.75,327.51,334.58,332.92,324.30,325.61,L7
2000-09-20 22:11:14+00:00,314.25,320.66,332.26,329.95,327.91,334.86,332.96,324.67,324.84,L7
2000-09-27 22:17:24+00:00,313.52,319.98,332.26,329.27,327.51,334.66,332.24,323.84,324.29,L7
2001-02-11 22:11:12+00:00,311.65,318.62,333.91,327.61,329.96,334.95,332.50,323.47,324.41,L7
2001-02-27 22:11:06+00:00,312.75,319.60,334.69,329.43,332.75,337.91,335.00,326.11,327.78,L7
2001-03-22 22:17:09+00:00,317.17,325.56,339.75,333.74,335.49,341.20,336.42,327.69,331.79,L7
2001-04-16 22:10:54+00:00,324.39,330.56,344.71,336.38,338.82,343.70,339.30,330.44,331.46,L7
2001-05-02 22:10:51+00:00,326.99,332.24,346.13,337.38,337.87,343.95,339.26,330.44,328.39,L7
2001-07-05 22:10:33+00:00,329.01,328.29,346.13,337.38,337.87,341.22,338.07,330.44,325.58,L7
2001-11-26 22:09:21+00:00,331.13,320.08,344.45,340.52,343.67,338.91,342.39,350.08,327.36,L7
2002-02-14 22:09:41+00:00,324.62,325.77,337.10,334.81,334.81,344.15,345.66,341.07,341.94,L7
2002-05-21 22:09:29+00:00,323.39,328.55,342.34,338.63,334.08,343.73,342.07,336.45,333.56,L7
2002-07-31 22:15:11+00:00,322.07,326.85,337.19,334.92,328.23,340.50,337.32,328.80,326.06,L7
2002-08-25 22:08:48+00:00,314.06,321.57,333.77,331.42,324.45,335.22,329.93,318.42,315.27,L7
2002-09-17 22:14:43+00:00,310.99,316.26,330.68,328.18,323.61,335.20,332.75,321.97,316.95,L7
2002-10-28 22:08:34+00:00,312.01,317.39,331.56,328.34,324.24,334.98,332.93,323.78,318.89,L7
